x;absoluteError;relativeError;computation time (milliseconds)
0,005;0;0;0
0,01;1,4210854715202E-14;1,42113284293078E-16;0
0,015;1,4210854715202E-14;2,13178809378565E-16;0
0,02;0;0;0
0,025;7,105427357601E-15;1,77672700628379E-16;0
0,03;0;0;0
0,035;3,5527136788005E-15;1,24395777849377E-16;0
0,04;3,5527136788005E-15;1,42184386914986E-16;0
0,045;0;0;0
0,05;0;0;0
0,055;0;0;0
0,06;0;0;0
0,065;0;0;0
0,07;0;0;0
0,075;0;0;0
0,08;1,77635683940025E-15;1,42412490170458E-16;0
0,085;0;0;0
0,09;1,77635683940025E-15;1,60305173419647E-16;0
0,095;0;0;0
0,1;0;0;0
0,105;0;0;0
0,11;1,77635683940025E-15;1,96191195879508E-16;0
0,115;0;0;0
0,12;0;0;0
0,125;8,88178419700125E-16;1,11604180630503E-16;0
0,13;0;0;0
0,135;0;0;0
0,14;8,88178419700125E-16;1,25163786001026E-16;0
0,145;0;0;0
0,15;0;0;0
0,155;0;0;0
0,16;0;0;0
0,165;0;0;0
0,17;0;0;0
0,175;8,88178419700125E-16;1,57037598150628E-16;0
0,18;0;0;0
0,185;0;0;0
0,19;8,88178419700125E-16;1,70814329396969E-16;0
0,195;8,88178419700125E-16;1,75423947434387E-16;0
0,2;8,88178419700125E-16;1,80042678995449E-16;0
0,205;0;0;0
0,21;0;0;0
0,215;8,88178419700125E-16;1,93956151693008E-16;0
0,22;0;0;0
0,225;0;0;0
0,23;0;0;0
0,235;0;0;0
0,24;0;0;0
0,245;4,44089209850063E-16;1,11032370208548E-16;0
0,25;0;0;0
0,255;0;0;0
0,26;0;0;0
0,265;0;0;0
0,27;4,44089209850063E-16;1,22905301880319E-16;0
0,275;0;0;0
0,28;0;0;0
0,285;4,44089209850063E-16;1,30107304010155E-16;0
0,29;4,44089209850063E-16;1,32521898596774E-16;0
0,295;0;0;0
0,3;0;0;0
0,305;4,44089209850063E-16;1,39809597905675E-16;0
0,31;4,44089209850063E-16;1,42253988623297E-16;0
0,315;0;0;0
0,32;4,44089209850063E-16;1,47166459118713E-16;0
0,325;0;0;0
0,33;0;0;0
0,335;0;0;0
