x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,11022302462516E-16;1,58843952139448E-16;0
-0,98;0;0;0
-0,97;0;0;0
-0,96;0;0;0
-0,95;1,11022302462516E-16;1,67797442438338E-16;0
-0,94;0;0;0
-0,93;0;0;0
-0,92;1,11022302462516E-16;1,75395687983766E-16;0
-0,91;1,11022302462516E-16;1,78115554321372E-16;0
-0,9;0;0;0
-0,89;0;0;0
-0,88;0;0;0
-0,87;1,11022302462516E-16;1,90042014654168E-16;0
-0,86;1,11022302462516E-16;1,93309075485327E-16;0
-0,85;1,11022302462516E-16;1,96700790983263E-16;0
-0,84;0;0;0
-0,83;1,11022302462516E-16;2,03881717147248E-16;0
-0,82;1,11022302462516E-16;2,07683605774821E-16;0
-0,81;1,11022302462516E-16;2,11635559267321E-16;0
-0,8;1,11022302462516E-16;2,15744955291604E-16;0
-0,79;0;0;0
-0,78;1,11022302462516E-16;2,2446798759494E-16;0
-0,77;5,55111512312578E-17;1,14549447075046E-16;0
-0,76;1,11022302462516E-16;2,33921867249316E-16;0
-0,75;1,11022302462516E-16;2,38947050633603E-16;0
-0,74;5,55111512312578E-17;1,22092640512963E-16;0
-0,73;5,55111512312578E-17;1,24824072696851E-16;0
-0,72;1,66533453693773E-16;3,83022065728389E-16;0
-0,71;1,11022302462516E-16;2,61298258612146E-16;0
-0,7;5,55111512312578E-17;1,33756515194401E-16;0
-0,69;2,22044604925031E-16;5,48015283841726E-16;0
-0,68;0;0;0
-0,67;0;0;0
-0,66;0;0;0
-0,65;5,55111512312578E-17;1,51566040848849E-16;0
-0,64;1,11022302462516E-16;3,11298667689885E-16;0
-0,63;0;0;0
-0,62;0;0;0
-0,61;5,55111512312578E-17;1,69149970217112E-16;0
-0,6;1,11022302462516E-16;3,48227562530451E-16;0
-0,59;1,11022302462516E-16;3,58671472649424E-16;0
-0,58;0;0;0
-0,57;0;0;0
-0,56;1,11022302462516E-16;3,9347456668681E-16;0
-0,55;0;0;0
-0,54;5,55111512312578E-17;2,10002381325034E-16;0
-0,53;0;0;0
-0,52;0;0;0
-0,51;2,77555756156289E-17;1,16464930226934E-16;0
-0,5;0;0;0
-0,49;2,77555756156289E-17;1,25313717043657E-16;0
-0,48;5,55111512312578E-17;2,60322403950629E-16;0
-0,47;0;0;0
-0,46;0;0;0
-0,45;5,55111512312578E-17;2,93407048687611E-16;0
-0,44;0;0;0
-0,43;2,77555756156289E-17;1,59715579634054E-16;0
-0,42;0;0;0
-0,41;2,77555756156289E-17;1,74684883020182E-16;0
-0,4;2,77555756156289E-17;1,83027956575534E-16;0
-0,39;2,77555756156289E-17;1,92022659413277E-16;0
-0,38;2,77555756156289E-17;2,01738430165687E-16;0
-0,37;2,77555756156289E-17;2,1225421678406E-16;0
-0,36;0;0;0
-0,35;1,38777878078145E-17;1,18029570419618E-16;0
-0,34;1,38777878078145E-17;1,24784943014919E-16;0
-0,33;0;0;0
-0,32;1,38777878078145E-17;1,40247502119744E-16;0
-0,31;1,38777878078145E-17;1,49126077067306E-16;0
-0,3;1,38777878078145E-17;1,58908042995005E-16;0
-0,29;1,38777878078145E-17;1,6972010125659E-16;0
-0,28;1,38777878078145E-17;1,817119760915E-16;0
-0,27;0;0;0
-0,26;1,38777878078145E-17;2,09981868382578E-16;0
-0,25;1,38777878078145E-17;2,26728937022626E-16;0
-0,24;0;0;0
-0,23;6,93889390390723E-18;1,3350765989998E-16;0
-0,22;6,93889390390723E-18;1,4570110384041E-16;0
-0,21;6,93889390390723E-18;1,59678041640307E-16;0
-0,2;0;0;0
-0,19;0;0;0
-0,18;6,93889390390723E-18;2,16491422173686E-16;0
-0,17;0;0;0
-0,16;3,46944695195361E-18;1,36687699214698E-16;0
-0,15;3,46944695195361E-18;1,55359347441837E-16;0
-0,14;0;0;0
-0,13;0;0;0
-0,12;3,46944695195361E-18;2,42093636722616E-16;0
-0,11;0;0;0
-0,1;0;0;0
-0,09;0;0;0
-0,08;8,67361737988404E-19;1,35814762590645E-16;0
-0,07;0;0;0
-0,0599999999999999;4,33680868994202E-19;1,20611572486525E-16;0
-0,0499999999999999;4,33680868994202E-19;1,73616980196183E-16;0
-0,04;2,16840434497101E-19;1,35597574841042E-16;0
-0,03;0;0;0
-0,02;0;0;0
-0,01;2,71050543121376E-20;2,71059578320183E-16;0
0;0;NaN;0
0,01;2,71050543121376E-20;2,71059578320183E-16;0
0,02;0;0;0
0,03;0;0;0
0,04;2,16840434497101E-19;1,35597574841042E-16;0
0,05;0;0;0
0,0600000000000001;4,33680868994202E-19;1,20611572486524E-16;0
0,0700000000000001;0;0;0
0,0800000000000001;8,67361737988404E-19;1,35814762590644E-16;0
0,0900000000000001;0;0;0
0,1;1,73472347597681E-18;1,74051747076916E-16;0
0,11;0;0;0
0,12;3,46944695195361E-18;2,42093636722616E-16;0
0,13;3,46944695195361E-18;2,06453120788731E-16;0
0,14;0;0;0
0,15;0;0;0
0,16;6,93889390390723E-18;2,73375398429397E-16;0
0,17;0;0;0
0,18;6,93889390390723E-18;2,16491422173686E-16;0
0,19;0;0;0
0,2;0;0;0
0,21;6,93889390390723E-18;1,59678041640307E-16;0
0,22;6,93889390390723E-18;1,4570110384041E-16;0
0,23;6,93889390390723E-18;1,3350765989998E-16;0
0,24;0;0;0
0,25;1,38777878078145E-17;2,26728937022626E-16;0
0,26;1,38777878078145E-17;2,09981868382578E-16;0
0,27;0;0;0
0,28;1,38777878078145E-17;1,817119760915E-16;0
0,29;1,38777878078145E-17;1,6972010125659E-16;0
0,3;1,38777878078145E-17;1,58908042995005E-16;0
0,31;0;0;0
0,32;0;0;0
0,33;1,38777878078145E-17;1,32164518548659E-16;0
0,34;0;0;0
0,35;1,38777878078145E-17;1,18029570419618E-16;0
0,36;0;0;0
0,37;2,77555756156289E-17;2,1225421678406E-16;0
0,38;2,77555756156289E-17;2,01738430165687E-16;0
0,39;2,77555756156289E-17;1,92022659413277E-16;0
0,4;2,77555756156289E-17;1,83027956575534E-16;0
0,41;0;0;0
0,42;5,55111512312578E-17;3,3386433484737E-16;0
0,43;2,77555756156289E-17;1,59715579634054E-16;0
0,44;0;0;0
0,45;5,55111512312578E-17;2,93407048687611E-16;0
0,46;0;0;0
0,47;0;0;0
0,48;5,55111512312578E-17;2,60322403950629E-16;0
0,49;2,77555756156289E-17;1,25313717043657E-16;0
0,5;0;0;0
0,51;2,77555756156289E-17;1,16464930226934E-16;0
0,52;0;0;0
0,53;0;0;0
0,54;5,55111512312578E-17;2,10002381325034E-16;0
0,55;0;0;0
0,56;1,11022302462516E-16;3,9347456668681E-16;0
0,57;0;0;0
0,58;0;0;0
0,59;1,11022302462516E-16;3,58671472649424E-16;0
0,6;1,11022302462516E-16;3,48227562530451E-16;0
0,61;1,11022302462516E-16;3,38299940434225E-16;0
0,62;5,55111512312578E-17;1,64427860664592E-16;0
0,63;5,55111512312578E-17;1,59932305759784E-16;0
0,64;5,55111512312578E-17;1,55649333844943E-16;0
0,65;5,55111512312578E-17;1,51566040848849E-16;0
0,66;0;0;0
