x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,11022302462516E-16;1,89998823248708E-16;0
-0,98;1,11022302462516E-16;1,93818596599932E-16;0
-0,97;2,22044604925031E-16;3,95602365543899E-16;0
-0,96;3,33066907387547E-16;6,05863882763386E-16;0
-0,95;0;0;0
-0,94;1,11022302462516E-16;2,10808877833164E-16;0
-0,93;2,22044604925031E-16;4,31056987354081E-16;0
-0,92;1,11022302462516E-16;2,20456675258842E-16;0
-0,91;1,11022302462516E-16;2,25604446650652E-16;0
-0,9;1,11022302462516E-16;2,30983571115247E-16;0
-0,89;5,55111512312578E-17;1,18303304617749E-16;0
-0,88;5,55111512312578E-17;1,2124349118379E-16;0
-0,87;2,22044604925031E-16;4,97278083945752E-16;0
-0,86;0;0;0
-0,85;1,66533453693773E-16;3,92731108726039E-16;0
-0,84;1,66533453693773E-16;4,03326674079567E-16;0
-0,83;2,22044604925031E-16;5,5257636449465E-16;0
-0,82;1,11022302462516E-16;2,84052233262955E-16;0
-0,81;5,55111512312578E-17;1,46099203987262E-16;0
-0,8;1,11022302462516E-16;3,00750154670147E-16;0
-0,79;1,11022302462516E-16;3,09732710679435E-16;0
-0,78;5,55111512312578E-17;1,59586631903823E-16;0
-0,77;0;0;0
-0,76;5,55111512312578E-17;1,6977397706917E-16;0
-0,75;5,55111512312578E-17;1,75273960818648E-16;0
-0,74;5,55111512312578E-17;1,81069003918751E-16;0
-0,73;5,55111512312578E-17;1,8717912189263E-16;0
-0,72;1,66533453693773E-16;5,80878024633487E-16;0
-0,71;5,55111512312578E-17;2,00433201092547E-16;0
-0,7;2,22044604925031E-16;8,3050507829382E-16;0
-0,69;5,55111512312578E-17;2,15233021395845E-16;0
-0,68;1,11022302462516E-16;4,46567471265117E-16;0
-0,67;8,32667268468867E-17;3,47717135125302E-16;0
-0,66;0;0;0
-0,65;2,77555756156289E-17;1,25222608614706E-16;0
-0,64;2,77555756156289E-17;1,3031691391503E-16;0
-0,63;2,77555756156289E-17;1,35732605275473E-16;0
-0,62;5,55111512312578E-17;2,82991240173037E-16;0
-0,61;8,32667268468867E-17;4,42903416579404E-16;0
-0,6;2,77555756156289E-17;1,54180556253879E-16;0
-0,59;0;0;0
-0,58;2,77555756156289E-17;1,68636528728994E-16;0
-0,57;2,77555756156289E-17;1,76626976589697E-16;0
-0,56;2,77555756156289E-17;1,85186742533461E-16;0
-0,55;1,38777878078145E-16;9,71839565602009E-16;0
-0,54;5,55111512312578E-17;4,08456876652047E-16;0
-0,53;8,32667268468867E-17;6,44498754068498E-16;0
-0,52;5,55111512312578E-17;4,52507023059701E-16;0
-0,51;5,55111512312578E-17;4,77141984681106E-16;0
-0,5;1,38777878078145E-17;1,259379873225E-16;0
-0,49;1,38777878078145E-17;1,33135171899088E-16;0
-0,48;4,16333634234434E-17;4,22803394574973E-16;0
-0,47;0;0;0
-0,46;0;0;0
-0,45;2,77555756156289E-17;3,37276204294131E-16;0
-0,44;1,38777878078145E-17;1,79587704546917E-16;0
-0,43;2,77555756156289E-17;3,83129685992282E-16;0
-0,42;1,66533453693773E-16;2,45632698567702E-15;0
-0,41;1,11022302462516E-16;1,75294325301899E-15;0
-0,4;6,24500451351651E-17;1,05750771741653E-15;0
-0,39;3,46944695195361E-17;6,31340447837791E-16;0
-0,38;3,46944695195361E-17;6,79857431718981E-16;0
-0,37;2,77555756156289E-17;5,86961169302715E-16;0
-0,36;0;0;0
-0,35;1,38777878078145E-17;3,44212088422154E-16;0
-0,34;6,93889390390723E-18;1,87091113802733E-16;0
-0,33;0;0;0
-0,32;3,46944695195361E-18;1,11460911360899E-16;0
-0,31;2,04697370165263E-16;7,21044866123816E-15;0
-0,3;1,17961196366423E-16;4,57064638901474E-15;0
-0,29;6,24500451351651E-17;2,67086732888563E-15;0
-0,28;4,16333634234434E-17;1,97258833357274E-15;0
-0,27;1,04083408558608E-17;5,48477597547457E-16;0
-0,26;1,04083408558608E-17;6,12595546912467E-16;0
-0,25;1,73472347597681E-18;1,14554016084567E-16;0
-0,24;0;0;0
-0,23;0;0;0
-0,22;1,73472347597681E-18;1,66912609964984E-16;0
-0,21;1,85615411929518E-16;2,04902123479464E-14;0
-0,2;8,84708972748172E-17;1,12825676249904E-14;0
-0,19;4,0766001685455E-17;6,05181697605762E-15;0
-0,18;1,90819582357449E-17;3,32543612535783E-15;0
-0,17;6,93889390390723E-18;1,43293039473003E-15;0
-0,16;4,33680868994202E-18;1,07244255160411E-15;0
-0,15;8,67361737988404E-19;2,59905796583217E-16;0
-0,14;4,33680868994202E-19;1,59604461598184E-16;0
-0,13;1,94289029309402E-16;8,91846432624336E-14;0
-0,12;6,80878964320897E-17;3,96875784707138E-14;0
-0,11;2,23345647532014E-17;1,68821587670831E-14;0
