x;absoluteError;relativeError;computation time (milliseconds)
-0,99;0;0;0
-0,98;0;0;0
-0,97;0;0;0
-0,96;0;0;0
-0,95;0;0;0
-0,94;1,11022302462516E-16;1,37479027709364E-16;0
-0,93;0;0;0
-0,92;0;0;0
-0,91;1,11022302462516E-16;1,40622896233672E-16;0
-0,9;0;0;0
-0,89;0;0;0
-0,88;0;0;0
-0,87;0;0;0
-0,86;0;0;0
-0,85;0;0;0
-0,84;0;0;0
-0,83;1,11022302462516E-16;1,50450715078722E-16;0
-0,82;0;0;0
-0,81;0;0;0
-0,8;0;0;0
-0,79;0;0;0
-0,78;1,11022302462516E-16;1,57863715944854E-16;0
-0,77;1,11022302462516E-16;1,59483813348438E-16;0
-0,76;0;0;0
-0,75;1,11022302462516E-16;1,62875571305122E-16;0
-0,74;0;0;0
-0,73;0;0;0
-0,72;0;0;0
-0,71;1,11022302462516E-16;1,70323029272516E-16;0
-0,7;0;0;0
-0,69;0;0;0
-0,68;0;0;0
-0,67;0;0;0
-0,66;0;0;0
-0,65;1,11022302462516E-16;1,83451414985914E-16;0
-0,64;1,11022302462516E-16;1,85906145246586E-16;0
-0,63;0;0;0
-0,62;0;0;0
-0,61;0;0;0
-0,6;0;0;0
-0,59;0;0;0
-0,58;1,11022302462516E-16;2,02586593411301E-16;0
-0,57;0;0;0
-0,56;1,11022302462516E-16;2,09008259056934E-16;0
-0,55;0;0;0
-0,54;1,11022302462516E-16;2,15939565144123E-16;0
-0,53;0;0;0
-0,52;0;0;0
-0,51;0;0;0
-0,5;0;0;0
-0,49;0;0;0
-0,48;5,55111512312578E-17;1,20211465071298E-16;0
-0,47;0;0;0
-0,46;0;0;0
-0,45;0;0;0
-0,44;0;0;0
-0,43;0;0;0
-0,42;0;0;0
-0,41;0;0;0
-0,4;0;0;0
-0,39;0;0;0
-0,38;0;0;0
-0,37;0;0;0
-0,36;0;0;0
-0,35;0;0;0
-0,34;0;0;0
-0,33;0;0;0
-0,32;0;0;0
-0,31;0;0;0
-0,3;0;0;0
-0,29;0;0;0
-0,28;0;0;0
-0,27;0;0;0
-0,26;0;0;0
-0,25;0;0;0
-0,24;0;0;0
-0,23;0;0;0
-0,22;0;0;0
-0,21;0;0;0
-0,2;0;0;0
-0,19;0;0;0
-0,18;0;0;0
-0,17;0;0;0
-0,16;0;0;0
-0,15;0;0;0
-0,14;0;0;0
-0,13;0;0;0
-0,12;0;0;0
-0,11;0;0;0
-0,1;0;0;0
-0,09;0;0;0
-0,08;0;0;0
-0,07;0;0;0
-0,0599999999999999;0;0;0
-0,0499999999999999;0;0;0
-0,04;0;0;0
-0,03;0;0;0
-0,02;0;0;0
-0,01;0;0;0
0;0;NaN;0
0,01;0;0;0
0,02;0;0;0
0,03;0;0;0
0,04;0;0;0
0,05;0;0;0
0,0600000000000001;0;0;0
0,0700000000000001;0;0;0
0,0800000000000001;0;0;0
0,0900000000000001;0;0;0
0,1;0;0;0
0,11;0;0;0
0,12;1,38777878078145E-17;1,15926254490664E-16;0
0,13;0;0;0
0,14;0;0;0
0,15;0;0;0
0,16;0;0;0
0,17;0;0;0
0,18;0;0;0
0,19;0;0;0
0,2;0;0;0
0,21;0;0;0
0,22;0;0;0
0,23;0;0;0
0,24;0;0;0
0,25;0;0;0
0,26;0;0;0
0,27;0;0;0
0,28;0;0;0
0,29;0;0;0
0,3;0;0;0
0,31;0;0;0
0,32;0;0;0
0,33;0;0;0
0,34;0;0;0
0,35;0;0;0
0,36;0;0;0
0,37;0;0;0
0,38;0;0;0
0,39;0;0;0
0,4;0;0;0
0,41;0;0;0
0,42;5,55111512312578E-17;1,36136672437796E-16;0
0,43;0;0;0
0,44;0;0;0
0,45;0;0;0
0,46;0;0;0
0,47;0;0;0
0,48;5,55111512312578E-17;1,20211465071298E-16;0
0,49;0;0;0
0,5;0;0;0
0,51;0;0;0
0,52;0;0;0
0,53;0;0;0
0,54;1,11022302462516E-16;2,15939565144123E-16;0
0,55;0;0;0
0,56;1,11022302462516E-16;2,09008259056934E-16;0
0,57;0;0;0
0,58;1,11022302462516E-16;2,02586593411301E-16;0
0,59;0;0;0
0,6;1,11022302462516E-16;1,96624072211518E-16;0
0,61;1,11022302462516E-16;1,93801027628698E-16;0
0,62;0;0;0
0,63;0;0;0
0,64;0;0;0
0,65;0;0;0
0,66;0;0;0
0,67;0;0;0
0,68;0;0;0
0,69;0;0;0
0,7;0;0;0
0,71;1,11022302462516E-16;1,70323029272516E-16;0
0,72;0;0;0
0,73;0;0;0
0,74;0;0;0
0,75;1,11022302462516E-16;1,62875571305122E-16;0
0,76;0;0;0
0,77;1,11022302462516E-16;1,59483813348438E-16;0
0,78;1,11022302462516E-16;1,57863715944854E-16;0
0,79;0;0;0
0,8;0;0;0
0,81;0;0;0
0,82;0;0;0
0,83;0;0;0
0,84;1,11022302462516E-16;1,49094646126403E-16;0
0,85;1,11022302462516E-16;1,47777449941322E-16;0
0,86;0;0;0
0,87;1,11022302462516E-16;1,45254611050806E-16;0
0,88;1,11022302462516E-16;1,44046583741974E-16;0
0,89;0;0;0
0,9;1,11022302462516E-16;1,4173176115616E-16;0
0,91;0;0;0
0,92;1,11022302462516E-16;1,39545093507277E-16;0
0,93;0;0;0
0,94;1,11022302462516E-16;1,37479027709364E-16;0
0,95;0;0;0
0,96;0;0;0
0,97;0;0;0
0,98;0;0;0
0,99;0;0;0
