x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,27298271923593E-08;8,35467711074662E-09;502
-0,98;2,12893758178012E-08;1,42789884212034E-08;251
-0,97;1,40883111843237E-08;9,65481105874326E-09;253
-0,96;9,28713284054083E-09;6,50196669920186E-09;249
-0,95;6,09802963680295E-09;4,36077342747033E-09;250
-0,94;3,98786004218721E-09;2,91247415783724E-09;252
-0,93;2,5971027550753E-09;1,93687332773211E-09;255
-0,92;1,68419522772467E-09;1,28245014965115E-09;252
-0,91;3,24026561138169E-09;2,5189231490927E-09;126
-0,9;2,12937556476334E-09;1,68976842360533E-09;124
-0,89;1,39329681125844E-09;1,12854156953193E-09;124
-0,88;9,07626196422484E-10;7,50312570687116E-10;125
-0,87;5,88563642267559E-10;4,96542055245679E-10;126
-0,86;3,7988456824678E-10;3,2704804142252E-10;124
-0,85;2,44022579920511E-10;2,14368415389237E-10;123
-0,84;1,55982338156946E-10;1,39815180474163E-10;126
-0,83;3,55327989254306E-10;3,24965513340211E-10;62
-0,82;2,30339969320426E-10;2,14926770511801E-10;63
-0,81;1,48570711289153E-10;1,41434608041322E-10;61
-0,8;9,53372936152164E-11;9,25929715455994E-11;63
-0,79;6,08550987379886E-11;6,02975700168336E-11;63
-0,78;3,86347620562333E-11;3,90541435364149E-11;63
-0,77;2,43909337171999E-11;2,51538933611211E-11;63
-0,76;6,54065690497418E-11;6,88163170456346E-11;31
-0,75;4,19118073580194E-11;4,49892299510622E-11;31
-0,74;2,67040833890064E-11;2,92458542299206E-11;32
-0,73;1,6914913913979E-11;1,89010868166075E-11;31
-0,72;1,06500364083217E-11;1,21427729937917E-11;31
-0,71;6,66344757149773E-12;7,75244368355755E-12;30
-0,7;4,14290823869123E-12;4,9186339676365E-12;30
-0,69;2,5587310048536E-12;3,10022909275193E-12;31
-0,68;8,37696578770419E-12;1,03590526828703E-11;16
-0,67;5,25668397699519E-12;6,63509785707123E-12;15
-0,66;3,27649019027376E-12;4,22171041060498E-12;15
-0,65;2,02793337678031E-12;2,66761594525279E-12;15
-0,64;1,24622534514174E-12;1,67381060449104E-12;15
-0,63;7,60058682658382E-13;1,04244044479752E-12;15
-0,62;4,60187443707127E-13;6,44602378474799E-13;16
-0,61;2,76112466224276E-13;3,9505653821472E-13;16
-0,6;1,12776454841423E-12;1,64844886967545E-12;8
-0,59;6,8889338677991E-13;1,02888145478201E-12;7
-0,58;4,17332834956596E-13;6,36985550426761E-13;7
-0,57;2,50577336657898E-13;3,90935461636841E-13;8
-0,56;1,49324996812084E-13;2,38177059656854E-13;7
-0,55;8,79296635503124E-14;1,4341692362839E-13;7
-0,54;5,15143483426073E-14;8,59389432087561E-14;7
-0,53;2,61457522299224E-13;4,46236440788247E-13;3
-0,52;1,55542245749984E-13;2,71660172808963E-13;4
-0,51;9,15933995315754E-14;1,63747157181537E-13;3
-0,5;5,35127497869325E-14;9,79544314400507E-14;3
-0,49;3,07531777821168E-14;5,76562827201977E-14;3
-0,48;1,75415237890775E-14;3,36941191002798E-14;3
-0,47;9,99200722162641E-15;1,96706260750738E-14;4
-0,46;5,49560397189452E-15;1,10921740337768E-14;3
-0,45;3,70814490224802E-14;7,67644346616031E-14;1
-0,44;2,1094237467878E-14;4,48069455843032E-14;1
-0,43;1,17683640610267E-14;2,56603240112854E-14;2
-0,42;6,49480469405717E-15;1,45436721269429E-14;2
-0,41;3,49720252756924E-15;8,0463677954018E-15;1
-0,4;1,94289029309402E-15;4,59536768090234E-15;2
-0,39;9,99200722162641E-16;2,43082051893878E-15;1
-0,38;8,99280649946377E-15;2,25150727967409E-14;0
-0,37;4,88498130835069E-15;1,25945998261241E-14;1
-0,36;2,60902410786912E-15;6,93146743306397E-15;0
-0,35;1,4432899320127E-15;3,95391031783201E-15;0
-0,34;6,66133814775094E-16;1,88313364008776E-15;0
-0,33;3,33066907387547E-16;9,72387522661658E-16;1
-0,32;5,55111512312578E-17;1,67510337856747E-16;0
-0,31;1,11022302462516E-16;3,46589976516403E-16;0
-0,3;9,99200722162641E-16;3,23014429580631E-15;0
-0,29;4,9960036108132E-16;1,67419220478034E-15;0
-0,28;2,77555756156289E-16;9,65228936967342E-16;0
-0,27;1,11022302462516E-16;4,01152804818166E-16;0
-0,26;0;0;0
-0,25;5,55111512312578E-17;2,17399285498462E-16;0
-0,24;0;0;0
-0,23;1,38777878078145E-16;5,92704728779924E-16;0
-0,22;5,55111512312578E-17;2,4823940091724E-16;0
-0,21;2,77555756156289E-17;1,30220781205833E-16;0
-0,2;2,77555756156289E-17;1,3692255317296E-16;0
-0,19;0;0;0
-0,18;0;0;0
-0,17;2,77555756156289E-17;1,61692237248329E-16;0
-0,16;2,77555756156289E-17;1,71989517681992E-16;0
-0,15;2,77555756156289E-17;1,8364730585113E-16;0
-0,14;2,77555756156289E-17;1,96957155706E-16;0
-0,13;0;0;0
-0,12;2,77555756156289E-17;2,3018517316105E-16;0
-0,11;2,77555756156289E-17;2,51304888352857E-16;0
-0,1;2,77555756156289E-17;2,76629952923858E-16;0
-0,09;0;0;0
-0,08;1,38777878078145E-17;1,73102115261449E-16;0
-0,07;0;0;0
-0,0599999999999999;6,93889390390723E-18;1,15509420535595E-16;0
-0,0499999999999999;0;0;0
-0,04;6,93889390390723E-18;1,73379819142142E-16;0
-0,03;0;0;0
-0,02;3,46944695195361E-18;1,7344921733452E-16;0
-0,01;1,73472347597681E-18;1,73466565147544E-16;0
0;0;NaN;0
0,01;1,73472347597681E-18;1,73466565147544E-16;0
0,02;3,46944695195361E-18;1,7344921733452E-16;0
0,03;0;0;0
0,04;6,93889390390723E-18;1,73379819142142E-16;0
0,05;0;0;0
0,0600000000000001;6,93889390390723E-18;1,15509420535595E-16;0
0,0700000000000001;0;0;0
0,0800000000000001;0;0;0
0,0900000000000001;1,38777878078145E-17;1,53781083681079E-16;0
0,1;2,77555756156289E-17;2,76629952923858E-16;0
0,11;2,77555756156289E-17;2,51304888352857E-16;0
0,12;2,77555756156289E-17;2,30185173161049E-16;0
0,13;0;0;0
0,14;2,77555756156289E-17;1,96957155706E-16;0
0,15;0;0;0
0,16;2,77555756156289E-17;1,71989517681992E-16;0
0,17;2,77555756156289E-17;1,61692237248329E-16;0
0,18;0;0;0
0,19;0;0;0
0,2;2,77555756156289E-17;1,3692255317296E-16;0
0,21;2,77555756156289E-17;1,30220781205833E-16;0
0,22;5,55111512312578E-17;2,4823940091724E-16;0
0,23;1,38777878078145E-16;5,92704728779924E-16;0
0,24;0;0;0
0,25;5,55111512312578E-17;2,17399285498462E-16;0
0,26;0;0;0
0,27;1,11022302462516E-16;4,01152804818166E-16;0
0,28;2,77555756156289E-16;9,65228936967342E-16;0
0,29;4,9960036108132E-16;1,67419220478034E-15;0
0,3;1,0547118733939E-15;3,40959675668444E-15;0
0,31;1,11022302462516E-16;3,46589976516403E-16;1
0,32;1,11022302462516E-16;3,35020675713493E-16;1
0,33;3,33066907387547E-16;9,72387522661657E-16;0
0,34;7,21644966006352E-16;2,04006144342841E-15;0
0,35;1,33226762955019E-15;3,64976337030647E-15;0
0,36;2,60902410786912E-15;6,93146743306397E-15;0
0,37;4,82947015711943E-15;1,24514793735545E-14;0
0,38;9,04831765069503E-15;2,26540547275849E-14;0
0,39;8,88178419700125E-16;2,16072935016781E-15;1
0,4;1,99840144432528E-15;4,72666390035669E-15;1
0,41;3,44169137633799E-15;7,91864767166527E-15;1
0,42;6,49480469405717E-15;1,45436721269429E-14;1
0,43;1,17683640610267E-14;2,56603240112854E-14;2
0,44;2,1094237467878E-14;4,48069455843032E-14;1
0,45;3,70814490224802E-14;7,67644346616031E-14;2
0,46;5,49560397189452E-15;1,10921740337768E-14;3
0,47;9,99200722162641E-15;1,96706260750738E-14;3
0,48;1,75415237890775E-14;3,36941191002798E-14;4
0,49;3,07531777821168E-14;5,76562827201977E-14;3
0,5;5,35127497869325E-14;9,79544314400507E-14;4
0,51;9,15933995315754E-14;1,63747157181537E-13;3
0,52;1,55542245749984E-13;2,71660172808963E-13;4
0,53;2,61457522299224E-13;4,46236440788247E-13;4
0,54;5,15143483426073E-14;8,59389432087561E-14;7
0,55;8,79296635503124E-14;1,4341692362839E-13;8
0,56;1,49324996812084E-13;2,38177059656854E-13;7
0,57;2,50577336657898E-13;3,90935461636841E-13;7
0,58;4,17332834956596E-13;6,36985550426761E-13;7
0,59;6,89004409082372E-13;1,02904726968205E-12;7
0,6;1,12765352611177E-12;1,64828658882591E-12;7
0,61;2,76001443921814E-13;3,94897689586567E-13;15
0,62;4,60076421404665E-13;6,44446865235119E-13;15
0,63;7,60058682658382E-13;1,04244044479752E-12;16
0,64;1,24611432283928E-12;1,67366148996057E-12;15
0,65;2,02793337678031E-12;2,66761594525279E-12;15
0,66;3,27649019027376E-12;4,22171041060497E-12;15
0,67;5,25668397699519E-12;6,63509785707123E-12;15
0,68;8,37696578770419E-12;1,03590526828703E-11;15
0,69;2,5587310048536E-12;3,10022909275193E-12;31
0,7;4,14290823869123E-12;4,9186339676365E-12;31
0,71;6,66344757149773E-12;7,75244368355755E-12;31
0,72;1,06500364083217E-11;1,21427729937917E-11;31
0,73;1,6914913913979E-11;1,89010868166075E-11;31
0,74;2,67040833890064E-11;2,92458542299206E-11;31
0,75;4,19118073580194E-11;4,49892299510622E-11;31
0,76;6,54065690497418E-11;6,88163170456346E-11;31
0,77;2,43909337171999E-11;2,51538933611211E-11;63
0,78;3,86347620562333E-11;3,90541435364149E-11;63
0,79;6,08550987379886E-11;6,02975700168336E-11;63
0,8;9,53372936152164E-11;9,25929715455994E-11;63
0,81;1,48570711289153E-10;1,41434608041322E-10;62
0,82;2,30339969320426E-10;2,14926770511801E-10;60
0,83;3,55327767209701E-10;3,2496531026913E-10;60
0,84;1,55982338156946E-10;1,39815180474163E-10;122
0,85;2,44022357875906E-10;2,14368220327984E-10;123
0,86;3,7988501233599E-10;3,27048423745253E-10;123
0,87;5,88563420222954E-10;4,9654186791762E-10;122
0,88;9,07626418467089E-10;7,50312754246007E-10;124
0,89;1,39329681125844E-09;1,12854156953193E-09;127
0,9;2,12937578680794E-09;1,68976859980908E-09;121
0,91;3,24026538933708E-09;2,51892297647929E-09;123
0,92;1,68419500568007E-09;1,28244998057269E-09;247
0,93;2,5971027550753E-09;1,93687332773211E-09;247
0,94;3,98786004218721E-09;2,91247415783724E-09;249
0,95;6,09802963680295E-09;4,36077342747033E-09;248
0,96;9,28713284054083E-09;6,50196669920186E-09;250
0,97;1,40883111843237E-08;9,65481105874326E-09;247
0,98;2,12893758178012E-08;1,42789884212034E-08;247
0,99;1,27298271923593E-08;8,35467711074662E-09;492
