x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,28743633820427E-06;8,44953725121638E-07;6
-0,98;9,2753093472453E-07;6,22103888370713E-07;5
-0,97;6,6628534645119E-07;4,56609670742754E-07;5
-0,96;4,77186588021539E-07;3,34080642313836E-07;5
-0,95;3,40704978452067E-07;2,4364217708518E-07;5
-0,94;2,42491448032567E-07;1,77100015652512E-07;5
-0,93;1,7203098168217E-07;1,28297665278209E-07;5
-0,92;1,21639024852627E-07;9,26234578139849E-08;5
-0,91;8,57152340216771E-08;6,66334532726885E-08;5
-0,9;6,0189916162301E-08;4,77637770591268E-08;5
-0,89;4,21144266127271E-08;3,41118135959393E-08;5
-0,88;2,93588569011405E-08;2,42702551785714E-08;5
-0,87;2,03895200723281E-08;1,72016303337751E-08;5
-0,86;1,41056060165567E-08;1,21437173457274E-08;5
-0,85;9,7196217740958E-09;8,53847180279117E-09;5
-0,84;6,670132224329E-09;5,9787906230303E-09;5
-0,83;4,55827153800215E-09;4,16877109343277E-09;4
-0,82;3,10168779549258E-09;2,89413835986811E-09;4
-0,81;2,10125272737116E-09;2,00032599502804E-09;4
-0,8;1,41706246736817E-09;1,37627175834175E-09;4
-0,79;9,51210887834009E-10;9,42496295288097E-10;5
-0,78;6,35457242381676E-10;6,42355149466343E-10;5
-0,77;4,22434753843959E-10;4,35648707565847E-10;4
-0,76;2,79407386116759E-10;2,93973335511302E-10;4
-0,75;1,83848047896618E-10;1,97347301971988E-10;4
-0,74;1,20325971408874E-10;1,31778940644945E-10;4
-0,73;7,8319795093762E-11;8,75162152201504E-11;4
-0,72;5,06906738806379E-11;5,77956095393206E-11;5
-0,71;3,26173532627649E-11;3,79479528521978E-11;5
-0,7;2,08628669895461E-11;2,47692684280839E-11;4
-0,69;1,32619470960549E-11;1,60685410602897E-11;4
-0,68;8,37696578770419E-12;1,03590526828703E-11;4
-0,67;5,25668397699519E-12;6,63509785707123E-12;4
-0,66;3,27649019027376E-12;4,22171041060498E-12;4
-0,65;2,02793337678031E-12;2,66761594525279E-12;4
-0,64;1,24622534514174E-12;1,67381060449104E-12;4
-0,63;7,60058682658382E-13;1,04244044479752E-12;5
-0,62;4,60187443707127E-13;6,44602378474799E-13;5
-0,61;2,76112466224276E-13;3,9505653821472E-13;5
-0,6;1,64313007644523E-13;2,40175657326213E-13;4
-0,59;9,71445146547012E-14;1,45088037539767E-13;5
-0,58;5,6843418860808E-14;8,67615328061988E-14;4
-0,57;3,27515792264421E-14;5,10970142591351E-14;4
-0,56;1,90958360235527E-14;3,04583303055605E-14;4
-0,55;1,06581410364015E-14;1,7383869530714E-14;4
-0,54;6,10622663543836E-15;1,01867281820724E-14;4
-0,53;3,21964677141295E-15;5,49505595875124E-15;5
-0,52;1,77635683940025E-15;3,10247163807524E-15;4
-0,51;8,88178419700125E-16;1,5878512211543E-15;4
-0,5;5,55111512312578E-16;1,01612480746941E-15;4
-0,49;2,22044604925031E-16;4,16290849965326E-16;4
-0,48;1,11022302462516E-16;2,13253918356201E-16;4
-0,47;2,22044604925031E-16;4,37125023890529E-16;4
-0,46;0;0;4
-0,45;0;0;4
-0,44;5,55111512312578E-17;1,17913014695535E-16;5
-0,43;5,55111512312578E-17;1,21039264204176E-16;4
-0,42;5,55111512312578E-17;1,24304889973871E-16;4
-0,41;5,55111512312578E-17;1,27720123736537E-16;5
-0,4;5,55111512312578E-17;1,31296219454353E-16;4
-0,39;0;0;4
-0,38;5,55111512312578E-17;1,38981930844079E-16;5
-0,37;0;0;5
-0,36;5,55111512312578E-17;1,47478030490723E-16;5
-0,35;1,11022302462516E-16;3,04146947525539E-16;5
-0,34;5,55111512312578E-17;1,56927803340647E-16;5
-0,33;0;0;5
-0,32;1,11022302462516E-16;3,35020675713493E-16;5
-0,31;5,55111512312578E-17;1,73294988258201E-16;5
-0,3;5,55111512312578E-17;1,79452460878128E-16;5
-0,29;0;0;5
-0,28;5,55111512312578E-17;1,93045787393468E-16;5
-0,27;0;0;5
