"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,998;2|3 ;        ∞ ;    3,078;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,994;2|3 ;        ∞ ;    3,032;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10;  -0,99;2|3 ;        ∞ ;        3;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,986;2|3 ;        ∞ ;    2,974;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,982;2|3 ;        ∞ ;    2,952;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,978;2|3 ;        ∞ ;    2,931;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,974;2|3 ;        ∞ ;    2,913;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10;  -0,97;2|3 ;        ∞ ;    2,896;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,966;2|3 ;        ∞ ;     2,88;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,962;2|3 ;        ∞ ;    2,865;        ∞;        ∞
"Arccos_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)";   10; -0,958;2|3 ;        ∞ ;    2,851;        ∞;        ∞
