"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,998;2|3 ;       -∞ ;   -1,508;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,994;2|3 ;       -∞ ;   -1,461;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -0,99;2|3 ;       -∞ ;   -1,429;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,986;2|3 ;       -∞ ;   -1,403;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,982;2|3 ;       -∞ ;   -1,381;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,978;2|3 ;       -∞ ;   -1,361;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,974;2|3 ;       -∞ ;   -1,342;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -0,97;2|3 ;       -∞ ;   -1,325;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,966;2|3 ;       -∞ ;   -1,309;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,962;2|3 ;       -∞ ;   -1,294;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,958;2|3 ;       -∞ ;    -1,28;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,954;2|3 ;       -∞ ;   -1,266;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -0,95;2|3 ;       -∞ ;   -1,253;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,946;2|3 ;       -∞ ;   -1,241;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,942;2|3 ;       -∞ ;   -1,229;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,938;2|3 ;       -∞ ;   -1,217;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,934;2|3 ;       -∞ ;   -1,205;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -0,93;2|3 ;       -∞ ;   -1,194;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,926;2|3 ;       -∞ ;   -1,184;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,922;2|3 ;       -∞ ;   -1,173;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,918;2|3 ;       -∞ ;   -1,163;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,914;2|3 ;       -∞ ;   -1,153;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -0,91;2|3 ;       -∞ ;   -1,143;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,906;2|3 ;       -∞ ;   -1,134;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,902;2|3 ;       -∞ ;   -1,124;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,898;2|3 ;       -∞ ;   -1,115;        ∞;        ∞
"Arcsin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -0,894;2|3 ;       -∞ ;   -1,106;        ∞;        ∞
