"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,998;2|3 ;  -0,7604 ;  -0,7844;  0,02396;  0,03054
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,994;2|3 ;  -0,7603 ;  -0,7824;   0,0221;  0,02825
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10;  -0,99;2|3 ;    -0,76 ;  -0,7804;  0,02039;  0,02612
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,986;2|3 ;  -0,7596 ;  -0,7783;   0,0188;  0,02415
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,982;2|3 ;   -0,759 ;  -0,7763;  0,01732;  0,02231
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,978;2|3 ;  -0,7583 ;  -0,7743;  0,01596;  0,02061
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,974;2|3 ;  -0,7575 ;  -0,7722;   0,0147;  0,01904
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10;  -0,97;2|3 ;  -0,7566 ;  -0,7702;  0,01353;  0,01757
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,966;2|3 ;  -0,7556 ;  -0,7681;  0,01246;  0,01622
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,962;2|3 ;  -0,7546 ;   -0,766;  0,01146;  0,01496
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,958;2|3 ;  -0,7534 ;   -0,764;  0,01054;   0,0138
"Arctg_1(C:\git_reps\summer_practice\opaque-func-lib\Kravtsov\src\OpaqueFunctions\OpaqueFunctions.cs)";   10; -0,954;2|3 ;  -0,7522 ;  -0,7619;  0,00969;  0,01272
