"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"     Cos_1";  100;-3,0184;2|3 ;        ∞ ;  -0,9924;        ∞;        ∞
"     Cos_1";  100;-2,8952;2|3 ;        ∞ ;  -0,9698;        ∞;        ∞
"     Cos_1";  100; -2,772;2|3 ;        ∞ ;  -0,9325;        ∞;        ∞
"     Cos_1";  100;-2,6488;2|3 ;        ∞ ;   -0,881;        ∞;        ∞
"     Cos_1";  100;-2,5256;2|3 ;        ∞ ;  -0,8162;        ∞;        ∞
"     Cos_1";  100;-2,4024;2|3 ;        ∞ ;   -0,739;        ∞;        ∞
"     Cos_1";  100;-2,2792;2|3 ;        ∞ ;  -0,6506;        ∞;        ∞
"     Cos_1";  100; -2,156;2|3 ;        ∞ ;  -0,5524;        ∞;        ∞
"     Cos_1";  100;-2,0328;2|3 ;        ∞ ;  -0,4457;        ∞;        ∞
"     Cos_1";  100;-1,9096;2|3 ;        ∞ ;  -0,3324;        ∞;        ∞
"     Cos_1";  100;-1,7864;2|3 ;        ∞ ;  -0,2139;        ∞;        ∞
"     Cos_1";  100;-1,6632;2|3 ;        ∞ ; -0,09227;        ∞;        ∞
"     Cos_1";  100;  -1,54;2|3 ;        ∞ ;   0,0308;        ∞;        ∞
"     Cos_1";  100;-1,4168;2|3 ;        ∞ ;   0,1534;        ∞;        ∞
"     Cos_1";  100;-1,2936;2|3 ;        ∞ ;   0,2737;        ∞;        ∞
"     Cos_1";  100;-1,1704;2|3 ;        ∞ ;   0,3898;        ∞;        ∞
"     Cos_1";  100;-1,0472;2|3 ;        ∞ ;      0,5;        ∞;        ∞
"     Cos_1";  100; -0,924;2|3 ; не число ;   0,6026; не число; не число
"     Cos_1";  100;-0,8008;2|3 ; не число ;   0,6961; не число; не число
"     Cos_1";  100;-0,6776;2|3 ; не число ;   0,7791; не число; не число
"     Cos_1";  100;-0,5544;2|3 ; не число ;   0,8502; не число; не число
"     Cos_1";  100;-0,4312;2|3 ; не число ;   0,9085; не число; не число
"     Cos_1";  100; -0,308;2|3 ; не число ;   0,9529; не число; не число
"     Cos_1";  100;-0,1848;2|3 ; не число ;    0,983; не число; не число
"     Cos_1";  100;-0,0616;2|3 ; не число ;   0,9981; не число; не число
"     Cos_1";  100; 0,0616;2|3 ; не число ;   0,9981; не число; не число
"     Cos_1";  100; 0,1848;2|3 ; не число ;    0,983; не число; не число
"     Cos_1";  100;  0,308;2|3 ; не число ;   0,9529; не число; не число
"     Cos_1";  100; 0,4312;2|3 ; не число ;   0,9085; не число; не число
"     Cos_1";  100; 0,5544;2|3 ; не число ;   0,8502; не число; не число
"     Cos_1";  100; 0,6776;2|3 ; не число ;   0,7791; не число; не число
"     Cos_1";  100; 0,8008;2|3 ; не число ;   0,6961; не число; не число
"     Cos_1";  100;  0,924;2|3 ; не число ;   0,6026; не число; не число
"     Cos_1";  100; 1,0472;2|3 ;        ∞ ;      0,5;        ∞;        ∞
"     Cos_1";  100; 1,1704;2|3 ;        ∞ ;   0,3898;        ∞;        ∞
"     Cos_1";  100; 1,2936;2|3 ;        ∞ ;   0,2737;        ∞;        ∞
"     Cos_1";  100; 1,4168;2|3 ;        ∞ ;   0,1534;        ∞;        ∞
"     Cos_1";  100;   1,54;2|3 ;        ∞ ;   0,0308;        ∞;        ∞
"     Cos_1";  100; 1,6632;2|3 ;        ∞ ; -0,09227;        ∞;        ∞
"     Cos_1";  100; 1,7864;2|3 ;        ∞ ;  -0,2139;        ∞;        ∞
"     Cos_1";  100; 1,9096;2|3 ;        ∞ ;  -0,3324;        ∞;        ∞
"     Cos_1";  100; 2,0328;2|3 ;        ∞ ;  -0,4457;        ∞;        ∞
"     Cos_1";  100;  2,156;2|3 ;        ∞ ;  -0,5524;        ∞;        ∞
"     Cos_1";  100; 2,2792;2|3 ;        ∞ ;  -0,6506;        ∞;        ∞
"     Cos_1";  100; 2,4024;2|3 ;        ∞ ;   -0,739;        ∞;        ∞
"     Cos_1";  100; 2,5256;2|3 ;        ∞ ;  -0,8162;        ∞;        ∞
"     Cos_1";  100; 2,6488;2|3 ;        ∞ ;   -0,881;        ∞;        ∞
"     Cos_1";  100;  2,772;2|3 ;        ∞ ;  -0,9325;        ∞;        ∞
"     Cos_1";  100; 2,8952;2|3 ;        ∞ ;  -0,9698;        ∞;        ∞
"     Cos_1";  100; 3,0184;2|3 ;        ∞ ;  -0,9924;        ∞;        ∞

