"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -99800;2|3 ; не число ;  -0,5181; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -99400;2|3 ; не число ;        1; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -99000;2|3 ; не число ;  -0,5325; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -98600;2|3 ; не число ;  -0,4406; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -98200;2|3 ; не число ;   0,9953; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -97800;2|3 ; не число ;  -0,6051; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -97400;2|3 ; не число ;  -0,3596; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -97000;2|3 ; не число ;   0,9829; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -96600;2|3 ; не число ;   -0,673; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -96200;2|3 ; не число ;  -0,2758; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -95800;2|3 ; не число ;   0,9628; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -95400;2|3 ; не число ;  -0,7357; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -95000;2|3 ; не число ;  -0,1899; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -94600;2|3 ; не число ;   0,9352; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -94200;2|3 ; не число ;  -0,7926; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -93800;2|3 ; не число ;  -0,1025; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -93400;2|3 ; не число ;   0,9003; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -93000;2|3 ; не число ;  -0,8433; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -92600;2|3 ; не число ; -0,01426; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -92200;2|3 ; не число ;   0,8583; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -91800;2|3 ; не число ;  -0,8875; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -91400;2|3 ; не число ;  0,07406; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -91000;2|3 ; не число ;   0,8097; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -90600;2|3 ; не число ;  -0,9247; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -90200;2|3 ; не число ;   0,1618; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -89800;2|3 ; не число ;   0,7547; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -89400;2|3 ; не число ;  -0,9547; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -89000;2|3 ; не число ;   0,2483; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -88600;2|3 ; не число ;   0,6938; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -88200;2|3 ; не число ;  -0,9772; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -87800;2|3 ; не число ;   0,3328; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -87400;2|3 ; не число ;   0,6276; не число; не число
"Cos_3(C:\git_reps\summer_practice\opaque-func-lib\Markov\src\OpaqueFunctions\OpaqueFunctions.cs)"; 1000; -87000;2|3 ; не число ;  -0,9922; не число; не число
