"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 99,001;2|3 ;    4,605 ;    4,605; 9,77E-15;2,122E-15
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;    299;2|3 ;    5,704 ;    5,704;4,441E-14;7,786E-15
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 499,01;2|3 ;    6,215 ;    6,215; 8,96E-12;1,442E-12
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 699,01;2|3 ;    6,551 ;    6,551;6,238E-10;9,522E-11
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 899,01;2|3 ;    6,802 ;    6,802;9,646E-09;1,418E-09
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1099;2|3 ;    7,003 ;    7,003;6,804E-08;9,716E-09
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1299;2|3 ;     7,17 ;     7,17;3,002E-07;4,187E-08
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1499;2|3 ;    7,313 ;    7,313;9,744E-07;1,332E-07
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1699;2|3 ;    7,438 ;    7,438;2,554E-06;3,434E-07
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1899;2|3 ;     7,55 ;     7,55;5,729E-06;7,588E-07
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2099;2|3 ;     7,65 ;     7,65;1,142E-05;1,493E-06
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2299;2|3 ;    7,741 ;    7,741;2,078E-05;2,684E-06
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2499;2|3 ;    7,824 ;    7,824;3,514E-05;4,492E-06
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2699;2|3 ;    7,901 ;    7,901;5,603E-05;7,091E-06
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2899;2|3 ;    7,973 ;    7,972;8,507E-05;1,067E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3099;2|3 ;    8,039 ;    8,039; 0,000124;1,542E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3299;2|3 ;    8,102 ;    8,102;0,0001746;2,155E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3499;2|3 ;    8,161 ;    8,161;0,0002387;2,926E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3699;2|3 ;    8,216 ;    8,216;0,0003182;3,873E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3899;2|3 ;    8,269 ;    8,269;0,0004149;5,017E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   4099;2|3 ;    8,319 ;    8,319;0,0005304;6,377E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   4299;2|3 ;    8,367 ;    8,366;0,0006667;7,969E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   4499;2|3 ;    8,413 ;    8,412;0,0008253;9,811E-05
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   4699;2|3 ;    8,456 ;    8,455; 0,001008;0,0001192
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   4899;2|3 ;    8,498 ;    8,497; 0,001216;0,0001431
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5099,1;2|3 ;    8,538 ;    8,537; 0,001451;0,0001699
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5299,1;2|3 ;    8,577 ;    8,575; 0,001714;0,0001999
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5499,1;2|3 ;    8,615 ;    8,613; 0,002007; 0,000233
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5699,1;2|3 ;    8,651 ;    8,648;  0,00233;0,0002694
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5899,1;2|3 ;    8,685 ;    8,683; 0,002685;0,0003093
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6099,1;2|3 ;    8,719 ;    8,716; 0,003073;0,0003526
