"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"  Math_8_2";   10;-0,99601;2|3 ;   0,9804 ;    0,501;   0,4794;    0,957
"  Math_8_2";   10;-0,99202;2|3 ;   0,9616 ;    0,502;   0,4596;   0,9156
"  Math_8_2";   10;-0,98802;2|3 ;   0,9436 ;    0,503;   0,4406;   0,8759
"  Math_8_2";   10;-0,98403;2|3 ;   0,9263 ;    0,504;   0,4222;   0,8377
"  Math_8_2";   10;-0,98004;2|3 ;   0,9096 ;    0,505;   0,4046;   0,8011
"  Math_8_2";   10;-0,97605;2|3 ;   0,8937 ;   0,5061;   0,3876;   0,7659
"  Math_8_2";   10;-0,97206;2|3 ;   0,8784 ;   0,5071;   0,3713;   0,7322
"  Math_8_2";   10;-0,96806;2|3 ;   0,8637 ;   0,5081;   0,3556;   0,6998
"  Math_8_2";   10;-0,96407;2|3 ;   0,8496 ;   0,5091;   0,3404;   0,6687
"  Math_8_2";   10;-0,96008;2|3 ;   0,8361 ;   0,5102;   0,3259;   0,6388
"  Math_8_2";   10;-0,95609;2|3 ;   0,8232 ;   0,5112;    0,312;   0,6102
"  Math_8_2";   10;-0,9521;2|3 ;   0,8108 ;   0,5123;   0,2985;   0,5828
"  Math_8_2";   10;-0,9481;2|3 ;   0,7989 ;   0,5133;   0,2856;   0,5564
"  Math_8_2";   10;-0,94411;2|3 ;   0,7876 ;   0,5144;   0,2732;   0,5312
"  Math_8_2";   10;-0,94012;2|3 ;   0,7768 ;   0,5154;   0,2613;    0,507
"  Math_8_2";   10;-0,93613;2|3 ;   0,7664 ;   0,5165;   0,2499;   0,4838
"  Math_8_2";   10;-0,93214;2|3 ;   0,7565 ;   0,5176;   0,2389;   0,4616
"  Math_8_2";   10;-0,92814;2|3 ;    0,747 ;   0,5186;   0,2284;   0,4403
"  Math_8_2";   10;-0,92415;2|3 ;    0,738 ;   0,5197;   0,2182;   0,4199
"  Math_8_2";   10;-0,92016;2|3 ;   0,7293 ;   0,5208;   0,2085;   0,4004
"  Math_8_2";   10;-0,91617;2|3 ;   0,7211 ;   0,5219;   0,1992;   0,3817
"  Math_8_2";   10;-0,91218;2|3 ;   0,7132 ;    0,523;   0,1903;   0,3638
"  Math_8_2";   10;-0,90818;2|3 ;   0,7057 ;   0,5241;   0,1817;   0,3467
"  Math_8_2";   10;-0,90419;2|3 ;   0,6986 ;   0,5252;   0,1734;   0,3303
