"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Math_8_2_ln";   10;-0,99601;2|3 ;   -26,86 ;   -5,523;    21,34;    3,863
"Math_8_2_ln";   10;-0,99202;2|3 ;   -14,32 ;    -4,83;    9,488;    1,964
"Math_8_2_ln";   10;-0,98802;2|3 ;   -10,13 ;   -4,425;    5,701;    1,288
"Math_8_2_ln";   10;-0,98403;2|3 ;   -8,021 ;   -4,137;    3,884;   0,9388
"Math_8_2_ln";   10;-0,98004;2|3 ;   -6,751 ;   -3,914;    2,837;   0,7249
"Math_8_2_ln";   10;-0,97605;2|3 ;     -5,9 ;   -3,732;    2,168;   0,5809
"Math_8_2_ln";   10;-0,97206;2|3 ;   -5,286 ;   -3,578;    1,709;   0,4776
"Math_8_2_ln";   10;-0,96806;2|3 ;   -4,822 ;   -3,444;    1,378;   0,4002
"Math_8_2_ln";   10;-0,96407;2|3 ;   -4,458 ;   -3,326;    1,132;   0,3403
"Math_8_2_ln";   10;-0,96008;2|3 ;   -4,163 ;   -3,221;   0,9426;   0,2926
"Math_8_2_ln";   10;-0,95609;2|3 ;    -3,92 ;   -3,126;   0,7941;   0,2541
"Math_8_2_ln";   10;-0,9521;2|3 ;   -3,714 ;   -3,039;   0,6754;   0,2223
"Math_8_2_ln";   10;-0,9481;2|3 ;   -3,538 ;   -2,959;   0,5791;   0,1957
"Math_8_2_ln";   10;-0,94411;2|3 ;   -3,384 ;   -2,884;   0,4999;   0,1733
"Math_8_2_ln";   10;-0,94012;2|3 ;    -3,25 ;   -2,815;   0,4342;   0,1542
"Math_8_2_ln";   10;-0,93613;2|3 ;    -3,13 ;   -2,751;   0,3791;   0,1378
"Math_8_2_ln";   10;-0,93214;2|3 ;   -3,023 ;    -2,69;   0,3324;   0,1236
"Math_8_2_ln";   10;-0,92814;2|3 ;   -2,926 ;   -2,633;   0,2927;   0,1112
"Math_8_2_ln";   10;-0,92415;2|3 ;   -2,838 ;   -2,579;   0,2587;   0,1003
"Math_8_2_ln";   10;-0,92016;2|3 ;   -2,757 ;   -2,528;   0,2294;  0,09075
"Math_8_2_ln";   10;-0,91617;2|3 ;   -2,683 ;   -2,479;    0,204;  0,08229
"Math_8_2_ln";   10;-0,91218;2|3 ;   -2,614 ;   -2,432;   0,1819;  0,07477
"Math_8_2_ln";   10;-0,90818;2|3 ;   -2,551 ;   -2,388;   0,1625;  0,06807
"Math_8_2_ln";   10;-0,90419;2|3 ;   -2,491 ;   -2,345;   0,1456;  0,06208
"Math_8_2_ln";   10;-0,9002;2|3 ;   -2,435 ;   -2,305;   0,1307;   0,0567
"Math_8_2_ln";   10;-0,89621;2|3 ;   -2,383 ;   -2,265;   0,1175;  0,05187
"Math_8_2_ln";   10;-0,89222;2|3 ;   -2,333 ;   -2,228;   0,1058;  0,04751
"Math_8_2_ln";   10;-0,88822;2|3 ;   -2,287 ;   -2,191;  0,09546;  0,04357
"Math_8_2_ln";   10;-0,88423;2|3 ;   -2,242 ;   -2,156;  0,08624;     0,04
"Math_8_2_ln";   10;-0,88024;2|3 ;     -2,2 ;   -2,122;  0,07801;  0,03676
"Math_8_2_ln";   10;-0,87625;2|3 ;    -2,16 ;   -2,089;  0,07066;  0,03382
"Math_8_2_ln";   10;-0,87226;2|3 ;   -2,122 ;   -2,058;  0,06407;  0,03114
"Math_8_2_ln";   10;-0,86826;2|3 ;   -2,085 ;   -2,027;  0,05816;  0,02869
"Math_8_2_ln";   10;-0,86427;2|3 ;    -2,05 ;   -1,997;  0,05284;  0,02646
"Math_8_2_ln";   10;-0,86028;2|3 ;   -2,016 ;   -1,968;  0,04806;  0,02442
"Math_8_2_ln";   10;-0,85629;2|3 ;   -1,984 ;    -1,94;  0,04374;  0,02255
"Math_8_2_ln";   10;-0,8523;2|3 ;   -1,952 ;   -1,913;  0,03985;  0,02084
"Math_8_2_ln";   10;-0,8483;2|3 ;   -1,922 ;   -1,886;  0,03633;  0,01926
"Math_8_2_ln";   10;-0,84431;2|3 ;   -1,893 ;    -1,86;  0,03314;  0,01782
"Math_8_2_ln";   10;-0,84032;2|3 ;   -1,865 ;   -1,835;  0,03025;  0,01649
"Math_8_2_ln";   10;-0,83633;2|3 ;   -1,838 ;    -1,81;  0,02763;  0,01527
"Math_8_2_ln";   10;-0,83234;2|3 ;   -1,811 ;   -1,786;  0,02526;  0,01414
"Math_8_2_ln";   10;-0,82834;2|3 ;   -1,785 ;   -1,762;  0,02309;  0,01311
"Math_8_2_ln";   10;-0,82435;2|3 ;    -1,76 ;   -1,739;  0,02113;  0,01215
"Math_8_2_ln";   10;-0,82036;2|3 ;   -1,736 ;   -1,717;  0,01934;  0,01126
"Math_8_2_ln";   10;-0,81637;2|3 ;   -1,713 ;   -1,695;  0,01771;  0,01045
"Math_8_2_ln";   10;-0,81238;2|3 ;    -1,69 ;   -1,673;  0,01622; 0,009694
"Math_8_2_ln";   10;-0,80838;2|3 ;   -1,667 ;   -1,652;  0,01486; 0,008996
"Math_8_2_ln";   10;-0,80439;2|3 ;   -1,645 ;   -1,632;  0,01363; 0,008351
"Math_8_2_ln";   10;-0,8004;2|3 ;   -1,624 ;   -1,611;  0,01249; 0,007753
"Math_8_2_ln";   10;-0,79641;2|3 ;   -1,603 ;   -1,592;  0,01146;   0,0072
"Math_8_2_ln";   10;-0,79242;2|3 ;   -1,583 ;   -1,572;  0,01051; 0,006687
"Math_8_2_ln";   10;-0,78842;2|3 ;   -1,563 ;   -1,553; 0,009649; 0,006212
"Math_8_2_ln";   10;-0,78443;2|3 ;   -1,543 ;   -1,534; 0,008856; 0,005772
"Math_8_2_ln";   10;-0,78044;2|3 ;   -1,524 ;   -1,516; 0,008131; 0,005363
"Math_8_2_ln";   10;-0,77645;2|3 ;   -1,506 ;   -1,498; 0,007466; 0,004984
"Math_8_2_ln";   10;-0,77246;2|3 ;   -1,487 ;    -1,48; 0,006857; 0,004632
"Math_8_2_ln";   10;-0,76846;2|3 ;   -1,469 ;   -1,463; 0,006298; 0,004305
"Math_8_2_ln";   10;-0,76447;2|3 ;   -1,452 ;   -1,446; 0,005786; 0,004002
"Math_8_2_ln";   10;-0,76048;2|3 ;   -1,434 ;   -1,429; 0,005316;  0,00372
"Math_8_2_ln";   10;-0,75649;2|3 ;   -1,417 ;   -1,413; 0,004885; 0,003458
"Math_8_2_ln";   10;-0,7525;2|3 ;   -1,401 ;   -1,396; 0,004489; 0,003215
"Math_8_2_ln";   10;-0,7485;2|3 ;   -1,384 ;    -1,38; 0,004125; 0,002988
"Math_8_2_ln";   10;-0,74451;2|3 ;   -1,368 ;   -1,365; 0,003791; 0,002778
"Math_8_2_ln";   10;-0,74052;2|3 ;   -1,353 ;   -1,349; 0,003484; 0,002583
"Math_8_2_ln";   10;-0,73653;2|3 ;   -1,337 ;   -1,334; 0,003202; 0,002401
"Math_8_2_ln";   10;-0,73253;2|3 ;   -1,322 ;   -1,319; 0,002943; 0,002232
"Math_8_2_ln";   10;-0,72854;2|3 ;   -1,307 ;   -1,304; 0,002705; 0,002074
"Math_8_2_ln";   10;-0,72455;2|3 ;   -1,292 ;   -1,289; 0,002486; 0,001928
"Math_8_2_ln";   10;-0,72056;2|3 ;   -1,277 ;   -1,275; 0,002285; 0,001792
"Math_8_2_ln";   10;-0,71657;2|3 ;   -1,263 ;   -1,261;   0,0021; 0,001666
"Math_8_2_ln";   10;-0,71257;2|3 ;   -1,249 ;   -1,247;  0,00193; 0,001548
"Math_8_2_ln";   10;-0,70858;2|3 ;   -1,235 ;   -1,233; 0,001773; 0,001438
