"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"  Arccos_1";   10;-0,99601;2|3 ;     3,15 ;        0;     3,15;        ∞
"  Arccos_1";   10;-0,99202;2|3 ;    3,124 ;        0;    3,124;        ∞
"  Arccos_1";   10;-0,98802;2|3 ;    3,099 ;        0;    3,099;        ∞
"  Arccos_1";   10;-0,98403;2|3 ;    3,076 ;        0;    3,076;        ∞
"  Arccos_1";   10;-0,98004;2|3 ;    3,053 ;        0;    3,053;        ∞
"  Arccos_1";   10;-0,97605;2|3 ;    3,031 ;        0;    3,031;        ∞
"  Arccos_1";   10;-0,97206;2|3 ;     3,01 ;        0;     3,01;        ∞
"  Arccos_1";   10;-0,96806;2|3 ;     2,99 ;        0;     2,99;        ∞
"  Arccos_1";   10;-0,96407;2|3 ;     2,97 ;        0;     2,97;        ∞
"  Arccos_1";   10;-0,96008;2|3 ;    2,951 ;        0;    2,951;        ∞
"  Arccos_1";   10;-0,95609;2|3 ;    2,933 ;        0;    2,933;        ∞
"  Arccos_1";   10;-0,9521;2|3 ;    2,915 ;        0;    2,915;        ∞
"  Arccos_1";   10;-0,9481;2|3 ;    2,898 ;        0;    2,898;        ∞
"  Arccos_1";   10;-0,94411;2|3 ;    2,882 ;        0;    2,882;        ∞
"  Arccos_1";   10;-0,94012;2|3 ;    2,866 ;        0;    2,866;        ∞
"  Arccos_1";   10;-0,93613;2|3 ;     2,85 ;        0;     2,85;        ∞
"  Arccos_1";   10;-0,93214;2|3 ;    2,835 ;        0;    2,835;        ∞
"  Arccos_1";   10;-0,92814;2|3 ;    2,821 ;        0;    2,821;        ∞
"  Arccos_1";   10;-0,92415;2|3 ;    2,807 ;        0;    2,807;        ∞
"  Arccos_1";   10;-0,92016;2|3 ;    2,793 ;        0;    2,793;        ∞
"  Arccos_1";   10;-0,91617;2|3 ;     2,78 ;        0;     2,78;        ∞
"  Arccos_1";   10;-0,91218;2|3 ;    2,767 ;        0;    2,767;        ∞
"  Arccos_1";   10;-0,90818;2|3 ;    2,755 ;        0;    2,755;        ∞
"  Arccos_1";   10;-0,90419;2|3 ;    2,743 ;        0;    2,743;        ∞
"  Arccos_1";   10;-0,9002;2|3 ;    2,731 ;        0;    2,731;        ∞
"  Arccos_1";   10;-0,89621;2|3 ;    2,719 ;        0;    2,719;        ∞
"  Arccos_1";   10;-0,89222;2|3 ;    2,708 ;        0;    2,708;        ∞
"  Arccos_1";   10;-0,88822;2|3 ;    2,697 ;        0;    2,697;        ∞
"  Arccos_1";   10;-0,88423;2|3 ;    2,686 ;        0;    2,686;        ∞
"  Arccos_1";   10;-0,88024;2|3 ;    2,676 ;        0;    2,676;        ∞
"  Arccos_1";   10;-0,87625;2|3 ;    2,666 ;        0;    2,666;        ∞
"  Arccos_1";   10;-0,87226;2|3 ;    2,656 ;        0;    2,656;        ∞
"  Arccos_1";   10;-0,86826;2|3 ;    2,646 ;        0;    2,646;        ∞
"  Arccos_1";   10;-0,86427;2|3 ;    2,637 ;        0;    2,637;        ∞
"  Arccos_1";   10;-0,86028;2|3 ;    2,627 ;        0;    2,627;        ∞
"  Arccos_1";   10;-0,85629;2|3 ;    2,618 ;        0;    2,618;        ∞
"  Arccos_1";   10;-0,8523;2|3 ;    2,609 ;        0;    2,609;        ∞
"  Arccos_1";   10;-0,8483;2|3 ;      2,6 ;        0;      2,6;        ∞
"  Arccos_1";   10;-0,84431;2|3 ;    2,592 ;        0;    2,592;        ∞
"  Arccos_1";   10;-0,84032;2|3 ;    2,583 ;        0;    2,583;        ∞
"  Arccos_1";   10;-0,83633;2|3 ;    2,575 ;        0;    2,575;        ∞
"  Arccos_1";   10;-0,83234;2|3 ;    2,567 ;        0;    2,567;        ∞
"  Arccos_1";   10;-0,82834;2|3 ;    2,559 ;        0;    2,559;        ∞
"  Arccos_1";   10;-0,82435;2|3 ;    2,551 ;        0;    2,551;        ∞
"  Arccos_1";   10;-0,82036;2|3 ;    2,543 ;        0;    2,543;        ∞
"  Arccos_1";   10;-0,81637;2|3 ;    2,535 ;        0;    2,535;        ∞
"  Arccos_1";   10;-0,81238;2|3 ;    2,528 ;        0;    2,528;        ∞
"  Arccos_1";   10;-0,80838;2|3 ;     2,52 ;        0;     2,52;        ∞
"  Arccos_1";   10;-0,80439;2|3 ;    2,513 ;        0;    2,513;        ∞
"  Arccos_1";   10;-0,8004;2|3 ;    2,506 ;        0;    2,506;        ∞
"  Arccos_1";   10;-0,79641;2|3 ;    2,499 ;        0;    2,499;        ∞
"  Arccos_1";   10;-0,79242;2|3 ;    2,492 ;        0;    2,492;        ∞
"  Arccos_1";   10;-0,78842;2|3 ;    2,485 ;        0;    2,485;        ∞
"  Arccos_1";   10;-0,78443;2|3 ;    2,478 ;        0;    2,478;        ∞
"  Arccos_1";   10;-0,78044;2|3 ;    2,471 ;        0;    2,471;        ∞
"  Arccos_1";   10;-0,77645;2|3 ;    2,464 ;        0;    2,464;        ∞
"  Arccos_1";   10;-0,77246;2|3 ;    2,458 ;        0;    2,458;        ∞
"  Arccos_1";   10;-0,76846;2|3 ;    2,451 ;        0;    2,451;        ∞
"  Arccos_1";   10;-0,76447;2|3 ;    2,445 ;        0;    2,445;        ∞
"  Arccos_1";   10;-0,76048;2|3 ;    2,438 ;        0;    2,438;        ∞
"  Arccos_1";   10;-0,75649;2|3 ;    2,432 ;        0;    2,432;        ∞
"  Arccos_1";   10;-0,7525;2|3 ;    2,425 ;        0;    2,425;        ∞
"  Arccos_1";   10;-0,7485;2|3 ;    2,419 ;        0;    2,419;        ∞
"  Arccos_1";   10;-0,74451;2|3 ;    2,413 ;        0;    2,413;        ∞
"  Arccos_1";   10;-0,74052;2|3 ;    2,407 ;        0;    2,407;        ∞
"  Arccos_1";   10;-0,73653;2|3 ;    2,401 ;        0;    2,401;        ∞
"  Arccos_1";   10;-0,73253;2|3 ;    2,395 ;        0;    2,395;        ∞
"  Arccos_1";   10;-0,72854;2|3 ;    2,389 ;        0;    2,389;        ∞
"  Arccos_1";   10;-0,72455;2|3 ;    2,383 ;        0;    2,383;        ∞
"  Arccos_1";   10;-0,72056;2|3 ;    2,377 ;        0;    2,377;        ∞
"  Arccos_1";   10;-0,71657;2|3 ;    2,371 ;        0;    2,371;        ∞
"  Arccos_1";   10;-0,71257;2|3 ;    2,365 ;        0;    2,365;        ∞
"  Arccos_1";   10;-0,70858;2|3 ;    2,359 ;        0;    2,359;        ∞
"  Arccos_1";   10;-0,70459;2|3 ;    2,354 ;        0;    2,354;        ∞
"  Arccos_1";   10;-0,7006;2|3 ;    2,348 ;        0;    2,348;        ∞
"  Arccos_1";   10;-0,69661;2|3 ;    2,342 ;        0;    2,342;        ∞
