"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"  Arcctg_1"; 1000;-0,99601;2|3 ;    2,354 ;        0;    2,354;        ∞
"  Arcctg_1"; 1000;-0,99202;2|3 ;    2,352 ;        0;    2,352;        ∞
"  Arcctg_1"; 1000;-0,98802;2|3 ;     2,35 ;        0;     2,35;        ∞
"  Arcctg_1"; 1000;-0,98403;2|3 ;    2,348 ;        0;    2,348;        ∞
"  Arcctg_1"; 1000;-0,98004;2|3 ;    2,346 ;        0;    2,346;        ∞
"  Arcctg_1"; 1000;-0,97605;2|3 ;    2,344 ;        0;    2,344;        ∞
"  Arcctg_1"; 1000;-0,97206;2|3 ;    2,342 ;        0;    2,342;        ∞
"  Arcctg_1"; 1000;-0,96806;2|3 ;     2,34 ;        0;     2,34;        ∞
"  Arcctg_1"; 1000;-0,96407;2|3 ;    2,338 ;        0;    2,338;        ∞
"  Arcctg_1"; 1000;-0,96008;2|3 ;    2,336 ;        0;    2,336;        ∞
"  Arcctg_1"; 1000;-0,95609;2|3 ;    2,334 ;        0;    2,334;        ∞
"  Arcctg_1"; 1000;-0,9521;2|3 ;    2,332 ;        0;    2,332;        ∞
"  Arcctg_1"; 1000;-0,9481;2|3 ;     2,33 ;        0;     2,33;        ∞
"  Arcctg_1"; 1000;-0,94411;2|3 ;    2,327 ;        0;    2,327;        ∞
"  Arcctg_1"; 1000;-0,94012;2|3 ;    2,325 ;        0;    2,325;        ∞
"  Arcctg_1"; 1000;-0,93613;2|3 ;    2,323 ;        0;    2,323;        ∞
"  Arcctg_1"; 1000;-0,93214;2|3 ;    2,321 ;        0;    2,321;        ∞
"  Arcctg_1"; 1000;-0,92814;2|3 ;    2,319 ;        0;    2,319;        ∞
"  Arcctg_1"; 1000;-0,92415;2|3 ;    2,317 ;        0;    2,317;        ∞
"  Arcctg_1"; 1000;-0,92016;2|3 ;    2,315 ;        0;    2,315;        ∞
"  Arcctg_1"; 1000;-0,91617;2|3 ;    2,312 ;        0;    2,312;        ∞
"  Arcctg_1"; 1000;-0,91218;2|3 ;     2,31 ;        0;     2,31;        ∞
"  Arcctg_1"; 1000;-0,90818;2|3 ;    2,308 ;        0;    2,308;        ∞
"  Arcctg_1"; 1000;-0,90419;2|3 ;    2,306 ;        0;    2,306;        ∞
"  Arcctg_1"; 1000;-0,9002;2|3 ;    2,304 ;        0;    2,304;        ∞
"  Arcctg_1"; 1000;-0,89621;2|3 ;    2,302 ;        0;    2,302;        ∞
"  Arcctg_1"; 1000;-0,89222;2|3 ;    2,299 ;        0;    2,299;        ∞
"  Arcctg_1"; 1000;-0,88822;2|3 ;    2,297 ;        0;    2,297;        ∞
"  Arcctg_1"; 1000;-0,88423;2|3 ;    2,295 ;        0;    2,295;        ∞
"  Arcctg_1"; 1000;-0,88024;2|3 ;    2,293 ;        0;    2,293;        ∞
"  Arcctg_1"; 1000;-0,87625;2|3 ;     2,29 ;        0;     2,29;        ∞
"  Arcctg_1"; 1000;-0,87226;2|3 ;    2,288 ;        0;    2,288;        ∞
"  Arcctg_1"; 1000;-0,86826;2|3 ;    2,286 ;        0;    2,286;        ∞
"  Arcctg_1"; 1000;-0,86427;2|3 ;    2,284 ;        0;    2,284;        ∞
