"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"    Cos_23";  100; -96078;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -92157;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -88235;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -84314;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -80392;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -76471;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -72549;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -68627;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -64706;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -60784;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -56863;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -52941;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -49020;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -45098;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -41176;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -37255;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -33333;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -29412;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -25490;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -21569;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -17647;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; -13725;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;-9803,9;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;-5882,4;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;-1960,8;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; 1960,8;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; 5882,4;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100; 9803,9;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  13725;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  17647;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  21569;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  25490;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  29412;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  33333;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  37255;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  41176;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  45098;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  49020;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  52941;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  56863;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  60784;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  64706;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  68627;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  72549;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  76471;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  80392;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  84314;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  88235;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  92157;2|3 ; не число ;        0; не число; не число
"    Cos_23";  100;  96078;2|3 ; не число ;        0; не число; не число

