"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"  Math_4_2"; 1000;-0,99601;2|3 ;    1,413 ;        0;    1,413;        ∞
"  Math_4_2"; 1000;-0,99202;2|3 ;    1,411 ;        0;    1,411;        ∞
"  Math_4_2"; 1000;-0,98802;2|3 ;     1,41 ;        0;     1,41;        ∞
"  Math_4_2"; 1000;-0,98403;2|3 ;    1,409 ;        0;    1,409;        ∞
"  Math_4_2"; 1000;-0,98004;2|3 ;    1,407 ;        0;    1,407;        ∞
"  Math_4_2"; 1000;-0,97605;2|3 ;    1,406 ;        0;    1,406;        ∞
"  Math_4_2"; 1000;-0,97206;2|3 ;    1,404 ;        0;    1,404;        ∞
"  Math_4_2"; 1000;-0,96806;2|3 ;    1,403 ;        0;    1,403;        ∞
"  Math_4_2"; 1000;-0,96407;2|3 ;    1,401 ;        0;    1,401;        ∞
"  Math_4_2"; 1000;-0,96008;2|3 ;      1,4 ;        0;      1,4;        ∞
"  Math_4_2"; 1000;-0,95609;2|3 ;    1,399 ;        0;    1,399;        ∞
"  Math_4_2"; 1000;-0,9521;2|3 ;    1,397 ;        0;    1,397;        ∞
"  Math_4_2"; 1000;-0,9481;2|3 ;    1,396 ;        0;    1,396;        ∞
"  Math_4_2"; 1000;-0,94411;2|3 ;    1,394 ;        0;    1,394;        ∞
"  Math_4_2"; 1000;-0,94012;2|3 ;    1,393 ;        0;    1,393;        ∞
"  Math_4_2"; 1000;-0,93613;2|3 ;    1,391 ;        0;    1,391;        ∞
"  Math_4_2"; 1000;-0,93214;2|3 ;     1,39 ;        0;     1,39;        ∞
"  Math_4_2"; 1000;-0,92814;2|3 ;    1,389 ;        0;    1,389;        ∞
"  Math_4_2"; 1000;-0,92415;2|3 ;    1,387 ;        0;    1,387;        ∞
"  Math_4_2"; 1000;-0,92016;2|3 ;    1,386 ;        0;    1,386;        ∞
"  Math_4_2"; 1000;-0,91617;2|3 ;    1,384 ;        0;    1,384;        ∞
"  Math_4_2"; 1000;-0,91218;2|3 ;    1,383 ;        0;    1,383;        ∞
"  Math_4_2"; 1000;-0,90818;2|3 ;    1,381 ;        0;    1,381;        ∞
"  Math_4_2"; 1000;-0,90419;2|3 ;     1,38 ;        0;     1,38;        ∞
"  Math_4_2"; 1000;-0,9002;2|3 ;    1,378 ;        0;    1,378;        ∞
"  Math_4_2"; 1000;-0,89621;2|3 ;    1,377 ;        0;    1,377;        ∞
"  Math_4_2"; 1000;-0,89222;2|3 ;    1,376 ;        0;    1,376;        ∞
"  Math_4_2"; 1000;-0,88822;2|3 ;    1,374 ;        0;    1,374;        ∞
"  Math_4_2"; 1000;-0,88423;2|3 ;    1,373 ;        0;    1,373;        ∞
"  Math_4_2"; 1000;-0,88024;2|3 ;    1,371 ;        0;    1,371;        ∞
"  Math_4_2"; 1000;-0,87625;2|3 ;     1,37 ;        0;     1,37;        ∞
"  Math_4_2"; 1000;-0,87226;2|3 ;    1,368 ;        0;    1,368;        ∞
"  Math_4_2"; 1000;-0,86826;2|3 ;    1,367 ;        0;    1,367;        ∞
"  Math_4_2"; 1000;-0,86427;2|3 ;    1,365 ;        0;    1,365;        ∞
"  Math_4_2"; 1000;-0,86028;2|3 ;    1,364 ;        0;    1,364;        ∞
"  Math_4_2"; 1000;-0,85629;2|3 ;    1,362 ;        0;    1,362;        ∞
"  Math_4_2"; 1000;-0,8523;2|3 ;    1,361 ;        0;    1,361;        ∞
"  Math_4_2"; 1000;-0,8483;2|3 ;     1,36 ;        0;     1,36;        ∞
"  Math_4_2"; 1000;-0,84431;2|3 ;    1,358 ;        0;    1,358;        ∞
"  Math_4_2"; 1000;-0,84032;2|3 ;    1,357 ;        0;    1,357;        ∞
"  Math_4_2"; 1000;-0,83633;2|3 ;    1,355 ;        0;    1,355;        ∞
"  Math_4_2"; 1000;-0,83234;2|3 ;    1,354 ;        0;    1,354;        ∞
"  Math_4_2"; 1000;-0,82834;2|3 ;    1,352 ;        0;    1,352;        ∞
"  Math_4_2"; 1000;-0,82435;2|3 ;    1,351 ;        0;    1,351;        ∞
"  Math_4_2"; 1000;-0,82036;2|3 ;    1,349 ;        0;    1,349;        ∞
"  Math_4_2"; 1000;-0,81637;2|3 ;    1,348 ;        0;    1,348;        ∞
"  Math_4_2"; 1000;-0,81238;2|3 ;    1,346 ;        0;    1,346;        ∞
"  Math_4_2"; 1000;-0,80838;2|3 ;    1,345 ;        0;    1,345;        ∞
"  Math_4_2"; 1000;-0,80439;2|3 ;    1,343 ;        0;    1,343;        ∞
"  Math_4_2"; 1000;-0,8004;2|3 ;    1,342 ;        0;    1,342;        ∞
"  Math_4_2"; 1000;-0,79641;2|3 ;     1,34 ;        0;     1,34;        ∞
"  Math_4_2"; 1000;-0,79242;2|3 ;    1,339 ;        0;    1,339;        ∞
"  Math_4_2"; 1000;-0,78842;2|3 ;    1,337 ;        0;    1,337;        ∞
"  Math_4_2"; 1000;-0,78443;2|3 ;    1,336 ;        0;    1,336;        ∞
"  Math_4_2"; 1000;-0,78044;2|3 ;    1,334 ;        0;    1,334;        ∞
"  Math_4_2"; 1000;-0,77645;2|3 ;    1,333 ;        0;    1,333;        ∞
"  Math_4_2"; 1000;-0,77246;2|3 ;    1,331 ;        0;    1,331;        ∞
"  Math_4_2"; 1000;-0,76846;2|3 ;     1,33 ;        0;     1,33;        ∞
"  Math_4_2"; 1000;-0,76447;2|3 ;    1,328 ;        0;    1,328;        ∞
"  Math_4_2"; 1000;-0,76048;2|3 ;    1,327 ;        0;    1,327;        ∞
"  Math_4_2"; 1000;-0,75649;2|3 ;    1,325 ;        0;    1,325;        ∞
"  Math_4_2"; 1000;-0,7525;2|3 ;    1,324 ;        0;    1,324;        ∞
"  Math_4_2"; 1000;-0,7485;2|3 ;    1,322 ;        0;    1,322;        ∞
"  Math_4_2"; 1000;-0,74451;2|3 ;    1,321 ;        0;    1,321;        ∞
"  Math_4_2"; 1000;-0,74052;2|3 ;    1,319 ;        0;    1,319;        ∞
"  Math_4_2"; 1000;-0,73653;2|3 ;    1,318 ;        0;    1,318;        ∞
"  Math_4_2"; 1000;-0,73253;2|3 ;    1,316 ;        0;    1,316;        ∞
"  Math_4_2"; 1000;-0,72854;2|3 ;    1,315 ;        0;    1,315;        ∞
"  Math_4_2"; 1000;-0,72455;2|3 ;    1,313 ;        0;    1,313;        ∞
"  Math_4_2"; 1000;-0,72056;2|3 ;    1,312 ;        0;    1,312;        ∞
"  Math_4_2"; 1000;-0,71657;2|3 ;     1,31 ;        0;     1,31;        ∞
"  Math_4_2"; 1000;-0,71257;2|3 ;    1,309 ;        0;    1,309;        ∞
"  Math_4_2"; 1000;-0,70858;2|3 ;    1,307 ;        0;    1,307;        ∞
"  Math_4_2"; 1000;-0,70459;2|3 ;    1,306 ;        0;    1,306;        ∞
"  Math_4_2"; 1000;-0,7006;2|3 ;    1,304 ;        0;    1,304;        ∞
"  Math_4_2"; 1000;-0,69661;2|3 ;    1,303 ;        0;    1,303;        ∞
"  Math_4_2"; 1000;-0,69261;2|3 ;    1,301 ;        0;    1,301;        ∞
"  Math_4_2"; 1000;-0,68862;2|3 ;    1,299 ;        0;    1,299;        ∞
"  Math_4_2"; 1000;-0,68463;2|3 ;    1,298 ;        0;    1,298;        ∞
"  Math_4_2"; 1000;-0,68064;2|3 ;    1,296 ;        0;    1,296;        ∞
"  Math_4_2"; 1000;-0,67665;2|3 ;    1,295 ;        0;    1,295;        ∞
"  Math_4_2"; 1000;-0,67265;2|3 ;    1,293 ;        0;    1,293;        ∞
"  Math_4_2"; 1000;-0,66866;2|3 ;    1,292 ;        0;    1,292;        ∞
"  Math_4_2"; 1000;-0,66467;2|3 ;     1,29 ;        0;     1,29;        ∞
"  Math_4_2"; 1000;-0,66068;2|3 ;    1,289 ;        0;    1,289;        ∞
"  Math_4_2"; 1000;-0,65669;2|3 ;    1,287 ;        0;    1,287;        ∞
"  Math_4_2"; 1000;-0,65269;2|3 ;    1,286 ;        0;    1,286;        ∞
"  Math_4_2"; 1000;-0,6487;2|3 ;    1,284 ;        0;    1,284;        ∞
"  Math_4_2"; 1000;-0,64471;2|3 ;    1,282 ;        0;    1,282;        ∞
"  Math_4_2"; 1000;-0,64072;2|3 ;    1,281 ;        0;    1,281;        ∞
"  Math_4_2"; 1000;-0,63673;2|3 ;    1,279 ;        0;    1,279;        ∞
"  Math_4_2"; 1000;-0,63273;2|3 ;    1,278 ;        0;    1,278;        ∞
"  Math_4_2"; 1000;-0,62874;2|3 ;    1,276 ;        0;    1,276;        ∞
"  Math_4_2"; 1000;-0,62475;2|3 ;    1,275 ;        0;    1,275;        ∞
