"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Math_4_2_ln";   10;  198,6;2|3 ;    5,094 ;        0;    5,094;        ∞
"Math_4_2_ln";   10; 398,21;2|3 ;     5,49 ;        0;     5,49;        ∞
"Math_4_2_ln";   10; 597,81;2|3 ;    5,652 ;        0;    5,652;        ∞
"Math_4_2_ln";   10; 797,41;2|3 ;     5,74 ;        0;     5,74;        ∞
"Math_4_2_ln";   10; 997,01;2|3 ;    5,795 ;        0;    5,795;        ∞
"Math_4_2_ln";   10; 1196,6;2|3 ;    5,833 ;        0;    5,833;        ∞
"Math_4_2_ln";   10; 1396,2;2|3 ;    5,861 ;        0;    5,861;        ∞
"Math_4_2_ln";   10; 1595,8;2|3 ;    5,882 ;        0;    5,882;        ∞
"Math_4_2_ln";   10; 1795,4;2|3 ;    5,899 ;        0;    5,899;        ∞
"Math_4_2_ln";   10;   1995;2|3 ;    5,913 ;        0;    5,913;        ∞
"Math_4_2_ln";   10; 2194,6;2|3 ;    5,924 ;        0;    5,924;        ∞
"Math_4_2_ln";   10; 2394,2;2|3 ;    5,933 ;        0;    5,933;        ∞
"Math_4_2_ln";   10; 2593,8;2|3 ;    5,941 ;        0;    5,941;        ∞
"Math_4_2_ln";   10; 2793,4;2|3 ;    5,948 ;        0;    5,948;        ∞
"Math_4_2_ln";   10;   2993;2|3 ;    5,954 ;        0;    5,954;        ∞
"Math_4_2_ln";   10; 3192,6;2|3 ;    5,959 ;        0;    5,959;        ∞
"Math_4_2_ln";   10; 3392,2;2|3 ;    5,964 ;        0;    5,964;        ∞
"Math_4_2_ln";   10; 3591,9;2|3 ;    5,968 ;        0;    5,968;        ∞
"Math_4_2_ln";   10; 3791,5;2|3 ;    5,972 ;        0;    5,972;        ∞
"Math_4_2_ln";   10; 3991,1;2|3 ;    5,975 ;        0;    5,975;        ∞
"Math_4_2_ln";   10; 4190,7;2|3 ;    5,978 ;        0;    5,978;        ∞
"Math_4_2_ln";   10; 4390,3;2|3 ;    5,981 ;        0;    5,981;        ∞
"Math_4_2_ln";   10; 4589,9;2|3 ;    5,983 ;        0;    5,983;        ∞
"Math_4_2_ln";   10; 4789,5;2|3 ;    5,986 ;        0;    5,986;        ∞
"Math_4_2_ln";   10; 4989,1;2|3 ;    5,988 ;        0;    5,988;        ∞
"Math_4_2_ln";   10; 5188,7;2|3 ;     5,99 ;        0;     5,99;        ∞
"Math_4_2_ln";   10; 5388,3;2|3 ;    5,992 ;        0;    5,992;        ∞
"Math_4_2_ln";   10; 5587,9;2|3 ;    5,993 ;        0;    5,993;        ∞
"Math_4_2_ln";   10; 5787,5;2|3 ;    5,995 ;        0;    5,995;        ∞
"Math_4_2_ln";   10; 5987,1;2|3 ;    5,996 ;        0;    5,996;        ∞
"Math_4_2_ln";   10; 6186,7;2|3 ;    5,998 ;        0;    5,998;        ∞
"Math_4_2_ln";   10; 6386,3;2|3 ;    5,999 ;        0;    5,999;        ∞
"Math_4_2_ln";   10; 6585,9;2|3 ;        6 ;        0;        6;        ∞
"Math_4_2_ln";   10; 6785,5;2|3 ;    6,001 ;        0;    6,001;        ∞
"Math_4_2_ln";   10; 6985,1;2|3 ;    6,002 ;        0;    6,002;        ∞
"Math_4_2_ln";   10; 7184,7;2|3 ;    6,003 ;        0;    6,003;        ∞
"Math_4_2_ln";   10; 7384,3;2|3 ;    6,004 ;        0;    6,004;        ∞
"Math_4_2_ln";   10; 7583,9;2|3 ;    6,005 ;        0;    6,005;        ∞
"Math_4_2_ln";   10; 7783,5;2|3 ;    6,006 ;        0;    6,006;        ∞
"Math_4_2_ln";   10; 7983,1;2|3 ;    6,007 ;        0;    6,007;        ∞
"Math_4_2_ln";   10; 8182,7;2|3 ;    6,008 ;        0;    6,008;        ∞
"Math_4_2_ln";   10; 8382,3;2|3 ;    6,009 ;        0;    6,009;        ∞
"Math_4_2_ln";   10; 8581,9;2|3 ;    6,009 ;        0;    6,009;        ∞
"Math_4_2_ln";   10; 8781,5;2|3 ;     6,01 ;        0;     6,01;        ∞
"Math_4_2_ln";   10; 8981,1;2|3 ;    6,011 ;        0;    6,011;        ∞
"Math_4_2_ln";   10; 9180,7;2|3 ;    6,011 ;        0;    6,011;        ∞
"Math_4_2_ln";   10; 9380,3;2|3 ;    6,012 ;        0;    6,012;        ∞
"Math_4_2_ln";   10; 9579,9;2|3 ;    6,012 ;        0;    6,012;        ∞
