"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 99,001;2|3 ;    4,605 ;        0;    4,605;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;    299;2|3 ;    5,704 ;        0;    5,704;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 499,01;2|3 ;    6,215 ;        0;    6,215;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 699,01;2|3 ;    6,551 ;        0;    6,551;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 899,01;2|3 ;    6,802 ;        0;    6,802;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1099;2|3 ;    7,003 ;        0;    7,003;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1299;2|3 ;     7,17 ;        0;     7,17;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1499;2|3 ;    7,313 ;        0;    7,313;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1699;2|3 ;    7,438 ;        0;    7,438;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   1899;2|3 ;     7,55 ;        0;     7,55;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2099;2|3 ;     7,65 ;        0;     7,65;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2299;2|3 ;    7,741 ;        0;    7,741;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2499;2|3 ;    7,824 ;        0;    7,824;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2699;2|3 ;    7,901 ;        0;    7,901;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   2899;2|3 ;    7,973 ;        0;    7,973;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3099;2|3 ;    8,039 ;        0;    8,039;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3299;2|3 ;    8,102 ;        0;    8,102;        ∞
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;   3499;2|3 ;    8,161 ;        0;    8,161;        ∞
