"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"     Sin_1";100000;-1,5604; ;  -0,8547 ;  -0,8547; 1,11E-16;1,299E-16
"     Sin_1";100000;-1,5499; ;  -0,8592 ;  -0,8592; 1,11E-16;1,292E-16
"     Sin_1";100000;-1,5395; ;  -0,8635 ;  -0,8635;        0;        0
"     Sin_1";100000; -1,529; ;  -0,8676 ;  -0,8676;        0;        0
"     Sin_1";100000;-1,5186; ;  -0,8714 ;  -0,8714; 1,11E-16;1,274E-16
"     Sin_1";100000;-1,5082; ;   -0,875 ;   -0,875; 1,11E-16;1,269E-16
"     Sin_1";100000;-1,4977; ;  -0,8784 ;  -0,8784; 1,11E-16;1,264E-16
"     Sin_1";100000;-1,4873; ;  -0,8816 ;  -0,8816; 1,11E-16;1,259E-16
"     Sin_1";100000;-1,4769; ;  -0,8846 ;  -0,8846; 1,11E-16;1,255E-16
"     Sin_1";100000;-1,4664; ;  -0,8873 ;  -0,8873; 1,11E-16;1,251E-16
"     Sin_1";100000; -1,456; ;  -0,8899 ;  -0,8899; 1,11E-16;1,248E-16
"     Sin_1";100000;-1,4456; ;  -0,8922 ;  -0,8922;        0;        0
"     Sin_1";100000;-1,4351; ;  -0,8943 ;  -0,8943;        0;        0
"     Sin_1";100000;-1,4247; ;  -0,8963 ;  -0,8963;        0;        0
"     Sin_1";100000;-1,4142; ;   -0,898 ;   -0,898;        0;        0
"     Sin_1";100000;-1,4038; ;  -0,8995 ;  -0,8995; 1,11E-16;1,234E-16
"     Sin_1";100000;-1,3934; ;  -0,9008 ;  -0,9008;        0;        0
"     Sin_1";100000;-1,3829; ;  -0,9019 ;  -0,9019; 1,11E-16;1,231E-16
"     Sin_1";100000;-1,3725; ;  -0,9029 ;  -0,9029; 1,11E-16; 1,23E-16
"     Sin_1";100000;-1,3621; ;  -0,9036 ;  -0,9036; 1,11E-16;1,229E-16
"     Sin_1";100000;-1,3516; ;  -0,9042 ;  -0,9042; 1,11E-16;1,228E-16
"     Sin_1";100000;-1,3412; ;  -0,9045 ;  -0,9045; 1,11E-16;1,227E-16
"     Sin_1";100000;-1,3307; ;  -0,9047 ;  -0,9047; 1,11E-16;1,227E-16
"     Sin_1";100000;-1,3203; ;  -0,9047 ;  -0,9047; 1,11E-16;1,227E-16
"     Sin_1";100000;-1,3099; ;  -0,9045 ;  -0,9045; 1,11E-16;1,227E-16
"     Sin_1";100000;-1,2994; ;  -0,9041 ;  -0,9041;        0;        0
"     Sin_1";100000; -1,289; ;  -0,9036 ;  -0,9036; 1,11E-16;1,229E-16
"     Sin_1";100000;-1,2786; ;  -0,9029 ;  -0,9029;        0;        0
"     Sin_1";100000;-1,2681; ;   -0,902 ;   -0,902; 1,11E-16;1,231E-16
"     Sin_1";100000;-1,2577; ;  -0,9009 ;  -0,9009;        0;        0
"     Sin_1";100000;-1,2472; ;  -0,8997 ;  -0,8997; 1,11E-16;1,234E-16
"     Sin_1";100000;-1,2368; ;  -0,8983 ;  -0,8983; 1,11E-16;1,236E-16
"     Sin_1";100000;-1,2264; ;  -0,8967 ;  -0,8967; 1,11E-16;1,238E-16
"     Sin_1";100000;-1,2159; ;   -0,895 ;   -0,895; 1,11E-16;1,241E-16
"     Sin_1";100000;-1,2055; ;  -0,8931 ;  -0,8931; 1,11E-16;1,243E-16
"     Sin_1";100000;-1,1951; ;   -0,891 ;   -0,891;        0;        0
"     Sin_1";100000;-1,1846; ;  -0,8888 ;  -0,8888;        0;        0
"     Sin_1";100000;-1,1742; ;  -0,8864 ;  -0,8864;        0;        0
"     Sin_1";100000;-1,1637; ;  -0,8839 ;  -0,8839;        0;        0
"     Sin_1";100000;-1,1533; ;  -0,8812 ;  -0,8812; 1,11E-16; 1,26E-16
"     Sin_1";100000;-1,1429; ;  -0,8783 ;  -0,8783; 1,11E-16;1,264E-16
"     Sin_1";100000;-1,1324; ;  -0,8754 ;  -0,8754; 1,11E-16;1,268E-16
"     Sin_1";100000; -1,122; ;  -0,8722 ;  -0,8722; 1,11E-16;1,273E-16
"     Sin_1";100000;-1,1116; ;  -0,8689 ;  -0,8689;        0;        0
"     Sin_1";100000;-1,1011; ;  -0,8655 ;  -0,8655;        0;        0
"     Sin_1";100000;-1,0907; ;  -0,8619 ;  -0,8619; 1,11E-16;1,288E-16
"     Sin_1";100000;-1,0802; ;  -0,8582 ;  -0,8582;        0;        0
"     Sin_1";100000;-1,0698; ;  -0,8544 ;  -0,8544; 1,11E-16;1,299E-16
"     Sin_1";100000;-1,0594; ;  -0,8504 ;  -0,8504; 1,11E-16;1,306E-16
"     Sin_1";100000;-1,0489; ;  -0,8463 ;  -0,8463; 1,11E-16;1,312E-16
"     Sin_1";100000;-1,0385; ;   -0,842 ;   -0,842; 1,11E-16;1,319E-16
"     Sin_1";100000;-1,0281; ;  -0,8376 ;  -0,8376;        0;        0
"     Sin_1";100000;-1,0176; ;  -0,8331 ;  -0,8331; 1,11E-16;1,333E-16
"     Sin_1";100000;-1,0072; ;  -0,8285 ;  -0,8285; 1,11E-16; 1,34E-16
"     Sin_1";100000;-0,99675; ;  -0,8237 ;  -0,8237;        0;        0
"     Sin_1";100000;-0,98631; ;  -0,8188 ;  -0,8188; 1,11E-16;1,356E-16
"     Sin_1";100000;-0,97588; ;  -0,8138 ;  -0,8138; 1,11E-16;1,364E-16
"     Sin_1";100000;-0,96544; ;  -0,8086 ;  -0,8086;        0;        0
"     Sin_1";100000; -0,955; ;  -0,8034 ;  -0,8034; 1,11E-16;1,382E-16
"     Sin_1";100000;-0,94457; ;   -0,798 ;   -0,798;        0;        0
"     Sin_1";100000;-0,93413; ;  -0,7925 ;  -0,7925; 1,11E-16;1,401E-16
"     Sin_1";100000;-0,92369; ;  -0,7869 ;  -0,7869; 1,11E-16;1,411E-16
"     Sin_1";100000;-0,91325; ;  -0,7811 ;  -0,7811; 1,11E-16;1,421E-16
"     Sin_1";100000;-0,90282; ;  -0,7753 ;  -0,7753;        0;        0
"     Sin_1";100000;-0,89238; ;  -0,7693 ;  -0,7693; 1,11E-16;1,443E-16
"     Sin_1";100000;-0,88194; ;  -0,7632 ;  -0,7632; 1,11E-16;1,455E-16
"     Sin_1";100000;-0,8715; ;  -0,7571 ;  -0,7571; 1,11E-16;1,466E-16
"     Sin_1";100000;-0,86107; ;  -0,7508 ;  -0,7508; 1,11E-16;1,479E-16
"     Sin_1";100000;-0,85063; ;  -0,7444 ;  -0,7444; 1,11E-16;1,491E-16
"     Sin_1";100000;-0,84019; ;  -0,7379 ;  -0,7379;        0;        0
"     Sin_1";100000;-0,82976; ;  -0,7313 ;  -0,7313; 2,22E-16;3,036E-16
"     Sin_1";100000;-0,81932; ;  -0,7246 ;  -0,7246; 1,11E-16;1,532E-16
"     Sin_1";100000;-0,80888; ;  -0,7178 ;  -0,7178; 1,11E-16;1,547E-16
"     Sin_1";100000;-0,79844; ;  -0,7109 ;  -0,7109; 1,11E-16;1,562E-16
"     Sin_1";100000;-0,78801; ;   -0,704 ;   -0,704; 1,11E-16;1,577E-16
"     Sin_1";100000;-0,77757; ;  -0,6969 ;  -0,6969;        0;        0
"     Sin_1";100000;-0,76713; ;  -0,6897 ;  -0,6897;        0;        0
"     Sin_1";100000;-0,7567; ;  -0,6824 ;  -0,6824;        0;        0
"     Sin_1";100000;-0,74626; ;  -0,6751 ;  -0,6751;        0;        0
"     Sin_1";100000;-0,73582; ;  -0,6676 ;  -0,6676; 1,11E-16;1,663E-16
"     Sin_1";100000;-0,72538; ;  -0,6601 ;  -0,6601; 1,11E-16;1,682E-16
"     Sin_1";100000;-0,71495; ;  -0,6525 ;  -0,6525;        0;        0
"     Sin_1";100000;-0,70451; ;  -0,6448 ;  -0,6448; 1,11E-16;1,722E-16
"     Sin_1";100000;-0,69407; ;   -0,637 ;   -0,637;        0;        0
"     Sin_1";100000;-0,68364; ;  -0,6292 ;  -0,6292; 1,11E-16;1,765E-16
