"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"     Sin_1"; 1000;-1,5604; ;    -1,12 ;    -1,12; 2,22E-16;1,982E-16
"     Sin_1"; 1000;-1,5499; ;   -1,118 ;   -1,118; 2,22E-16;1,986E-16
"     Sin_1"; 1000;-1,5395; ;   -1,116 ;   -1,116;4,441E-16;3,979E-16
"     Sin_1"; 1000; -1,529; ;   -1,114 ;   -1,114;        0;        0
"     Sin_1"; 1000;-1,5186; ;   -1,111 ;   -1,111; 2,22E-16;1,998E-16
"     Sin_1"; 1000;-1,5082; ;   -1,109 ;   -1,109; 2,22E-16;2,002E-16
"     Sin_1"; 1000;-1,4977; ;   -1,106 ;   -1,106;        0;        0
"     Sin_1"; 1000;-1,4873; ;   -1,104 ;   -1,104;        0;        0
"     Sin_1"; 1000;-1,4769; ;   -1,101 ;   -1,101; 2,22E-16;2,017E-16
"     Sin_1"; 1000;-1,4664; ;   -1,098 ;   -1,098; 2,22E-16;2,022E-16
"     Sin_1"; 1000; -1,456; ;   -1,095 ;   -1,095;4,441E-16;4,056E-16
"     Sin_1"; 1000;-1,4456; ;   -1,092 ;   -1,092; 2,22E-16;2,034E-16
"     Sin_1"; 1000;-1,4351; ;   -1,089 ;   -1,089;4,441E-16;4,079E-16
"     Sin_1"; 1000;-1,4247; ;   -1,086 ;   -1,086; 2,22E-16;2,046E-16
"     Sin_1"; 1000;-1,4142; ;   -1,082 ;   -1,082;        0;        0
"     Sin_1"; 1000;-1,4038; ;   -1,079 ;   -1,079; 2,22E-16;2,058E-16
"     Sin_1"; 1000;-1,3934; ;   -1,075 ;   -1,075;        0;        0
"     Sin_1"; 1000;-1,3829; ;   -1,072 ;   -1,072; 2,22E-16;2,072E-16
"     Sin_1"; 1000;-1,3725; ;   -1,068 ;   -1,068; 2,22E-16;2,079E-16
"     Sin_1"; 1000;-1,3621; ;   -1,064 ;   -1,064; 2,22E-16;2,087E-16
"     Sin_1"; 1000;-1,3516; ;    -1,06 ;    -1,06; 2,22E-16;2,094E-16
"     Sin_1"; 1000;-1,3412; ;   -1,056 ;   -1,056;        0;        0
"     Sin_1"; 1000;-1,3307; ;   -1,052 ;   -1,052; 2,22E-16;2,111E-16
"     Sin_1"; 1000;-1,3203; ;   -1,048 ;   -1,048;4,441E-16;4,238E-16
"     Sin_1"; 1000;-1,3099; ;   -1,044 ;   -1,044;        0;        0
"     Sin_1"; 1000;-1,2994; ;   -1,039 ;   -1,039;        0;        0
"     Sin_1"; 1000; -1,289; ;   -1,035 ;   -1,035; 2,22E-16;2,146E-16
"     Sin_1"; 1000;-1,2786; ;    -1,03 ;    -1,03; 2,22E-16;2,155E-16
"     Sin_1"; 1000;-1,2681; ;   -1,026 ;   -1,026;        0;        0
"     Sin_1"; 1000;-1,2577; ;   -1,021 ;   -1,021; 2,22E-16;2,175E-16
"     Sin_1"; 1000;-1,2472; ;   -1,016 ;   -1,016; 2,22E-16;2,185E-16
"     Sin_1"; 1000;-1,2368; ;   -1,011 ;   -1,011; 2,22E-16;2,195E-16
"     Sin_1"; 1000;-1,2264; ;   -1,006 ;   -1,006; 2,22E-16;2,206E-16
"     Sin_1"; 1000;-1,2159; ;   -1,001 ;   -1,001;4,441E-16;4,435E-16
"     Sin_1"; 1000;-1,2055; ;  -0,9963 ;  -0,9963;        0;        0
"     Sin_1"; 1000;-1,1951; ;  -0,9911 ;  -0,9911; 1,11E-16; 1,12E-16
"     Sin_1"; 1000;-1,1846; ;  -0,9858 ;  -0,9858; 1,11E-16;1,126E-16
"     Sin_1"; 1000;-1,1742; ;  -0,9804 ;  -0,9804; 1,11E-16;1,132E-16
"     Sin_1"; 1000;-1,1637; ;  -0,9749 ;  -0,9749; 1,11E-16;1,139E-16
"     Sin_1"; 1000;-1,1533; ;  -0,9694 ;  -0,9694; 1,11E-16;1,145E-16
"     Sin_1"; 1000;-1,1429; ;  -0,9638 ;  -0,9638; 1,11E-16;1,152E-16
"     Sin_1"; 1000;-1,1324; ;  -0,9581 ;  -0,9581;        0;        0
"     Sin_1"; 1000; -1,122; ;  -0,9523 ;  -0,9523; 2,22E-16;2,332E-16
"     Sin_1"; 1000;-1,1116; ;  -0,9464 ;  -0,9464;        0;        0
"     Sin_1"; 1000;-1,1011; ;  -0,9405 ;  -0,9405;        0;        0
"     Sin_1"; 1000;-1,0907; ;  -0,9344 ;  -0,9344; 1,11E-16;1,188E-16
"     Sin_1"; 1000;-1,0802; ;  -0,9283 ;  -0,9283; 1,11E-16;1,196E-16
"     Sin_1"; 1000;-1,0698; ;  -0,9221 ;  -0,9221;        0;        0
"     Sin_1"; 1000;-1,0594; ;  -0,9159 ;  -0,9159;        0;        0
"     Sin_1"; 1000;-1,0489; ;  -0,9096 ;  -0,9096; 1,11E-16;1,221E-16
"     Sin_1"; 1000;-1,0385; ;  -0,9031 ;  -0,9031;        0;        0
"     Sin_1"; 1000;-1,0281; ;  -0,8967 ;  -0,8967; 1,11E-16;1,238E-16
"     Sin_1"; 1000;-1,0176; ;  -0,8901 ;  -0,8901;        0;        0
"     Sin_1"; 1000;-1,0072; ;  -0,8835 ;  -0,8835; 1,11E-16;1,257E-16
"     Sin_1"; 1000;-0,99675; ;  -0,8768 ;  -0,8768;        0;        0
"     Sin_1"; 1000;-0,98631; ;    -0,87 ;    -0,87; 1,11E-16;1,276E-16
"     Sin_1"; 1000;-0,97588; ;  -0,8631 ;  -0,8631;        0;        0
"     Sin_1"; 1000;-0,96544; ;  -0,8562 ;  -0,8562;        0;        0
"     Sin_1"; 1000; -0,955; ;  -0,8492 ;  -0,8492;        0;        0
"     Sin_1"; 1000;-0,94457; ;  -0,8421 ;  -0,8421; 1,11E-16;1,318E-16
"     Sin_1"; 1000;-0,93413; ;   -0,835 ;   -0,835;        0;        0
