  Function;    N;   Args;;      Val;    Ideal;      Abs;      Rel
     Sin_1;100000;-1,5604; ;-1,12;-0,9999;0,1205;0,1205
     Sin_1;100000;-1,5499; ;-1,118;-0,9998;0,1185;0,1185
     Sin_1;100000;-1,5395; ;-1,116;-0,9995;0,1166;0,1166
     Sin_1;100000;-1,529; ;-1,114;-0,9991;0,1147;0,1148
     Sin_1;100000;-1,5186; ;-1,111;-0,9986;0,1128;0,1129
     Sin_1;100000;-1,5082; ;-1,109;-0,998;0,1109;0,1111
     Sin_1;100000;-1,4977; ;-1,106;-0,9973;0,109;0,1093
     Sin_1;100000;-1,4873; ;-1,104;-0,9965;0,1071;0,1075
     Sin_1;100000;-1,4769; ;-1,101;-0,9956;0,1052;0,1057
     Sin_1;100000;-1,4664; ;-1,098;-0,9946;0,1034;0,104
     Sin_1;100000;-1,456; ;-1,095;-0,9934;0,1016;0,1022
     Sin_1;100000;-1,4456; ;-1,092;-0,9922;0,09975;0,1005
     Sin_1;100000;-1,4351; ;-1,089;-0,9908;0,09795;0,09886
     Sin_1;100000;-1,4247; ;-1,086;-0,9893;0,09616;0,0972
     Sin_1;100000;-1,4142; ;-1,082;-0,9878;0,09439;0,09556
     Sin_1;100000;-1,4038; ;-1,079;-0,9861;0,09263;0,09394
     Sin_1;100000;-1,3934; ;-1,075;-0,9843;0,09089;0,09234
     Sin_1;100000;-1,3829; ;-1,072;-0,9824;0,08916;0,09076
     Sin_1;100000;-1,3725; ;-1,068;-0,9804;0,08745;0,0892
     Sin_1;100000;-1,3621; ;-1,064;-0,9783;0,08575;0,08765
     Sin_1;100000;-1,3516; ;-1,06;-0,9761;0,08407;0,08613
     Sin_1;100000;-1,3412; ;-1,056;-0,9738;0,0824;0,08462
     Sin_1;100000;-1,3307; ;-1,052;-0,9713;0,08075;0,08313
     Sin_1;100000;-1,3203; ;-1,048;-0,9688;0,07912;0,08167
     Sin_1;100000;-1,3099; ;-1,044;-0,9662;0,0775;0,08021
     Sin_1;100000;-1,2994; ;-1,039;-0,9634;0,0759;0,07878
     Sin_1;100000;-1,289; ;-1,035;-0,9606;0,07431;0,07736
     Sin_1;100000;-1,2786; ;-1,03;-0,9576;0,07274;0,07597
     Sin_1;100000;-1,2681; ;-1,026;-0,9545;0,07119;0,07458
     Sin_1;100000;-1,2577; ;-1,021;-0,9514;0,06966;0,07322
