angle; absoluteError; relativeError
0,015707963267949;5,55111512312578E-17;1
0,0314159265358979;0;NaN
0,0471238898038469;0;NaN
0,0628318530717959;1,11022302462516E-16;1
0,0785398163397448;0;NaN
0,0942477796076938;5,55111512312578E-17;1
0,109955742875643;0;NaN
0,125663706143592;5,55111512312578E-17;1
0,141371669411541;1,11022302462516E-16;1
0,15707963267949;5,55111512312578E-17;1
0,172787595947439;1,11022302462516E-16;1
0,188495559215388;5,55111512312578E-17;1
0,204203522483337;5,55111512312578E-17;1
0,219911485751286;0;NaN
0,235619449019235;0;NaN
0,251327412287183;1,11022302462516E-16;1
0,267035375555132;1,11022302462516E-16;1
0,282743338823081;0;NaN
0,29845130209103;1,11022302462516E-16;1
0,314159265358979;1,11022302462516E-16;1
0,329867228626928;2,22044604925031E-16;1
0,345575191894877;2,22044604925031E-16;1
0,361283155162826;0;NaN
0,376991118430775;2,22044604925031E-16;1
0,392699081698724;0;NaN
0,408407044966673;1,11022302462516E-16;1
0,424115008234622;1,11022302462516E-16;1
0,439822971502571;0;NaN
0,45553093477052;1,11022302462516E-16;1
0,471238898038469;2,22044604925031E-16;1
0,486946861306418;1,11022302462516E-16;1
0,502654824574367;0;NaN
0,518362787842316;1,11022302462516E-16;1
0,534070751110265;2,22044604925031E-16;1
0,549778714378214;1,11022302462516E-16;1
0,565486677646163;2,22044604925031E-16;1
0,581194640914112;0;NaN
0,596902604182061;2,22044604925031E-16;1
0,61261056745001;2,22044604925031E-16;1
0,628318530717959;0;NaN
0,644026493985908;2,22044604925031E-16;1
0,659734457253857;0;NaN
0,675442420521806;2,22044604925031E-16;1
0,691150383789755;0;NaN
0,706858347057704;0;NaN
0,722566310325652;2,22044604925031E-16;1
0,738274273593601;2,22044604925031E-16;1
0,75398223686155;0;NaN
0,769690200129499;0;NaN
0,785398163397448;0;NaN
0,801106126665397;0;NaN
0,816814089933346;4,44089209850063E-16;1
0,832522053201295;2,22044604925031E-16;1
0,848230016469244;4,44089209850063E-16;1
0,863937979737193;4,44089209850063E-16;1
0,879645943005142;0;NaN
0,895353906273091;0;NaN
0,91106186954104;4,44089209850063E-16;1
0,926769832808989;0;NaN
0,942477796076938;0;NaN
0,958185759344887;4,44089209850063E-16;1
0,973893722612836;4,44089209850063E-16;1
0,989601685880785;0;NaN
1,00530964914873;4,44089209850063E-16;1
1,02101761241668;4,44089209850063E-16;1
1,03672557568463;4,44089209850063E-16;1
1,05243353895258;0;NaN
1,06814150222053;4,44089209850063E-16;1
1,08384946548848;8,88178419700125E-16;1
1,09955742875643;8,88178419700125E-16;1
1,11526539202438;8,88178419700125E-16;1
1,13097335529233;0;NaN
1,14668131856027;8,88178419700125E-16;1
1,16238928182822;8,88178419700125E-16;1
1,17809724509617;0;NaN
1,19380520836412;8,88178419700125E-16;1
1,20951317163207;1,77635683940025E-15;1
1,22522113490002;0;NaN
1,24092909816797;3,5527136788005E-15;1
1,25663706143592;3,5527136788005E-15;1
1,27234502470387;5,32907051820075E-15;1
1,28805298797182;3,5527136788005E-15;1
1,30376095123976;1,4210854715202E-14;1
1,31946891450771;2,8421709430404E-14;1
1,33517687777566;1,84741111297626E-13;1
1,35088484104361;5,61612978344783E-11;1
1,36659280431156;3,5527136788005E-14;1
1,38230076757951;7,105427357601E-15;1
1,39800873084746;3,5527136788005E-15;1
1,41371669411541;0;NaN
1,42942465738336;3,5527136788005E-15;1
1,4451326206513;1,77635683940025E-15;1
1,46084058391925;1,77635683940025E-15;1
1,4765485471872;0;NaN
1,49225651045515;0;NaN
1,5079644737231;0;NaN
1,52367243699105;8,88178419700125E-16;1
1,539380400259;0;NaN
1,55508836352695;0;NaN
