angle; absoluteError; relativeError
-98;1,11022302462516E-16;1
-96;0;NaN
-94;5,55111512312578E-17;1
-92;0;NaN
-90;5,55111512312578E-17;1
-88;2,22044604925031E-16;1
-86;0;NaN
-84;6,93889390390723E-17;1
-82;0;NaN
-80;0;NaN
-78;2,77555756156289E-17;1
-76;1,11022302462516E-16;1
-74;1,11022302462516E-16;1
-72;5,55111512312578E-17;1
-70;1,11022302462516E-16;1
-68;1,11022302462516E-16;1
-66;1,11022302462516E-16;1
-64;1,11022302462516E-16;1
-62;5,55111512312578E-17;1
-60;1,11022302462516E-16;1
-58;1,11022302462516E-16;1
-56;2,77555756156289E-17;1
-54;0;NaN
-52;1,11022302462516E-16;1
-50;5,55111512312578E-17;1
-48;0;NaN
-46;5,55111512312578E-17;1
-44;1,11022302462516E-16;1
-42;0;NaN
-40;1,11022302462516E-16;1
-38;1,11022302462516E-16;1
-36;1,11022302462516E-16;1
-34;1,66533453693773E-16;1
-32;1,11022302462516E-16;1
-30;0;NaN
-28;0;NaN
-26;0;NaN
-24;5,55111512312578E-17;1
-22;1,11022302462516E-16;1
-20;0;NaN
-18;1,38777878078145E-16;1
-16;1,11022302462516E-16;1
-14;1,11022302462516E-16;1
-12;1,11022302462516E-16;1
-10;0;NaN
-8;0;NaN
-6;5,55111512312578E-17;1
-4;0;NaN
-2;1,66533453693773E-16;1
0;0;NaN
2;1,11022302462516E-16;1
4;1,11022302462516E-16;1
6;1,11022302462516E-16;1
8;0;NaN
10;2,77555756156289E-17;1
12;1,11022302462516E-16;1
14;0;NaN
16;1,66533453693773E-16;1
18;1,11022302462516E-16;1
20;0;NaN
22;1,11022302462516E-16;1
24;0;NaN
26;5,55111512312578E-17;1
28;0;NaN
30;0;NaN
32;1,11022302462516E-16;1
34;2,22044604925031E-16;1
36;1,11022302462516E-16;1
38;5,55111512312578E-17;1
40;1,11022302462516E-16;1
42;5,55111512312578E-17;1
44;1,11022302462516E-16;1
46;0;NaN
48;2,77555756156289E-17;1
50;1,11022302462516E-16;1
52;1,11022302462516E-16;1
54;5,55111512312578E-17;1
56;0;NaN
58;1,11022302462516E-16;1
60;1,11022302462516E-16;1
62;0;NaN
64;5,55111512312578E-17;1
66;1,11022302462516E-16;1
68;1,11022302462516E-16;1
70;8,32667268468867E-17;1
72;0;NaN
74;0;NaN
76;6,93889390390723E-17;1
78;0;NaN
80;0;NaN
82;5,55111512312578E-17;1
84;1,11022302462516E-16;1
86;5,55111512312578E-17;1
88;2,22044604925031E-16;1
90;0;NaN
92;2,77555756156289E-17;1
94;1,11022302462516E-16;1
96;0;NaN
98;1,11022302462516E-16;1
