angle; absoluteError; relativeError
-98;0;NaN
-96;2,22044604925031E-16;1
-94;1,11022302462516E-16;1
-92;2,08166817117217E-17;1
-90;0;NaN
-88;1,11022302462516E-16;1
-86;2,77555756156289E-17;1
-84;2,22044604925031E-16;1
-82;2,22044604925031E-16;1
-80;2,77555756156289E-17;1
-78;2,22044604925031E-16;1
-76;0;NaN
-74;0;NaN
-72;2,22044604925031E-16;1
-70;0;NaN
-68;4,16333634234434E-17;1
-66;0;NaN
-64;0;NaN
-62;4,16333634234434E-17;1
-60;1,11022302462516E-16;1
-58;0;NaN
-56;5,55111512312578E-17;1
-54;0;NaN
-52;0;NaN
-50;0;NaN
-48;1,38777878078145E-17;1
-46;2,22044604925031E-16;1
-44;0;NaN
-42;1,38777878078145E-17;1
-40;0;NaN
-38;2,22044604925031E-16;1
-36;5,55111512312578E-17;1
-34;0;NaN
-32;0;NaN
-30;2,77555756156289E-17;1
-28;0;NaN
-26;2,22044604925031E-16;1
-24;5,55111512312578E-17;1
-22;0;NaN
-20;2,22044604925031E-16;1
-18;5,55111512312578E-17;1
-16;0;NaN
-14;0;NaN
-12;5,55111512312578E-17;1
-10;5,55111512312578E-17;1
-8;0;NaN
-6;0;NaN
-4;4,16333634234434E-17;1
-2;0;NaN
0;0;NaN
2;1,38777878078145E-17;1
4;0;NaN
6;2,22044604925031E-16;1
8;2,77555756156289E-17;1
10;0;NaN
12;0;NaN
14;5,55111512312578E-17;1
16;0;NaN
18;0;NaN
20;2,77555756156289E-17;1
22;1,11022302462516E-16;1
24;0;NaN
26;5,55111512312578E-17;1
28;1,11022302462516E-16;1
30;2,22044604925031E-16;1
32;5,55111512312578E-17;1
34;0;NaN
36;0;NaN
38;1,11022302462516E-16;1
40;5,55111512312578E-17;1
42;0;NaN
44;0;NaN
46;4,16333634234434E-17;1
48;0;NaN
50;0;NaN
52;2,77555756156289E-17;1
54;2,22044604925031E-16;1
56;0;NaN
58;2,77555756156289E-17;1
60;0;NaN
62;2,22044604925031E-16;1
64;5,55111512312578E-17;1
66;0;NaN
68;0;NaN
70;0;NaN
72;0;NaN
74;2,22044604925031E-16;1
76;0;NaN
78;0;NaN
80;2,22044604925031E-16;1
82;0;NaN
84;2,77555756156289E-17;1
86;0;NaN
88;1,11022302462516E-16;1
90;4,16333634234434E-17;1
92;0;NaN
94;0;NaN
96;5,55111512312578E-17;1
98;2,22044604925031E-16;1
