angle; absoluteError; relativeError
-98;-98;0;NaN
-98;-96;0;NaN
-98;-94;2,22044604925031E-16;1
-98;-92;5,55111512312578E-17;1
-98;-90;5,55111512312578E-17;1
-98;-88;0;NaN
-98;-86;0;NaN
-98;-84;5,55111512312578E-17;1
-98;-82;2,22044604925031E-16;1
-98;-80;0;NaN
-98;-78;4,16333634234434E-17;1
-98;-76;2,22044604925031E-16;1
-98;-74;1,11022302462516E-16;1
-98;-72;8,32667268468867E-17;1
-98;-70;2,22044604925031E-16;1
-98;-68;0;NaN
-98;-66;2,77555756156289E-17;1
-98;-64;2,22044604925031E-16;1
-98;-62;0;NaN
-98;-60;0;NaN
-98;-58;1,11022302462516E-16;1
-98;-56;0;NaN
-98;-54;1,90819582357449E-17;1
-98;-52;0;NaN
-98;-50;2,22044604925031E-16;1
-98;-48;5,55111512312578E-17;1
-98;-46;5,55111512312578E-17;1
-98;-44;0;NaN
-98;-42;0;NaN
-98;-40;2,77555756156289E-17;1
-98;-38;2,22044604925031E-16;1
-98;-36;0;NaN
-98;-34;2,08166817117217E-17;1
-98;-32;0;NaN
-98;-30;1,11022302462516E-16;1
-98;-28;2,77555756156289E-17;1
-98;-26;0;NaN
-98;-24;0;NaN
-98;-22;0;NaN
-98;-20;0;NaN
-98;-18;0;NaN
-98;-16;0;NaN
-98;-14;1,11022302462516E-16;1
-98;-12;0;NaN
-98;-10;3,46944695195361E-17;1
-98;-8;0;NaN
-98;-6;2,22044604925031E-16;1
-98;-4;0;NaN
-98;-2;0;NaN
-98;0;0;NaN
-98;2;0;NaN
-98;4;0;NaN
-98;6;2,22044604925031E-16;1
-98;8;0;NaN
-98;10;3,46944695195361E-17;1
-98;12;0;NaN
-98;14;1,11022302462516E-16;1
-98;16;0;NaN
-98;18;0;NaN
-98;20;0;NaN
-98;22;0;NaN
-98;24;0;NaN
-98;26;0;NaN
-98;28;2,77555756156289E-17;1
-98;30;1,11022302462516E-16;1
-98;32;0;NaN
-98;34;2,08166817117217E-17;1
-98;36;0;NaN
-98;38;2,22044604925031E-16;1
-98;40;2,77555756156289E-17;1
-98;42;0;NaN
-98;44;0;NaN
-98;46;5,55111512312578E-17;1
-98;48;5,55111512312578E-17;1
-98;50;2,22044604925031E-16;1
-98;52;0;NaN
-98;54;1,90819582357449E-17;1
-98;56;0;NaN
-98;58;1,11022302462516E-16;1
-98;60;0;NaN
-98;62;0;NaN
-98;64;2,22044604925031E-16;1
-98;66;2,77555756156289E-17;1
-98;68;0;NaN
-98;70;2,22044604925031E-16;1
-98;72;8,32667268468867E-17;1
-98;74;1,11022302462516E-16;1
-98;76;2,22044604925031E-16;1
-98;78;4,16333634234434E-17;1
-98;80;0;NaN
