x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;0;0;0
0,2485;2,22044604925031E-16;0;0
0,298;0;0;0
0,3475;0;0;0
0,397;2,22044604925031E-16;0;0
0,4465;0;0;0
0,496;0;0;0
0,5455;0;0;0
0,595;0;0;0
0,6445;0;0;0
0,694;0;0;0
0,7435;1,11022302462516E-16;0;0
0,793;1,11022302462516E-16;0;0
0,8425;1,11022302462516E-16;0;0
0,892;0;0;0
0,9415;0;0;0
0,991;1,11022302462516E-16;0;0
1,0405;1,11022302462516E-16;0;0
1,09;0;0;0
1,1395;1,11022302462516E-16;0;0
1,189;1,11022302462516E-16;0;0
1,2385;0;0;0
1,288;2,22044604925031E-16;0;0
1,3375;0;0;0
1,387;0;0;0
1,4365;1,11022302462516E-16;0;0
1,486;0;0;0
1,5355;0;0;0
1,585;1,11022302462516E-16;0;0
1,6345;0;0;0
1,684;1,11022302462516E-16;0;0
1,7335;1,11022302462516E-16;0;0
1,783;2,22044604925031E-16;0;0
1,8325;1,11022302462516E-16;0;0
1,882;1,66533453693773E-16;0;0
1,9315;1,11022302462516E-16;0;0
1,981;3,33066907387547E-16;0;0
2,0305;1,66533453693773E-16;0;0
2,08;0;0;0
2,1295;1,11022302462516E-16;0;0
2,179;1,11022302462516E-16;0;0
2,2285;0;0;0
2,278;5,55111512312578E-17;0;0
2,3275;1,11022302462516E-16;0;0
2,377;1,66533453693773E-16;0;0
2,4265;2,22044604925031E-16;0;0
2,476;5,55111512312578E-17;0;0
2,5255;1,66533453693773E-16;0;0
2,575;2,22044604925031E-16;0;0
2,6245;5,55111512312578E-17;0;0
2,674;1,11022302462516E-16;0;0
2,7235;5,55111512312578E-17;0;0
2,773;1,66533453693773E-16;0;0
2,8225;5,55111512312578E-17;0;0
2,872;1,66533453693773E-16;0;0
2,9215;1,11022302462516E-16;0;0
2,971;2,77555756156289E-16;0;0
3,0205;5,55111512312578E-17;0;0
3,07;1,11022302462516E-16;0;0
3,1195;1,66533453693773E-16;0;0
3,169;2,77555756156289E-16;0;0
3,2185;2,77555756156289E-16;0;0
3,268;0;0;0
3,3175;4,44089209850063E-16;0;0
3,367;4,9960036108132E-16;0;0
3,4165;0;0;0
3,466;1,11022302462516E-16;0;0
3,5155;0;0;0
3,565;5,55111512312578E-17;0;0
3,6145;2,77555756156289E-16;0;0
3,664;5,55111512312578E-17;0;0
3,7135;0;0;0
3,763;1,66533453693773E-16;0;0
3,8125;4,44089209850063E-16;0;0
3,862;1,11022302462516E-16;0;0
3,9115;0;0;0
3,961;1,38777878078145E-16;0;0
4,0105;2,22044604925031E-16;0;0
4,06;3,60822483003176E-16;0;0
4,1095;1,94289029309402E-16;0;0
4,159;2,77555756156289E-16;0;0
4,2085;2,4980018054066E-16;0;0
4,258;3,88578058618805E-16;0;0
4,3075;3,60822483003176E-16;0;0
4,357;4,71844785465692E-16;0;0
4,4065;2,4980018054066E-16;0;0
4,456;5,55111512312578E-17;0;0
4,5055;3,33066907387547E-16;0;0
4,555;1,66533453693773E-16;0;0
4,6045;2,4980018054066E-16;0;0
4,654;1,38777878078145E-16;0;0
4,7035;3,88578058618805E-16;0;0
4,753;1,66533453693773E-16;0;0
4,8025;4,71844785465692E-16;0;0
4,852;3,33066907387547E-16;0;0
4,9015;1,38777878078145E-16;0;0
4,951;1,11022302462516E-16;0;0
5,0005;2,77555756156289E-17;0;0
5,05;1,38777878078145E-16;0;0
5,0995;2,77555756156289E-16;0;0
5,149;2,4980018054066E-16;0;0
5,1985;1,38777878078145E-16;0;0
5,248;4,16333634234434E-16;0;0
5,2975;8,32667268468867E-17;0;0
5,347;4,9960036108132E-16;0;0
5,3965;1,94289029309402E-16;0;0
5,446;1,38777878078145E-16;0;0
5,4955;5,55111512312578E-17;0;0
5,545;3,33066907387547E-16;0;0
5,5945;4,16333634234434E-16;0;0
5,644;3,60822483003176E-16;0;0
5,6935;2,77555756156289E-17;0;0
5,743;1,11022302462516E-16;0;0
