x;absoluteError;relativeError;computation time (milliseconds)
0,1495;6,66133814775094E-16;0;0
0,199;4,44089209850063E-16;0;0
0,2485;2,22044604925031E-16;0;0
0,298;0;0;0
0,3475;2,22044604925031E-16;0;0
0,397;2,22044604925031E-16;0;0
0,4465;2,22044604925031E-16;0;0
0,496;2,22044604925031E-16;0;0
0,5455;0;0;0
0,595;2,22044604925031E-16;0;0
0,6445;1,11022302462516E-16;0;0
0,694;1,11022302462516E-16;0;0
0,7435;1,11022302462516E-16;0;0
0,793;0;0;0
0,8425;1,11022302462516E-16;0;0
0,892;0;0;0
0,9415;2,22044604925031E-16;0;0
0,991;1,11022302462516E-16;0;0
1,0405;0;0;0
1,09;1,11022302462516E-16;0;0
1,1395;0;0;0
1,189;2,22044604925031E-16;0;0
1,2385;1,11022302462516E-16;0;0
1,288;1,11022302462516E-16;0;0
1,3375;2,22044604925031E-16;0;0
1,387;0;0;0
1,4365;1,11022302462516E-16;0;0
1,486;1,11022302462516E-16;0;0
1,5355;0;0;0
1,585;1,11022302462516E-16;0;0
1,6345;1,11022302462516E-16;0;0
1,684;0;0;0
1,7335;1,11022302462516E-16;0;0
1,783;1,11022302462516E-16;0;0
1,8325;1,66533453693773E-16;0;0
1,882;1,11022302462516E-16;0;0
1,9315;5,55111512312578E-17;0;0
1,981;1,11022302462516E-16;0;0
2,0305;0;0;0
2,08;1,66533453693773E-16;0;0
2,1295;0;0;0
2,179;5,55111512312578E-17;0;0
2,2285;5,55111512312578E-17;0;0
2,278;5,55111512312578E-17;0;0
2,3275;0;0;0
2,377;0;0;0
2,4265;1,66533453693773E-16;0;0
2,476;5,55111512312578E-17;0;0
2,5255;1,11022302462516E-16;0;0
2,575;0;0;0
2,6245;1,11022302462516E-16;0;0
2,674;0;0;0
2,7235;5,55111512312578E-17;0;0
2,773;5,55111512312578E-17;0;0
2,8225;1,11022302462516E-16;0;0
2,872;1,11022302462516E-16;0;0
2,9215;5,55111512312578E-17;0;0
2,971;5,55111512312578E-17;0;0
3,0205;0;0;0
3,07;5,55111512312578E-17;0;0
3,1195;1,66533453693773E-16;0;0
3,169;1,11022302462516E-16;0;0
3,2185;5,55111512312578E-17;0;0
3,268;5,55111512312578E-17;0;0
3,3175;5,55111512312578E-17;0;0
3,367;1,11022302462516E-16;0;0
3,4165;5,55111512312578E-17;0;0
3,466;0;0;0
3,5155;1,11022302462516E-16;0;0
3,565;1,11022302462516E-16;0;0
3,6145;1,11022302462516E-16;0;0
3,664;1,11022302462516E-16;0;0
3,7135;1,11022302462516E-16;0;0
3,763;0;0;0
3,8125;5,55111512312578E-17;0;0
3,862;5,55111512312578E-17;0;0
3,9115;1,11022302462516E-16;0;0
3,961;2,77555756156289E-17;0;0
4,0105;1,66533453693773E-16;0;0
4,06;8,32667268468867E-17;0;0
4,1095;5,55111512312578E-17;0;0
4,159;0;0;0
4,2085;2,77555756156289E-17;0;0
4,258;8,32667268468867E-17;0;0
4,3075;2,77555756156289E-17;0;0
4,357;8,32667268468867E-17;0;0
4,4065;8,32667268468867E-17;0;0
4,456;1,66533453693773E-16;0;0
4,5055;5,55111512312578E-17;0;0
4,555;5,55111512312578E-17;0;0
4,6045;1,38777878078145E-16;0;0
4,654;0;0;0
4,7035;1,94289029309402E-16;0;0
4,753;0;0;0
4,8025;2,77555756156289E-17;0;0
4,852;8,32667268468867E-17;0;0
4,9015;5,55111512312578E-17;0;0
4,951;1,38777878078145E-16;0;0
5,0005;5,55111512312578E-17;0;0
5,05;5,55111512312578E-17;0;0
5,0995;0;0;0
5,149;0;0;0
5,1985;1,11022302462516E-16;0;0
5,248;8,32667268468867E-17;0;0
5,2975;2,77555756156289E-17;0;0
5,347;8,32667268468867E-17;0;0
5,3965;0;0;0
5,446;5,55111512312578E-17;0;0
5,4955;5,55111512312578E-17;0;0
5,545;1,11022302462516E-16;0;0
5,5945;1,66533453693773E-16;0;0
5,644;1,66533453693773E-16;0;0
5,6935;5,55111512312578E-17;0;0
5,743;1,11022302462516E-16;0;0
5,7925;1,11022302462516E-16;0;0
5,842;1,11022302462516E-16;0;0
5,8915;5,55111512312578E-17;0;0
5,941;8,32667268468867E-17;0;0
5,9905;0;0;0
6,04;1,11022302462516E-16;0;0
6,0895;1,38777878078145E-16;0;0
6,139;2,77555756156289E-17;0;0
6,1885;2,77555756156289E-17;0;0
6,238;5,55111512312578E-17;0;0
6,2875;2,77555756156289E-17;0;0
6,337;8,32667268468867E-17;0;0
