x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;1,11022302462516E-16;0;0
0,3475;4,44089209850063E-16;0;0
0,397;2,22044604925031E-16;0;0
0,4465;0;0;0
0,496;0;0;0
0,5455;2,22044604925031E-16;0;0
0,595;0;0;0
0,6445;1,11022302462516E-16;0;0
0,694;0;0;0
0,7435;2,22044604925031E-16;0;0
0,793;1,11022302462516E-16;0;0
0,8425;2,22044604925031E-16;0;0
0,892;1,11022302462516E-16;0;0
0,9415;1,11022302462516E-16;0;0
0,991;0;0;0
1,0405;0;0;0
1,09;0;0;0
1,1395;0;0;0
1,189;0;0;0
1,2385;0;0;0
1,288;0;0;0
1,3375;0;0;0
1,387;0;0;0
1,4365;0;0;0
1,486;0;0;0
1,5355;0;0;0
1,585;0;0;0
1,6345;0;0;0
1,684;0;0;0
1,7335;0;0;0
1,783;0;0;0
1,8325;0;0;0
1,882;0;0;0
1,9315;0;0;0
1,981;0;0;0
2,0305;0;0;0
2,08;0;0;0
2,1295;0;0;0
2,179;0;0;0
2,2285;0;0;0
2,278;0;0;0
2,3275;1,11022302462516E-16;0;0
2,377;0;0;0
2,4265;0;0;0
2,476;2,22044604925031E-16;0;0
2,5255;0;0;0
2,575;1,11022302462516E-16;0;0
2,6245;2,22044604925031E-16;0;0
2,674;0;0;0
2,7235;0;0;0
2,773;0;0;0
2,8225;0;0;0
2,872;0;0;0
2,9215;1,11022302462516E-16;0;0
2,971;0;0;0
3,0205;0;0;0
3,07;2,22044604925031E-16;0;0
3,1195;1,11022302462516E-16;0;0
3,169;0;0;0
3,2185;0;0;0
3,268;0;0;0
3,3175;2,22044604925031E-16;0;0
3,367;0;0;0
3,4165;0;0;0
3,466;2,22044604925031E-16;0;0
3,5155;2,22044604925031E-16;0;0
3,565;2,22044604925031E-16;0;0
3,6145;0;0;0
3,664;0;0;0
3,7135;1,11022302462516E-16;0;0
3,763;0;0;0
3,8125;0;0;0
3,862;0;0;0
3,9115;1,11022302462516E-16;0;0
3,961;0;0;0
4,0105;0;0;0
4,06;0;0;0
4,1095;0;0;0
4,159;0;0;0
4,2085;0;0;0
4,258;0;0;0
4,3075;0;0;0
4,357;0;0;0
4,4065;0;0;0
4,456;1,11022302462516E-16;0;0
4,5055;0;0;0
4,555;0;0;0
4,6045;0;0;0
4,654;0;0;0
4,7035;0;0;0
4,753;0;0;0
4,8025;0;0;0
4,852;0;0;0
4,9015;0;0;0
4,951;0;0;0
5,0005;0;0;0
5,05;0;0;0
5,0995;0;0;0
5,149;0;0;0
5,1985;0;0;0
5,248;0;0;0
5,2975;0;0;0
5,347;0;0;0
5,3965;0;0;0
5,446;1,11022302462516E-16;0;0
5,4955;0;0;0
5,545;0;0;0
5,5945;1,11022302462516E-16;0;0
5,644;0;0;0
5,6935;2,22044604925031E-16;0;0
5,743;2,22044604925031E-16;0;0
5,7925;0;0;0
5,842;0;0;0
5,8915;0;0;0
5,941;0;0;0
5,9905;1,11022302462516E-16;0;0
6,04;0;0;0
6,0895;0;0;0
6,139;0;0;0
6,1885;1,11022302462516E-16;0;0
6,238;4,44089209850063E-16;0;0
6,2875;1,11022302462516E-16;0;0
6,337;0;0;0
6,3865;3,33066907387547E-16;0;0
6,436;2,22044604925031E-16;0;0
6,4855;2,22044604925031E-16;0;0
6,535;0;0;0
6,5845;0;0;0
6,634;0;0;0
6,6835;1,11022302462516E-16;0;0
6,733;1,11022302462516E-16;0;0
6,7825;1,11022302462516E-16;0;0
6,832;1,11022302462516E-16;0;0
6,8815;0;0;0
6,931;0;0;0
6,9805;0;0;0
7,03;1,11022302462516E-16;0;0
7,0795;0;0;0
7,129;0;0;0
7,1785;0;0;0
7,228;0;0;0
7,2775;0;0;0
7,327;1,11022302462516E-16;0;0
7,3765;0;0;0
7,426;0;0;0
7,4755;0;0;0
7,525;0;0;0
7,5745;0;0;0
7,624;0;0;0
7,6735;0;0;0
7,723;0;0;0
7,7725;0;0;0
7,822;0;0;0
7,8715;0;0;0
7,921;0;0;0
7,9705;0;0;0
8,02;0;0;0
8,0695;0;0;0
8,119;0;0;0
8,1685;0;0;0
8,218;0;0;0
8,2675;0;0;0
8,317;0;0;0
8,3665;0;0;0
8,416;0;0;0
8,4655;0;0;0
8,515;0;0;0
8,5645;0;0;0
8,614;1,11022302462516E-16;0;0
8,6635;0;0;0
8,713;1,11022302462516E-16;0;0
8,7625;0;0;0
8,812;0;0;0
8,8615;2,22044604925031E-16;0;0
8,911;2,22044604925031E-16;0;0
8,9605;0;0;0
9,01;2,22044604925031E-16;0;0
9,0595;0;0;0
9,109;2,22044604925031E-16;0;0
9,1585;2,22044604925031E-16;0;0
9,208;0;0;0
9,2575;0;0;0
9,307;3,33066907387547E-16;0;0
9,3565;0;0;0
9,406;1,11022302462516E-16;0;0
9,4555;0;0;0
9,505;1,11022302462516E-16;0;0
9,5545;0;0;0
9,604;0;0;0
9,6535;1,11022302462516E-16;0;0
9,703;2,22044604925031E-16;0;0
9,7525;1,11022302462516E-16;0;0
9,802;0;0;0
9,8515;0;0;0
9,901;0;0;0
9,9505;2,22044604925031E-16;0;0
