x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,77555756156289E-17;0;0
0,199;1,38777878078145E-16;0;0
0,2485;0;0;0
0,298;5,55111512312578E-17;0;0
0,3475;2,22044604925031E-16;0;0
0,397;5,55111512312578E-17;0;0
0,4465;1,11022302462516E-16;0;0
0,496;1,11022302462516E-16;0;0
0,5455;2,22044604925031E-16;0;0
0,595;0;0;0
0,6445;1,11022302462516E-16;0;0
0,694;1,11022302462516E-16;0;0
0,7435;1,11022302462516E-16;0;0
0,793;2,22044604925031E-16;0;0
0,8425;2,22044604925031E-16;0;0
0,892;0;0;0
0,9415;2,22044604925031E-16;0;0
0,991;2,22044604925031E-16;0;0
1,0405;0;0;0
1,09;4,44089209850063E-16;0;0
1,1395;4,44089209850063E-16;0;0
1,189;4,44089209850063E-16;0;0
1,2385;0;0;0
1,288;8,88178419700125E-16;0;0
1,3375;1,77635683940025E-15;0;0
1,387;1,77635683940025E-15;0;0
1,4365;4,44089209850063E-15;0;0
1,486;8,88178419700125E-15;0;0
1,5355;5,32907051820075E-14;0;0
1,585;2,98427949019242E-13;0;0
1,6345;1,4210854715202E-14;0;0
1,684;5,32907051820075E-15;0;0
1,7335;2,66453525910038E-15;0;0
1,783;8,88178419700125E-16;0;0
1,8325;4,44089209850063E-16;0;0
1,882;4,44089209850063E-16;0;0
1,9315;8,88178419700125E-16;0;0
1,981;4,44089209850063E-16;0;0
2,0305;4,44089209850063E-16;0;0
2,08;4,44089209850063E-16;0;0
2,1295;2,22044604925031E-16;0;0
2,179;0;0;0
2,2285;0;0;0
2,278;2,22044604925031E-16;0;0
2,3275;2,22044604925031E-16;0;0
2,377;1,11022302462516E-16;0;0
2,4265;0;0;0
2,476;1,11022302462516E-16;0;0
2,5255;1,11022302462516E-16;0;0
2,575;0;0;0
2,6245;1,11022302462516E-16;0;0
2,674;1,11022302462516E-16;0;0
2,7235;5,55111512312578E-17;0;0
2,773;5,55111512312578E-17;0;0
2,8225;5,55111512312578E-17;0;0
2,872;1,11022302462516E-16;0;0
2,9215;8,32667268468867E-17;0;0
2,971;5,55111512312578E-17;0;0
3,0205;6,93889390390723E-17;0;0
3,07;6,93889390390723E-17;0;0
3,1195;5,89805981832114E-17;0;0
3,169;5,89805981832114E-17;0;0
3,2185;5,55111512312578E-17;0;0
3,268;5,55111512312578E-17;0;0
3,3175;8,32667268468867E-17;0;0
3,367;5,55111512312578E-17;0;0
3,4165;5,55111512312578E-17;0;0
3,466;5,55111512312578E-17;0;0
3,5155;0;0;0
3,565;5,55111512312578E-17;0;0
3,6145;1,11022302462516E-16;0;0
3,664;1,11022302462516E-16;0;0
3,7135;1,11022302462516E-16;0;0
3,763;1,11022302462516E-16;0;0
3,8125;1,11022302462516E-16;0;0
3,862;1,11022302462516E-16;0;0
3,9115;2,22044604925031E-16;0;0
3,961;2,22044604925031E-16;0;0
4,0105;0;0;0
4,06;0;0;0
4,1095;2,22044604925031E-16;0;0
4,159;2,22044604925031E-16;0;0
4,2085;2,22044604925031E-16;0;0
4,258;0;0;0
4,3075;4,44089209850063E-16;0;0
4,357;4,44089209850063E-16;0;0
4,4065;8,88178419700125E-16;0;0
4,456;1,33226762955019E-15;0;0
4,5055;8,88178419700125E-16;0;0
4,555;2,66453525910038E-15;0;0
4,6045;5,32907051820075E-15;0;0
4,654;1,77635683940025E-14;0;0
4,7035;7,8159700933611E-13;0;0
4,753;3,5527136788005E-14;0;0
4,8025;7,105427357601E-15;0;0
4,852;3,5527136788005E-15;0;0
4,9015;1,77635683940025E-15;0;0
4,951;8,88178419700125E-16;0;0
5,0005;8,88178419700125E-16;0;0
5,05;4,44089209850063E-16;0;0
5,0995;4,44089209850063E-16;0;0
5,149;4,44089209850063E-16;0;0
5,1985;0;0;0
5,248;4,44089209850063E-16;0;0
5,2975;0;0;0
5,347;0;0;0
5,3965;2,22044604925031E-16;0;0
5,446;2,22044604925031E-16;0;0
5,4955;0;0;0
5,545;1,11022302462516E-16;0;0
5,5945;0;0;0
5,644;1,11022302462516E-16;0;0
5,6935;0;0;0
5,743;0;0;0
5,7925;0;0;0
5,842;5,55111512312578E-17;0;0
5,8915;1,11022302462516E-16;0;0
5,941;1,11022302462516E-16;0;0
5,9905;5,55111512312578E-17;0;0
6,04;2,77555756156289E-17;0;0
6,0895;2,77555756156289E-17;0;0
6,139;5,55111512312578E-17;0;0
6,1885;6,93889390390723E-17;0;0
6,238;6,24500451351651E-17;0;0
6,2875;6,07153216591882E-17;0;0
6,337;5,55111512312578E-17;0;0
6,3865;5,55111512312578E-17;0;0
6,436;5,55111512312578E-17;0;0
6,4855;5,55111512312578E-17;0;0
6,535;5,55111512312578E-17;0;0
6,5845;5,55111512312578E-17;0;0
6,634;5,55111512312578E-17;0;0
6,6835;1,11022302462516E-16;0;0
6,733;1,11022302462516E-16;0;0
