x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,77555756156289E-16;0;0
0,199;2,22044604925031E-16;0;0
0,2485;1,11022302462516E-16;0;0
0,298;5,55111512312578E-17;0;0
0,3475;1,11022302462516E-16;0;0
0,397;2,22044604925031E-16;0;0
0,4465;3,33066907387547E-16;0;0
0,496;6,66133814775094E-16;0;0
0,5455;7,7715611723761E-16;0;0
0,595;8,88178419700125E-16;0;0
0,6445;1,11022302462516E-15;0;0
0,694;1,22124532708767E-15;0;0
0,7435;1,55431223447522E-15;0;0
0,793;1,77635683940025E-15;0;0
0,8425;1,55431223447522E-15;0;0
0,892;1,33226762955019E-15;0;0
0,9415;1,11022302462516E-15;0;0
0,991;1,11022302462516E-15;0;0
1,0405;6,66133814775094E-16;0;0
1,09;1,11022302462516E-15;0;0
1,1395;1,77635683940025E-15;0;0
1,189;4,44089209850063E-16;0;0
1,2385;0;0;0
1,288;4,44089209850063E-16;0;0
1,3375;3,5527136788005E-15;0;0
1,387;6,21724893790088E-15;0;0
1,4365;2,04281036531029E-14;0;0
1,486;6,57252030578093E-14;0;0
1,5355;4,90274487674469E-13;0;0
1,585;2,88480350718601E-12;0;0
1,6345;2,30926389122033E-13;0;0
1,684;6,57252030578093E-14;0;0
1,7335;3,19744231092045E-14;0;0
1,783;1,59872115546023E-14;0;0
1,8325;9,76996261670138E-15;0;0
1,882;5,32907051820075E-15;0;0
1,9315;3,5527136788005E-15;0;0
1,981;1,77635683940025E-15;0;0
2,0305;0;0;0
2,08;0;0;0
2,1295;0;0;0
2,179;2,22044604925031E-16;0;0
2,2285;2,22044604925031E-16;0;0
2,278;1,11022302462516E-15;0;0
2,3275;8,88178419700125E-16;0;0
2,377;7,7715611723761E-16;0;0
2,4265;6,66133814775094E-16;0;0
2,476;8,88178419700125E-16;0;0
2,5255;1,11022302462516E-16;0;0
2,575;1,11022302462516E-16;0;0
2,6245;0;0;0
2,674;0;0;0
2,7235;5,55111512312578E-16;0;0
2,773;4,9960036108132E-16;0;0
2,8225;6,10622663543836E-16;0;0
2,872;4,9960036108132E-16;0;0
2,9215;4,71844785465692E-16;0;0
2,971;5,55111512312578E-17;0;0
3,0205;1,38777878078145E-17;0;0
3,07;4,16333634234434E-17;0;0
3,1195;5,89805981832114E-17;0;0
3,169;3,78169717762944E-16;0;0
3,2185;3,88578058618805E-16;0;0
3,268;4,16333634234434E-16;0;0
3,3175;4,16333634234434E-16;0;0
3,367;4,16333634234434E-16;0;0
3,4165;5,55111512312578E-17;0;0
3,466;1,11022302462516E-16;0;0
3,5155;1,11022302462516E-16;0;0
3,565;1,11022302462516E-16;0;0
3,6145;5,55111512312578E-16;0;0
3,664;5,55111512312578E-16;0;0
3,7135;6,66133814775094E-16;0;0
3,763;6,66133814775094E-16;0;0
3,8125;7,7715611723761E-16;0;0
3,862;0;0;0
3,9115;0;0;0
3,961;0;0;0
4,0105;2,22044604925031E-16;0;0
4,06;2,22044604925031E-16;0;0
4,1095;0;0;0
4,159;2,22044604925031E-16;0;0
4,2085;2,22044604925031E-16;0;0
4,258;4,44089209850063E-16;0;0
4,3075;4,44089209850063E-16;0;0
4,357;4,44089209850063E-16;0;0
4,4065;0;0;0
4,456;4,44089209850063E-16;0;0
4,5055;1,77635683940025E-15;0;0
4,555;0;0;0
4,6045;1,77635683940025E-15;0;0
4,654;3,5527136788005E-15;0;0
4,7035;9,52127265918534E-13;0;0
4,753;3,5527136788005E-14;0;0
4,8025;1,06581410364015E-14;0;0
4,852;2,66453525910038E-15;0;0
4,9015;1,77635683940025E-15;0;0
4,951;8,88178419700125E-16;0;0
5,0005;1,33226762955019E-15;0;0
