x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,22044604925031E-16;0;0
0,199;1,66533453693773E-16;0;0
0,2485;5,55111512312578E-17;0;0
0,298;0;0;0
0,3475;1,66533453693773E-16;0;0
0,397;2,77555756156289E-16;0;0
0,4465;3,88578058618805E-16;0;0
0,496;5,55111512312578E-16;0;0
0,5455;4,44089209850063E-16;0;0
0,595;3,33066907387547E-16;0;0
0,6445;1,11022302462516E-16;0;0
0,694;1,11022302462516E-16;0;0
0,7435;2,22044604925031E-16;0;0
0,793;2,22044604925031E-16;0;0
0,8425;6,66133814775094E-16;0;0
0,892;6,66133814775094E-16;0;0
0,9415;1,11022302462516E-15;0;0
0,991;1,11022302462516E-15;0;0
1,0405;8,88178419700125E-16;0;0
1,09;1,11022302462516E-15;0;0
1,1395;1,33226762955019E-15;0;0
1,189;0;0;0
1,2385;8,88178419700125E-16;0;0
1,288;4,44089209850063E-16;0;0
1,3375;6,21724893790088E-15;0;0
1,387;7,105427357601E-15;0;0
1,4365;1,77635683940025E-15;0;0
1,486;1,77635683940025E-15;0;0
1,5355;1,70530256582424E-13;0;0
1,585;9,66338120633736E-13;0;0
1,6345;0;0;0
1,684;0;0;0
1,7335;0;0;0
1,783;5,32907051820075E-15;0;0
1,8325;3,10862446895044E-15;0;0
1,882;0;0;0
1,9315;0;0;0
1,981;1,33226762955019E-15;0;0
2,0305;0;0;0
2,08;0;0;0
2,1295;2,22044604925031E-16;0;0
2,179;2,22044604925031E-16;0;0
2,2285;2,22044604925031E-16;0;0
2,278;2,22044604925031E-16;0;0
2,3275;2,22044604925031E-16;0;0
2,377;1,11022302462516E-16;0;0
2,4265;0;0;0
2,476;0;0;0
2,5255;0;0;0
2,575;1,11022302462516E-16;0;0
2,6245;1,11022302462516E-16;0;0
2,674;0;0;0
2,7235;5,55111512312578E-17;0;0
2,773;0;0;0
2,8225;5,55111512312578E-17;0;0
2,872;5,55111512312578E-17;0;0
2,9215;5,55111512312578E-17;0;0
2,971;2,77555756156289E-17;0;0
3,0205;5,55111512312578E-17;0;0
3,07;1,38777878078145E-17;0;0
3,1195;3,46944695195361E-18;0;0
3,169;3,46944695195361E-18;0;0
3,2185;0;0;0
3,268;0;0;0
3,3175;2,77555756156289E-17;0;0
3,367;0;0;0
3,4165;5,55111512312578E-17;0;0
3,466;0;0;0
3,5155;5,55111512312578E-17;0;0
3,565;5,55111512312578E-17;0;0
3,6145;0;0;0
3,664;0;0;0
3,7135;0;0;0
3,763;1,11022302462516E-16;0;0
3,8125;1,11022302462516E-16;0;0
3,862;0;0;0
3,9115;0;0;0
3,961;0;0;0
4,0105;0;0;0
4,06;0;0;0
4,1095;0;0;0
4,159;2,22044604925031E-16;0;0
4,2085;0;0;0
4,258;4,44089209850063E-16;0;0
4,3075;0;0;0
4,357;4,44089209850063E-16;0;0
4,4065;4,44089209850063E-16;0;0
4,456;8,88178419700125E-16;0;0
4,5055;8,88178419700125E-16;0;0
4,555;8,88178419700125E-16;0;0
4,6045;1,77635683940025E-15;0;0
4,654;1,06581410364015E-14;0;0
4,7035;3,26849658449646E-13;0;0
4,753;7,105427357601E-15;0;0
4,8025;1,77635683940025E-15;0;0
4,852;0;0;0
4,9015;8,88178419700125E-16;0;0
4,951;0;0;0
5,0005;0;0;0
5,05;0;0;0
5,0995;4,44089209850063E-16;0;0
5,149;0;0;0
5,1985;0;0;0
5,248;2,22044604925031E-16;0;0
5,2975;0;0;0
5,347;2,22044604925031E-16;0;0
5,3965;0;0;0
5,446;2,22044604925031E-16;0;0
5,4955;2,22044604925031E-16;0;0
5,545;0;0;0
5,5945;1,11022302462516E-16;0;0
5,644;0;0;0
5,6935;1,11022302462516E-16;0;0
5,743;0;0;0
5,7925;0;0;0
5,842;5,55111512312578E-17;0;0
5,8915;1,11022302462516E-16;0;0
5,941;5,55111512312578E-17;0;0
5,9905;0;0;0
6,04;2,77555756156289E-17;0;0
6,0895;2,77555756156289E-17;0;0
6,139;2,77555756156289E-17;0;0
6,1885;2,77555756156289E-17;0;0
6,238;4,16333634234434E-17;0;0
6,2875;2,60208521396521E-17;0;0
6,337;0;0;0
6,3865;1,38777878078145E-17;0;0
6,436;5,55111512312578E-17;0;0
6,4855;0;0;0
6,535;0;0;0
6,5845;0;0;0
6,634;5,55111512312578E-17;0;0
6,6835;5,55111512312578E-17;0;0
6,733;5,55111512312578E-17;0;0
6,7825;0;0;0
6,832;0;0;0
6,8815;0;0;0
6,931;0;0;0
6,9805;1,11022302462516E-16;0;0
7,03;1,11022302462516E-16;0;0
7,0795;0;0;0
7,129;2,22044604925031E-16;0;0
7,1785;0;0;0
7,228;2,22044604925031E-16;0;0
7,2775;2,22044604925031E-16;0;0
7,327;2,22044604925031E-16;0;0
7,3765;2,22044604925031E-16;0;0
7,426;0;0;0
7,4755;4,44089209850063E-16;0;0
7,525;4,44089209850063E-16;0;0
7,5745;4,44089209850063E-16;0;0
7,624;1,77635683940025E-15;0;0
7,6735;8,88178419700125E-16;0;0
7,723;0;0;0
7,7725;1,77635683940025E-15;0;0
7,822;6,75015598972095E-14;0;0
7,8715;7,105427357601E-14;0;0
7,921;1,77635683940025E-15;0;0
7,9705;1,77635683940025E-15;0;0
8,02;8,88178419700125E-16;0;0
8,0695;8,88178419700125E-16;0;0
8,119;4,44089209850063E-16;0;0
8,1685;0;0;0
8,218;0;0;0
8,2675;0;0;0
8,317;0;0;0
8,3665;2,22044604925031E-16;0;0
8,416;2,22044604925031E-16;0;0
8,4655;0;0;0
8,515;0;0;0
8,5645;0;0;0
8,614;2,22044604925031E-16;0;0
8,6635;0;0;0
8,713;0;0;0
8,7625;1,11022302462516E-16;0;0
8,812;0;0;0
8,8615;1,11022302462516E-16;0;0
8,911;0;0;0
8,9605;0;0;0
9,01;1,11022302462516E-16;0;0
9,0595;0;0;0
9,109;5,55111512312578E-17;0;0
9,1585;0;0;0
9,208;2,77555756156289E-17;0;0
9,2575;2,77555756156289E-17;0;0
9,307;2,77555756156289E-17;0;0
9,3565;2,77555756156289E-17;0;0
9,406;1,04083408558608E-17;0;0
9,4555;3,46944695195361E-18;0;0
9,505;1,38777878078145E-17;0;0
9,5545;2,77555756156289E-17;0;0
9,604;2,77555756156289E-17;0;0
9,6535;2,77555756156289E-17;0;0
9,703;0;0;0
9,7525;0;0;0
9,802;0;0;0
9,8515;0;0;0
9,901;0;0;0
9,9505;1,11022302462516E-16;0;0
