x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,77555756156289E-17;0;0
0,199;0;0;0
0,2485;2,77555756156289E-17;0;0
0,298;0;0;0
0,3475;0;0;0
0,397;5,55111512312578E-17;0;0
0,4465;5,55111512312578E-17;0;0
0,496;0;0;0
0,5455;0;0;0
0,595;0;0;0
0,6445;1,11022302462516E-16;0;0
0,694;0;0;0
0,7435;1,11022302462516E-16;0;0
0,793;0;0;0
0,8425;0;0;0
0,892;0;0;0
0,9415;0;0;0
0,991;0;0;0
1,0405;1,11022302462516E-16;0;0
1,09;0;0;0
1,1395;1,11022302462516E-16;0;0
1,189;0;0;0
1,2385;0;0;0
1,288;1,11022302462516E-16;0;0
1,3375;0;0;0
1,387;0;0;0
1,4365;0;0;0
1,486;0;0;0
1,5355;0;0;0
1,585;1,11022302462516E-16;0;0
1,6345;0;0;0
1,684;1,11022302462516E-16;0;0
1,7335;0;0;0
1,783;1,11022302462516E-16;0;0
1,8325;1,11022302462516E-16;0;0
1,882;0;0;0
1,9315;1,11022302462516E-16;0;0
1,981;1,11022302462516E-16;0;0
2,0305;0;0;0
2,08;0;0;0
2,1295;1,11022302462516E-16;0;0
2,179;0;0;0
2,2285;0;0;0
2,278;2,22044604925031E-16;0;0
2,3275;1,11022302462516E-16;0;0
2,377;1,11022302462516E-16;0;0
2,4265;0;0;0
2,476;1,11022302462516E-16;0;0
2,5255;1,11022302462516E-16;0;0
2,575;0;0;0
2,6245;0;0;0
2,674;0;0;0
2,7235;0;0;0
2,773;1,11022302462516E-16;0;0
2,8225;1,11022302462516E-16;0;0
2,872;0;0;0
2,9215;0;0;0
2,971;0;0;0
3,0205;1,11022302462516E-16;0;0
3,07;1,11022302462516E-16;0;0
3,1195;0;0;0
3,169;0;0;0
3,2185;0;0;0
3,268;0;0;0
3,3175;1,11022302462516E-16;0;0
3,367;0;0;0
3,4165;0;0;0
3,466;1,11022302462516E-16;0;0
3,5155;2,22044604925031E-16;0;0
3,565;1,11022302462516E-16;0;0
3,6145;0;0;0
3,664;1,11022302462516E-16;0;0
3,7135;0;0;0
3,763;0;0;0
3,8125;0;0;0
3,862;0;0;0
3,9115;0;0;0
3,961;1,11022302462516E-16;0;0
4,0105;1,11022302462516E-16;0;0
4,06;1,11022302462516E-16;0;0
4,1095;1,11022302462516E-16;0;0
4,159;2,22044604925031E-16;0;0
4,2085;1,11022302462516E-16;0;0
4,258;0;0;0
4,3075;0;0;0
4,357;1,11022302462516E-16;0;0
4,4065;1,11022302462516E-16;0;0
4,456;1,11022302462516E-16;0;0
4,5055;0;0;0
4,555;0;0;0
4,6045;0;0;0
4,654;0;0;0
4,7035;0;0;0
4,753;0;0;0
4,8025;1,11022302462516E-16;0;0
4,852;0;0;0
4,9015;0;0;0
4,951;1,11022302462516E-16;0;0
5,0005;1,11022302462516E-16;0;0
5,05;0;0;0
5,0995;0;0;0
5,149;0;0;0
5,1985;0;0;0
5,248;1,11022302462516E-16;0;0
5,2975;0;0;0
5,347;0;0;0
5,3965;1,11022302462516E-16;0;0
5,446;0;0;0
5,4955;0;0;0
5,545;0;0;0
5,5945;0;0;0
5,644;0;0;0
5,6935;0;0;0
5,743;0;0;0
5,7925;2,22044604925031E-16;0;0
5,842;0;0;0
5,8915;1,11022302462516E-16;0;0
5,941;1,11022302462516E-16;0;0
5,9905;1,11022302462516E-16;0;0
6,04;1,11022302462516E-16;0;0
6,0895;1,11022302462516E-16;0;0
6,139;0;0;0
6,1885;1,11022302462516E-16;0;0
6,238;0;0;0
6,2875;1,11022302462516E-16;0;0
6,337;0;0;0
6,3865;1,11022302462516E-16;0;0
6,436;1,11022302462516E-16;0;0
6,4855;0;0;0
6,535;1,11022302462516E-16;0;0
6,5845;1,11022302462516E-16;0;0
6,634;1,11022302462516E-16;0;0
6,6835;1,11022302462516E-16;0;0
6,733;1,11022302462516E-16;0;0
6,7825;1,11022302462516E-16;0;0
6,832;1,11022302462516E-16;0;0
6,8815;1,11022302462516E-16;0;0
6,931;0;0;0
6,9805;1,11022302462516E-16;0;0
7,03;1,11022302462516E-16;0;0
7,0795;0;0;0
7,129;1,11022302462516E-16;0;0
7,1785;1,11022302462516E-16;0;0
7,228;0;0;0
7,2775;1,11022302462516E-16;0;0
7,327;0;0;0
7,3765;1,11022302462516E-16;0;0
7,426;0;0;0
7,4755;1,11022302462516E-16;0;0
7,525;0;0;0
7,5745;1,11022302462516E-16;0;0
7,624;1,11022302462516E-16;0;0
7,6735;1,11022302462516E-16;0;0
7,723;1,11022302462516E-16;0;0
7,7725;0;0;0
7,822;1,11022302462516E-16;0;0
7,8715;1,11022302462516E-16;0;0
7,921;1,11022302462516E-16;0;0
7,9705;2,22044604925031E-16;0;0
8,02;0;0;0
8,0695;0;0;0
8,119;0;0;0
8,1685;0;0;0
8,218;0;0;0
