x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;0;0;0
0,3475;1,11022302462516E-16;0;0
0,397;1,11022302462516E-16;0;0
0,4465;1,11022302462516E-16;0;0
0,496;2,22044604925031E-16;0;0
0,5455;1,11022302462516E-16;0;0
0,595;1,11022302462516E-16;0;0
0,6445;1,11022302462516E-16;0;0
0,694;1,11022302462516E-16;0;0
0,7435;1,11022302462516E-16;0;0
0,793;3,33066907387547E-16;0;0
0,8425;3,33066907387547E-16;0;0
0,892;2,22044604925031E-16;0;0
0,9415;3,33066907387547E-16;0;0
0,991;2,22044604925031E-16;0;0
1,0405;3,33066907387547E-16;0;0
1,09;5,55111512312578E-16;0;0
1,1395;3,33066907387547E-16;0;0
1,189;3,33066907387547E-16;0;0
1,2385;4,44089209850063E-16;0;0
1,288;1,11022302462516E-16;0;0
1,3375;2,22044604925031E-16;0;0
1,387;4,44089209850063E-16;0;0
1,4365;9,99200722162641E-16;0;0
1,486;4,44089209850063E-16;0;0
1,5355;5,55111512312578E-16;0;0
1,585;1,11022302462516E-15;0;0
1,6345;1,4432899320127E-15;0;0
1,684;1,88737914186277E-15;0;0
1,7335;1,33226762955019E-15;0;0
1,783;1,33226762955019E-15;0;0
1,8325;2,22044604925031E-15;0;0
1,882;2,77555756156289E-15;0;0
1,9315;4,44089209850063E-16;0;0
1,981;2,77555756156289E-15;0;0
2,0305;2,44249065417534E-15;0;0
2,08;3,99680288865056E-15;0;0
2,1295;9,99200722162641E-16;0;0
2,179;1,11022302462516E-15;0;0
2,2285;3,33066907387547E-15;0;0
2,278;5,44009282066327E-15;0;0
2,3275;5,44009282066327E-15;0;0
2,377;1,66533453693773E-15;0;0
2,4265;5,6621374255883E-15;0;0
2,476;6,32827124036339E-15;0;0
2,5255;5,10702591327572E-15;0;0
2,575;3,5527136788005E-15;0;0
2,6245;6,77236045021345E-15;0;0
2,674;5,99520433297585E-15;0;0
2,7235;7,43849426498855E-15;0;0
2,773;1,24344978758018E-14;0;0
2,8225;1,77635683940025E-14;0;0
2,872;4,55191440096314E-15;0;0
2,9215;1,99840144432528E-14;0;0
2,971;1,99840144432528E-14;0;0
3,0205;5,10702591327572E-15;0;0
3,07;2,83106871279415E-14;0;0
3,1195;5,32907051820075E-15;0;0
3,169;2,94209101525666E-14;0;0
3,2185;1,16573417585641E-14;0;0
3,268;2,40918396343659E-14;0;0
3,3175;9,2148511043888E-15;0;0
3,367;2,93098878501041E-14;0;0
3,4165;2,91988655476416E-14;0;0
3,466;6,19504447740837E-14;0;0
3,5155;5,10702591327572E-14;0;0
3,565;1,53210777398272E-14;0;0
3,6145;7,84927678409986E-14;0;0
3,664;4,91828799908944E-14;0;0
3,7135;3,48610029732299E-14;0;0
3,763;5,39568389967826E-14;0;0
3,8125;4,18554080283684E-14;0;0
3,862;1,32782673745169E-13;0;0
3,9115;2,8421709430404E-14;0;0
3,961;8,57092175010621E-14;0;0
4,0105;1,20792265079217E-13;0;0
4,06;1,55875312657372E-13;0;0
4,1095;8,75965966429249E-14;0;0
4,159;2,5068835896036E-13;0;0
4,2085;1,01030295240889E-13;0;0
4,258;1,65756297576536E-13;0;0
4,3075;1,63757896132211E-13;0;0
4,357;1,64535052249448E-13;0;0
4,4065;3,80029341329191E-13;0;0
4,456;3,56492613207138E-13;0;0
4,5055;3,74367203903603E-13;0;0
4,555;3,25739435425021E-13;0;0
4,6045;5,37569988523501E-13;0;0
4,654;1,23456800338317E-13;0;0
4,7035;3,20743431814208E-13;0;0
4,753;4,22217816264947E-13;0;0
4,8025;6,91002810526697E-13;0;0
4,852;1,70752301187349E-13;0;0
4,9015;9,9209529480504E-13;0;0
4,951;1,16484599743671E-12;0;0
5,0005;7,12097047994575E-13;0;0
5,05;1,54598556179053E-12;0;0
5,0995;9,32365296080206E-13;0;0
5,149;3,3717473257866E-13;0;0
5,1985;5,98854299482809E-13;0;0
5,248;1,37634348362781E-12;0;0
