x;absoluteError;relativeError;computation time (milliseconds)
0,1495;1,11022302462516E-16;0;0
0,199;1,11022302462516E-16;0;0
0,2485;1,11022302462516E-16;0;0
0,298;0;0;0
0,3475;2,22044604925031E-16;0;0
0,397;1,11022302462516E-16;0;0
0,4465;0;0;0
0,496;2,22044604925031E-16;0;0
0,5455;1,11022302462516E-16;0;0
0,595;1,11022302462516E-16;0;0
0,6445;1,11022302462516E-16;0;0
0,694;1,11022302462516E-16;0;0
0,7435;0;0;0
0,793;2,22044604925031E-16;0;0
0,8425;2,22044604925031E-16;0;0
0,892;1,11022302462516E-16;0;0
0,9415;4,44089209850063E-16;0;0
0,991;3,33066907387547E-16;0;0
1,0405;1,11022302462516E-16;0;0
1,09;3,33066907387547E-16;0;0
1,1395;2,22044604925031E-16;0;0
1,189;5,55111512312578E-16;0;0
1,2385;1,11022302462516E-16;0;0
1,288;8,88178419700125E-16;0;0
1,3375;7,7715611723761E-16;0;0
1,387;9,99200722162641E-16;0;0
1,4365;9,99200722162641E-16;0;0
1,486;2,22044604925031E-16;0;0
1,5355;2,22044604925031E-16;0;0
1,585;3,33066907387547E-16;0;0
1,6345;8,88178419700125E-16;0;0
1,684;6,66133814775094E-16;0;0
1,7335;6,66133814775094E-16;0;0
1,783;1,22124532708767E-15;0;0
1,8325;2,1094237467878E-15;0;0
1,882;2,44249065417534E-15;0;0
1,9315;2,33146835171283E-15;0;0
1,981;1,4432899320127E-15;0;0
2,0305;1,55431223447522E-15;0;0
2,08;1,55431223447522E-15;0;0
2,1295;1,11022302462516E-15;0;0
2,179;6,66133814775094E-16;0;0
2,2285;6,66133814775094E-16;0;0
2,278;4,9960036108132E-15;0;0
2,3275;5,55111512312578E-15;0;0
2,377;6,99440505513849E-15;0;0
2,4265;6,10622663543836E-15;0;0
2,476;4,55191440096314E-15;0;0
2,5255;6,43929354282591E-15;0;0
2,575;5,55111512312578E-15;0;0
2,6245;6,66133814775094E-15;0;0
2,674;4,55191440096314E-15;0;0
2,7235;1,0991207943789E-14;0;0
2,773;1,16573417585641E-14;0;0
2,8225;1,55431223447522E-14;0;0
2,872;1,0547118733939E-14;0;0
2,9215;1,25455201782643E-14;0;0
2,971;9,32587340685131E-15;0;0
3,0205;1,02140518265514E-14;0;0
3,07;1,01030295240889E-14;0;0
3,1195;1,52100554373646E-14;0;0
3,169;2,44249065417534E-14;0;0
3,2185;3,15303338993544E-14;0;0
3,268;2,38697950294409E-14;0;0
3,3175;1,53210777398272E-14;0;0
3,367;4,13002965160558E-14;0;0
3,4165;2,58681964737661E-14;0;0
3,466;5,22915044598449E-14;0;0
3,5155;4,11892742135933E-14;0;0
3,565;6,56141807553468E-14;0;0
3,6145;1,02140518265514E-14;0;0
3,664;3,90798504668055E-14;0;0
3,7135;2,56461518688411E-14;0;0
3,763;5,6843418860808E-14;0;0
3,8125;8,69304628281498E-14;0;0
3,862;1,30007116183606E-13;0;0
3,9115;7,58282325818982E-14;0;0
3,961;3,01980662698043E-14;0;0
4,0105;8,03801469828613E-14;0;0
4,06;9,82547376793264E-14;0;0
4,1095;8,39328606616618E-14;0;0
4,159;1,13575815419154E-13;0;0
4,2085;2,68007838144513E-13;0;0
4,258;2,65787392095262E-13;0;0
4,3075;1,29118937763906E-13;0;0
4,357;3,49387185849537E-13;0;0
4,4065;2,72448730243013E-13;0;0
4,456;3,80917519748891E-13;0;0
4,5055;3,24074100888083E-13;0;0
4,555;7,4273920347423E-14;0;0
4,6045;3,26738636147184E-13;0;0
4,654;6,49480469405717E-14;0;0
4,7035;6,3593574850529E-13;0;0
4,753;7,64499574756883E-13;0;0
4,8025;4,39093206239249E-13;0;0
4,852;4,41646719195887E-13;0;0
4,9015;3,89577259340967E-13;0;0
4,951;9,98867655255253E-13;0;0
5,0005;6,65911770170169E-13;0;0
5,05;5,74096326033668E-13;0;0
5,0995;1,4871437414854E-12;0;0
5,149;1,38289379947309E-12;0;0
5,1985;8,27671264858054E-13;0;0
5,248;2,18314255562291E-12;0;0
5,2975;1,2525536163821E-12;0;0
5,347;3,42281758491936E-13;0;0
5,3965;9,74553771015962E-13;0;0
5,446;2,83983947468869E-12;0;0
5,4955;2,307265489776E-12;0;0
5,545;1,29707355966957E-12;0;0
5,5945;2,15172324402602E-12;0;0
5,644;2,88902235467958E-12;0;0
5,6935;4,06696898380687E-12;0;0
5,743;4,55768756069119E-12;0;0
5,7925;6,27431440136661E-12;0;0
5,842;2,31403785022621E-12;0;0
5,8915;8,02913291408913E-13;0;0
5,941;1,10866871239068E-12;0;0
5,9905;5,64126523272535E-12;0;0
6,04;1,76669789908601E-12;0;0
6,0895;6,8459682367461E-12;0;0
6,139;2,44715359087877E-12;0;0
6,1885;4,13125089693267E-12;0;0
6,238;9,49318401666233E-12;0;0
6,2875;2,29738450485684E-12;0;0
6,337;1,52511336892758E-11;0;0
6,3865;2,34090524742214E-12;0;0
6,436;6,82409684316099E-12;0;0
6,4855;2,54062326732196E-11;0;0
6,535;3,34188232642418E-12;0;0
6,5845;8,11761768915176E-12;0;0
6,634;1,6182055695424E-11;0;0
6,6835;2,98406854781774E-11;0;0
6,733;1,75588432682616E-11;0;0
6,7825;2,38623565351759E-11;0;0
6,832;1,97876159901966E-11;0;0
6,8815;2,2258195286895E-11;0;0
6,931;5,64932545188412E-11;0;0
6,9805;3,74456021745573E-11;0;0
7,03;5,40054667652612E-11;0;0
7,0795;7,98779931088234E-11;0;0
7,129;9,6970209639835E-12;0;0
7,1785;5,22382137546629E-11;0;0
7,228;1,05048414411613E-10;0;0
7,2775;3,82213150018629E-11;0;0
7,327;1,74582570622306E-11;0;0
7,3765;2,89959167787401E-11;0;0
7,426;5,7486237992066E-11;0;0
7,4755;5,51831913497836E-11;0;0
7,525;2,91598967194773E-11;0;0
7,5745;7,83842990514927E-11;0;0
7,624;1,87911464166746E-10;0;0
7,6735;2,07077355263152E-10;0;0
7,723;2,23747909089411E-10;0;0
7,7725;2,52909138076518E-10;0;0
7,822;2,59797405810502E-10;0;0
7,8715;2,85820700440809E-10;0;0
7,921;1,91958005046899E-10;0;0
7,9705;2,40298336784406E-10;0;0
8,02;2,9265201373363E-10;0;0
8,0695;7,67316210570357E-11;0;0
8,119;1,08570374912631E-10;0;0
8,1685;4,62961669001061E-10;0;0
8,218;4,01435218400081E-10;0;0
8,2675;3,99814070739524E-10;0;0
8,317;2,64847588304917E-10;0;0
8,3665;4,75018024914675E-10;0;0
8,416;7,47657269428714E-10;0;0
8,4655;2,71190292444601E-10;0;0
8,515;4,99995211900028E-10;0;0
8,5645;5,28174115554947E-10;0;0
8,614;3,4346858690526E-10;0;0
8,6635;3,26846605336328E-10;0;0
8,713;1,59368296337448E-10;0;0
8,7625;4,24504403850889E-10;0;0
8,812;7,74969893813093E-10;0;0
8,8615;1,04228736752532E-09;0;0
8,911;5,53818199633405E-10;0;0
8,9605;3,75366369931296E-10;0;0
9,01;0;0;0
9,0595;5,39608795147029E-10;0;0
9,109;3,45365777643103E-10;0;0
9,1585;1,46947243262474E-09;0;0
9,208;5,82388637315745E-10;0;0
9,2575;5,29247701219759E-10;0;0
9,307;6,69953315046712E-10;0;0
9,3565;6,13634476565039E-10;0;0
9,406;1,24209498242323E-09;0;0
9,4555;1,49101853086364E-09;0;0
9,505;1,84231074840113E-10;0;0
9,5545;2,08369055343383E-09;0;0
9,604;1,36993538735197E-09;0;0
9,6535;1,05217123902435E-09;0;0
9,703;2,47948495069039E-09;0;0
9,7525;6,533570351408E-10;0;0
9,802;3,33898186877235E-09;0;0
9,8515;1,92509741481217E-09;0;0
9,901;8,75309935643998E-10;0;0
9,9505;2,11700912355894E-09;0;0
