x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;1,77635683940025E-15;0;0
0,3475;1,77635683940025E-15;0;0
0,397;1,77635683940025E-14;0;0
0,4465;0;0;7
0,496;7,105427357601E-15;0;0
0,5455;0;0;0
0,595;8,88178419700125E-16;0;0
0,6445;0;0;0
0,694;8,88178419700125E-16;0;0
0,7435;1,33226762955019E-15;0;0
0,793;0;0;0
0,8425;8,88178419700125E-16;0;0
0,892;4,44089209850063E-16;0;0
0,9415;4,44089209850063E-16;0;0
0,991;8,88178419700125E-16;0;0
1,0405;8,88178419700125E-16;0;0
1,09;2,22044604925031E-16;0;0
1,1395;0;0;0
1,189;2,22044604925031E-16;0;0
1,2385;0;0;0
1,288;0;0;0
1,3375;2,22044604925031E-16;0;0
1,387;6,66133814775094E-16;0;0
1,4365;2,22044604925031E-16;0;0
1,486;0;0;0
1,5355;0;0;0
1,585;2,22044604925031E-16;0;0
1,6345;2,22044604925031E-16;0;0
1,684;2,22044604925031E-16;0;0
1,7335;0;0;0
1,783;0;0;0
1,8325;6,66133814775094E-16;0;0
1,882;0;0;0
1,9315;2,22044604925031E-16;0;0
1,981;2,22044604925031E-16;0;0
2,0305;0;0;0
2,08;2,22044604925031E-16;0;0
2,1295;2,22044604925031E-16;0;0
2,179;2,22044604925031E-16;0;0
2,2285;2,22044604925031E-16;0;0
2,278;0;0;0
2,3275;0;0;0
2,377;2,22044604925031E-16;0;0
2,4265;2,22044604925031E-16;0;0
2,476;0;0;0
2,5255;2,22044604925031E-16;0;0
2,575;0;0;0
2,6245;2,22044604925031E-16;0;0
2,674;2,22044604925031E-16;0;0
2,7235;2,22044604925031E-16;0;0
2,773;0;0;0
2,8225;0;0;0
2,872;2,22044604925031E-16;0;0
2,9215;0;0;0
2,971;0;0;0
3,0205;2,22044604925031E-16;0;0
3,07;0;0;0
3,1195;4,44089209850063E-16;0;0
3,169;0;0;0
3,2185;4,44089209850063E-16;0;0
3,268;2,22044604925031E-16;0;0
3,3175;0;0;0
3,367;2,22044604925031E-16;0;0
3,4165;2,22044604925031E-16;0;0
3,466;4,44089209850063E-16;0;0
3,5155;2,22044604925031E-16;0;0
3,565;2,22044604925031E-16;0;0
3,6145;0;0;0
3,664;4,44089209850063E-16;0;0
3,7135;2,22044604925031E-16;0;0
3,763;0;0;0
3,8125;0;0;0
3,862;2,22044604925031E-16;0;0
3,9115;2,22044604925031E-16;0;0
3,961;2,22044604925031E-16;0;0
4,0105;4,44089209850063E-16;0;0
4,06;4,44089209850063E-16;0;0
4,1095;4,44089209850063E-16;0;0
4,159;4,44089209850063E-16;0;0
4,2085;0;0;0
4,258;0;0;0
4,3075;2,22044604925031E-16;0;0
4,357;2,22044604925031E-16;0;0
4,4065;0;0;0
4,456;0;0;0
4,5055;2,22044604925031E-16;0;0
4,555;0;0;0
4,6045;4,44089209850063E-16;0;0
4,654;2,22044604925031E-16;0;0
4,7035;2,22044604925031E-16;0;0
4,753;0;0;0
4,8025;4,44089209850063E-16;0;0
4,852;0;0;0
4,9015;0;0;0
4,951;2,22044604925031E-16;0;0
5,0005;2,22044604925031E-16;0;0
5,05;2,22044604925031E-16;0;0
5,0995;2,22044604925031E-16;0;0
5,149;2,22044604925031E-16;0;0
5,1985;2,22044604925031E-16;0;0
5,248;0;0;0
5,2975;2,22044604925031E-16;0;0
5,347;6,66133814775094E-16;0;0
5,3965;0;0;0
5,446;2,22044604925031E-16;0;0
5,4955;4,44089209850063E-16;0;0
5,545;2,22044604925031E-16;0;0
5,5945;2,22044604925031E-16;0;0
5,644;2,22044604925031E-16;0;0
5,6935;4,44089209850063E-16;0;0
5,743;2,22044604925031E-16;0;0
5,7925;2,22044604925031E-16;0;0
5,842;0;0;0
5,8915;2,22044604925031E-16;0;0
5,941;2,22044604925031E-16;0;0
5,9905;2,22044604925031E-16;0;0
6,04;0;0;0
6,0895;2,22044604925031E-16;0;0
6,139;2,22044604925031E-16;0;0
