x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,22044604925031E-16;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;2,22044604925031E-16;0;0
0,3475;2,22044604925031E-16;0;0
0,397;2,22044604925031E-16;0;0
0,4465;2,22044604925031E-16;0;0
0,496;4,44089209850063E-16;0;0
0,5455;8,88178419700125E-16;0;0
0,595;4,44089209850063E-16;0;0
0,6445;8,88178419700125E-16;0;0
0,694;1,33226762955019E-15;0;0
0,7435;2,66453525910038E-15;0;0
0,793;1,33226762955019E-15;0;0
0,8425;4,44089209850063E-15;0;0
0,892;4,44089209850063E-15;0;0
0,9415;2,66453525910038E-15;0;0
0,991;1,77635683940025E-15;0;0
1,0405;1,63424829224823E-13;0;0
1,09;0;0;5
1,1395;6,3948846218409E-14;0;0
1,189;3,01980662698043E-14;0;0
1,2385;2,39808173319034E-14;0;0
1,288;7,105427357601E-15;0;0
1,3375;8,88178419700125E-15;0;0
1,387;8,88178419700125E-15;0;0
1,4365;2,66453525910038E-15;0;0
1,486;4,88498130835069E-15;0;0
1,5355;4,44089209850063E-16;0;0
1,585;3,5527136788005E-15;0;0
1,6345;8,88178419700125E-16;0;0
1,684;3,33066907387547E-15;0;0
1,7335;6,66133814775094E-16;0;0
1,783;1,55431223447522E-15;0;0
1,8325;3,10862446895044E-15;0;0
1,882;1,33226762955019E-15;0;0
1,9315;1,77635683940025E-15;0;0
1,981;0;0;0
2,0305;8,88178419700125E-16;0;0
2,08;4,44089209850063E-16;0;0
2,1295;2,22044604925031E-16;0;0
2,179;1,11022302462516E-15;0;0
2,2285;1,33226762955019E-15;0;0
2,278;6,66133814775094E-16;0;0
2,3275;2,22044604925031E-16;0;0
2,377;0;0;0
2,4265;4,44089209850063E-16;0;0
2,476;4,44089209850063E-16;0;0
2,5255;2,22044604925031E-16;0;0
2,575;4,44089209850063E-16;0;0
2,6245;4,44089209850063E-16;0;0
2,674;2,22044604925031E-16;0;0
2,7235;8,88178419700125E-16;0;0
2,773;8,88178419700125E-16;0;0
2,8225;0;0;0
2,872;1,11022302462516E-15;0;0
2,9215;0;0;0
2,971;2,22044604925031E-16;0;0
3,0205;1,33226762955019E-15;0;0
3,07;4,44089209850063E-16;0;0
3,1195;1,55431223447522E-15;0;0
3,169;6,66133814775094E-16;0;0
3,2185;1,55431223447522E-15;0;0
3,268;8,88178419700125E-16;0;0
