x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,22044604925031E-16;0;0
0,199;2,22044604925031E-16;0;0
0,2485;2,22044604925031E-16;0;0
0,298;0;0;0
0,3475;0;0;0
0,397;4,44089209850063E-16;0;0
0,4465;0;0;0
0,496;2,22044604925031E-16;0;0
0,5455;2,22044604925031E-16;0;0
0,595;2,22044604925031E-16;0;0
0,6445;0;0;0
0,694;4,44089209850063E-16;0;0
0,7435;4,44089209850063E-16;0;0
0,793;4,44089209850063E-16;0;0
0,8425;6,66133814775094E-16;0;0
0,892;2,22044604925031E-16;0;0
0,9415;6,66133814775094E-16;0;0
0,991;8,88178419700125E-16;0;0
1,0405;8,88178419700125E-16;0;0
1,09;6,66133814775094E-16;0;0
1,1395;4,44089209850063E-16;0;0
1,189;6,66133814775094E-16;0;0
1,2385;8,88178419700125E-16;0;0
1,288;4,44089209850063E-16;0;0
1,3375;1,11022302462516E-15;0;0
1,387;1,11022302462516E-15;0;0
1,4365;8,88178419700125E-16;0;0
1,486;1,11022302462516E-15;0;0
1,5355;2,88657986402541E-15;0;0
1,585;1,11022302462516E-15;0;0
1,6345;1,55431223447522E-15;0;0
1,684;2,44249065417534E-15;0;0
1,7335;2,88657986402541E-15;0;0
1,783;3,5527136788005E-15;0;0
1,8325;2,66453525910038E-15;0;0
1,882;2,44249065417534E-15;0;0
1,9315;3,33066907387547E-15;0;0
1,981;2,66453525910038E-15;0;0
2,0305;6,21724893790088E-15;0;0
2,08;2,88657986402541E-15;0;0
2,1295;5,32907051820075E-15;0;0
2,179;7,7715611723761E-15;0;0
2,2285;2,44249065417534E-15;0;0
2,278;1,15463194561016E-14;0;0
2,3275;1,4210854715202E-14;0;0
2,377;1,53210777398272E-14;0;0
2,4265;1,55431223447522E-14;0;0
2,476;1,22124532708767E-14;0;0
2,5255;1,02140518265514E-14;0;0
2,575;1,17683640610267E-14;0;0
2,6245;1,3988810110277E-14;0;0
2,674;1,84297022087776E-14;0;0
2,7235;1,86517468137026E-14;0;0
2,773;2,24265050974282E-14;0;0
2,8225;2,75335310107039E-14;0;0
2,872;3,530509218308E-14;0;0
2,9215;3,41948691584548E-14;0;0
2,971;4,81836792687318E-14;0;0
3,0205;2,57571741713036E-14;0;0
3,07;5,72875080706581E-14;0;0
3,1195;5,79536418854332E-14;0;0
3,169;2,88657986402541E-14;0;0
3,2185;3,10862446895044E-14;0;0
3,268;3,84137166520304E-14;0;0
3,3175;2,24265050974282E-14;0;0
3,367;1,00586206031039E-13;0;0
3,4165;5,06261699229071E-14;0;0
3,466;8,21565038222616E-14;0;0
3,5155;1,33892896769794E-13;0;0
3,565;3,99680288865056E-14;0;0
3,6145;1,43662859386495E-13;0;0
3,664;1,14352971536391E-13;0;0
3,7135;1,00142116821189E-13;0;0
3,763;2,44027020812609E-13;0;0
3,8125;2,58459920132736E-13;0;0
3,862;2,43582931602759E-13;0;0
3,9115;1,3944401189292E-13;0;0
3,961;2,94875235340442E-13;0;0
4,0105;3,85691478754779E-13;0;0
4,06;1,94289029309402E-13;0;0
4,1095;1,67421632113474E-13;0;0
4,159;4,71400696255841E-13;0;0
4,2085;3,42170736189473E-13;0;0
4,258;4,07895939247283E-13;0;0
4,3075;4,90940621489244E-13;0;0
4,357;5,16919840265473E-13;0;0
4,4065;6,4082072981364E-13;0;0
4,456;6,02184968556685E-13;0;0
4,5055;4,49640324973188E-13;0;0
4,555;7,8337336617551E-13;0;0
4,6045;8,67750316047022E-13;0;0
4,654;3,67927910360777E-13;0;0
4,7035;1,0458300891969E-12;0;0
4,753;4,74731365329717E-13;0;0
4,8025;1,24478205520973E-12;0;0
4,852;1,16728848809089E-12;0;0
4,9015;5,84865489372532E-13;0;0
4,951;1,77524661637563E-12;0;0
5,0005;2,61590749062179E-12;0;0
5,05;2,20246043625139E-12;0;0
5,0995;1,78146386531353E-12;0;0
5,149;2,72026845493656E-12;0;0
5,1985;2,831512802004E-12;0;0
5,248;2,46092035638412E-12;0;0
5,2975;1,67021951824609E-12;0;0
5,347;4,990674540295E-12;0;0
5,3965;2,16582307643876E-12;0;0
5,446;1,7883472480662E-12;0;0
5,4955;2,77400324932842E-12;0;0
5,545;2,94209101525666E-12;0;0
5,5945;6,64823751606036E-12;0;0
5,644;1,07807096583201E-11;0;0
5,6935;1,02080566222185E-11;0;0
5,743;7,97961696719085E-12;0;0
5,7925;8,26205770465549E-12;0;0
5,842;3,38795658194613E-12;0;0
5,8915;1,09505737810878E-11;0;0
5,941;7,51665396592216E-12;0;0
5,9905;1,17927889675684E-11;0;0
6,04;1,1391110277259E-11;0;0
6,0895;9,34097243998622E-12;0;0
6,139;9,82636194635234E-12;0;0
6,1885;1,8366197451769E-11;0;0
6,238;1,29871668974602E-11;0;0
6,2875;2,58879584436045E-11;0;0
6,337;3,21722648521927E-11;0;0
6,3865;3,39384076397664E-11;0;0
6,436;3,42592620938831E-11;0;0
6,4855;3,73994168967329E-11;0;0
6,535;4,88977747181707E-11;0;0
6,5845;1,77464709594233E-11;0;0
6,634;6,3312022291484E-11;0;0
6,6835;7,35400629281457E-11;0;0
6,733;4,03310718155581E-11;0;0
6,7825;4,15172340950676E-11;0;0
