x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;0;0;0
0,3475;0;0;0
0,397;2,22044604925031E-16;0;0
0,4465;0;0;0
0,496;2,22044604925031E-16;0;0
0,5455;2,22044604925031E-16;0;0
0,595;0;0;0
0,6445;0;0;0
0,694;0;0;0
0,7435;0;0;0
0,793;0;0;0
0,8425;2,22044604925031E-16;0;0
0,892;2,22044604925031E-16;0;0
0,9415;4,44089209850063E-16;0;0
0,991;2,22044604925031E-16;0;0
1,0405;2,22044604925031E-16;0;0
1,09;2,22044604925031E-16;0;0
1,1395;0;0;0
1,189;2,22044604925031E-16;0;0
1,2385;4,44089209850063E-16;0;0
1,288;4,44089209850063E-16;0;0
1,3375;2,22044604925031E-16;0;0
1,387;2,22044604925031E-16;0;0
1,4365;2,22044604925031E-16;0;0
1,486;0;0;0
1,5355;0;0;0
1,585;0;0;0
1,6345;4,44089209850063E-16;0;0
1,684;0;0;0
1,7335;4,44089209850063E-16;0;0
1,783;0;0;0
1,8325;4,44089209850063E-16;0;0
1,882;1,33226762955019E-15;0;0
1,9315;8,88178419700125E-16;0;0
1,981;0;0;0
2,0305;8,88178419700125E-16;0;0
2,08;0;0;0
2,1295;8,88178419700125E-16;0;0
2,179;4,44089209850063E-16;0;0
2,2285;1,33226762955019E-15;0;0
2,278;1,77635683940025E-15;0;0
2,3275;1,77635683940025E-15;0;0
2,377;8,88178419700125E-16;0;0
2,4265;1,77635683940025E-15;0;0
2,476;1,77635683940025E-15;0;0
2,5255;8,88178419700125E-16;0;0
2,575;2,66453525910038E-15;0;0
2,6245;2,66453525910038E-15;0;0
2,674;3,5527136788005E-15;0;0
2,7235;3,5527136788005E-15;0;0
2,773;2,66453525910038E-15;0;0
2,8225;3,5527136788005E-15;0;0
2,872;3,5527136788005E-15;0;0
2,9215;2,66453525910038E-15;0;0
2,971;3,5527136788005E-15;0;0
3,0205;1,77635683940025E-15;0;0
3,07;3,5527136788005E-15;0;0
3,1195;3,5527136788005E-15;0;0
3,169;3,5527136788005E-15;0;0
3,2185;3,5527136788005E-15;0;0
3,268;3,5527136788005E-15;0;0
3,3175;5,32907051820075E-15;0;0
3,367;5,32907051820075E-15;0;0
3,4165;5,32907051820075E-15;0;0
3,466;3,5527136788005E-15;0;0
3,5155;5,32907051820075E-15;0;0
3,565;7,105427357601E-15;0;0
3,6145;7,105427357601E-15;0;0
3,664;7,105427357601E-15;0;0
3,7135;1,06581410364015E-14;0;0
3,763;1,06581410364015E-14;0;0
3,8125;3,5527136788005E-15;0;0
3,862;1,06581410364015E-14;0;0
3,9115;1,4210854715202E-14;0;0
3,961;1,06581410364015E-14;0;0
4,0105;3,5527136788005E-15;0;0
4,06;1,06581410364015E-14;0;0
4,1095;1,4210854715202E-14;0;0
4,159;1,4210854715202E-14;0;0
4,2085;1,77635683940025E-14;0;0
4,258;1,4210854715202E-14;0;0
4,3075;7,105427357601E-15;0;0
4,357;1,4210854715202E-14;0;0
4,4065;1,4210854715202E-14;0;0
4,456;7,105427357601E-15;0;0
4,5055;1,4210854715202E-14;0;0
4,555;1,4210854715202E-14;0;0
4,6045;2,1316282072803E-14;0;0
4,654;2,1316282072803E-14;0;0
4,7035;2,1316282072803E-14;0;0
4,753;1,4210854715202E-14;0;0
4,8025;7,105427357601E-15;0;0
4,852;2,1316282072803E-14;0;0
4,9015;2,1316282072803E-14;0;0
4,951;2,1316282072803E-14;0;0
5,0005;2,8421709430404E-14;0;0
5,05;3,5527136788005E-14;0;0
5,0995;4,2632564145606E-14;0;0
5,149;4,2632564145606E-14;0;0
5,1985;2,8421709430404E-14;0;0
5,248;2,8421709430404E-14;0;0
5,2975;4,2632564145606E-14;0;0
5,347;4,2632564145606E-14;0;0
5,3965;2,8421709430404E-14;0;0
5,446;2,8421709430404E-14;0;0
5,4955;2,8421709430404E-14;0;0
5,545;7,105427357601E-14;0;0
5,5945;4,2632564145606E-14;0;0
5,644;4,2632564145606E-14;0;0
