x;absoluteError;relativeError;computation time (milliseconds)
0,1495;1,4210854715202E-13;0;0
0,199;5,6843418860808E-14;0;0
0,2485;2,8421709430404E-14;0;0
0,298;0;0;0
0,3475;5,6843418860808E-14;0;0
0,397;8,5265128291212E-14;0;0
0,4465;1,4210854715202E-13;0;0
0,496;1,98951966012828E-13;0;0
0,5455;1,56319401867222E-13;0;0
0,595;8,5265128291212E-14;0;0
0,6445;4,2632564145606E-14;0;0
0,694;1,13686837721616E-13;0;0
0,7435;4,2632564145606E-14;0;0
0,793;1,13686837721616E-13;0;0
0,8425;1,4210854715202E-13;0;0
0,892;1,27897692436818E-13;0;0
0,9415;2,70006239588838E-13;0;0
0,991;1,98951966012828E-13;0;0
1,0405;7,105427357601E-14;0;0
1,09;1,13686837721616E-13;0;0
1,1395;7,105427357601E-14;0;0
1,189;4,9737991503207E-14;0;0
1,2385;8,5265128291212E-14;0;0
1,288;4,9737991503207E-14;0;0
1,3375;2,1316282072803E-13;0;0
1,387;2,20268248085631E-13;0;0
1,4365;4,61852778244065E-13;0;0
1,486;3,19744231092045E-13;0;0
1,5355;2,48689957516035E-13;0;0
1,585;1,77635683940025E-13;0;0
1,6345;1,56319401867222E-13;0;0
1,684;7,8159700933611E-14;0;0
1,7335;2,8421709430404E-14;0;0
1,783;3,19744231092045E-13;0;0
1,8325;3,5527136788005E-13;0;0
1,882;5,89750470680883E-13;0;0
1,9315;6,92779167366098E-13;0;0
1,981;4,2277292777726E-13;0;0
2,0305;3,5527136788005E-14;0;0
2,08;1,35003119794419E-13;0;0
2,1295;2,06057393370429E-13;0;0
2,179;2,62900812231237E-13;0;0
2,2285;1,20792265079217E-13;0;0
2,278;8,70414851306123E-13;0;0
2,3275;1,08713038571295E-12;0;0
2,377;9,09494701772928E-13;0;0
2,4265;1,22923893286497E-12;0;0
2,476;9,13047415451729E-13;0;0
2,5255;2,62545540863357E-12;0;0
2,575;2,39097630583274E-12;0;0
2,6245;2,57394106029096E-12;0;0
2,674;2,8634872251132E-12;0;0
2,7235;1,24522614441958E-12;0;0
2,773;1,69109171110904E-12;0;0
2,8225;1,67865721323324E-12;0;0
2,872;1,34825484110479E-12;0;0
2,9215;1,96287430753728E-12;0;0
2,971;7,105427357601E-15;0;0
3,0205;5,29354338141275E-13;0;0
3,07;1,84741111297626E-13;0;0
3,1195;7,46069872548105E-13;0;0
3,169;1,69642078162724E-12;0;0
3,2185;2,32525110277493E-12;0;0
3,268;2,49045228883915E-12;0;0
3,3175;2,29150032282632E-12;0;0
3,367;2,96740410021812E-12;0;0
3,4165;5,42677014436777E-12;0;0
3,466;6,82209844171666E-12;0;0
3,5155;5,6772364587232E-12;0;0
3,565;6,415312725494E-12;0;0
3,6145;4,10338429901458E-12;0;0
3,664;2,58904009342587E-12;0;0
3,7135;3,69659858279192E-12;0;0
3,763;5,47561995745127E-12;0;0
3,8125;2,97983859809392E-12;0;0
3,862;1,62536650805123E-13;0;0
3,9115;7,90478793533111E-14;0;0
3,961;1,08002495835535E-12;0;0
4,0105;7,19424519957101E-13;0;0
4,06;1,04942721179668E-11;0;0
4,1095;1,14996900890674E-11;0;0
4,159;1,27626798018809E-11;0;0
4,2085;1,22843957228724E-11;0;0
4,258;1,28967947432557E-11;0;0
4,3075;1,36730626820736E-11;0;0
4,357;1,53237422750863E-11;0;0
4,4065;2,4775737017535E-12;0;0
4,456;2,82573964227595E-12;0;0
4,5055;1,73150382920539E-12;0;0
4,555;3,26050297871916E-12;0;0
4,6045;9,2192919964873E-13;0;0
4,654;6,93667345785798E-13;0;0
4,7035;2,17870166352441E-12;0;0
4,753;2,85771406538515E-13;0;0
4,8025;3,8968828164343E-13;0;0
4,852;1,27453603226968E-13;0;0
4,9015;2,72510902732392E-11;0;0
4,951;2,91675572583472E-11;0;0
5,0005;3,14277492918791E-11;0;0
5,05;2,50615084240735E-11;0;0
5,0995;2,91753288195196E-11;0;0
5,149;3,39230865620266E-11;0;0
5,1985;4,01232380653482E-11;0;0
5,248;3,25544036172687E-11;0;0
5,2975;4,14148715321971E-11;0;0
5,347;7,94253551816837E-13;0;0
5,3965;3,64774876970841E-12;0;0
5,446;8,48876524628395E-13;0;0
5,4955;1,35558231306732E-12;0;0
5,545;8,88089601858155E-12;0;0
5,5945;1,45061740397523E-12;0;0
5,644;6,18682882702615E-12;0;0
5,6935;7,35855820721554E-13;0;0
5,743;2,1334045641197E-12;0;0
5,7925;7,28337390398792E-11;0;0
5,842;5,75248737533229E-11;0;0
5,8915;6,2239990938906E-11;0;0
5,941;6,0856653050223E-11;0;0
5,9905;7,45714601180225E-11;0;0
6,04;7,27595761418343E-11;0;0
6,0895;7,45714601180225E-11;0;0
6,139;8,99604835069567E-11;0;0
6,1885;9,13435993510348E-11;0;0
6,238;6,82565115539546E-13;0;0
6,2875;1,46258560818069E-11;0;0
6,337;9,40891808909328E-12;0;0
6,3865;1,38153932738305E-11;0;0
6,436;8,36442026752593E-12;0;0
6,4855;5,82600634402297E-12;0;0
6,535;8,88178419700125E-12;0;0
6,5845;2,3182344932593E-11;0;0
6,634;2,09801065409465E-11;0;0
6,6835;1,49167345142587E-10;0;0
6,733;1,73828063054771E-10;0;0
