x;absoluteError;relativeError;computation time (milliseconds)
0,1495;5,45696821063757E-12;0;0
0,199;1,81898940354586E-12;0;0
0,2485;1,81898940354586E-12;0;0
0,298;9,09494701772928E-13;0;0
0,3475;2,72848410531878E-12;0;0
0,397;4,54747350886464E-12;0;0
0,4465;8,18545231595635E-12;0;0
0,496;1,18234311230481E-11;0;0
0,5455;1,54614099301398E-11;0;0
0,595;1,81898940354586E-11;0;0
0,6445;2,09183781407773E-11;0;0
0,694;2,00088834390044E-11;0;0
0,7435;2,91038304567337E-11;0;0
0,793;2,36468622460961E-11;0;0
0,8425;2,18278728425503E-11;0;0
0,892;1,63709046319127E-11;0;0
0,9415;1,36424205265939E-11;0;0
0,991;9,09494701772928E-12;0;0
1,0405;4,54747350886464E-12;0;0
1,09;6,3664629124105E-12;0;0
1,1395;4,09272615797818E-12;0;0
1,189;3,18323145620525E-12;0;0
1,2385;6,3664629124105E-12;0;0
1,288;3,18323145620525E-12;0;0
1,3375;1,13686837721616E-11;0;0
1,387;1,40971678774804E-11;0;0
1,4365;2,45563569478691E-11;0;0
1,486;2,00088834390044E-11;0;0
1,5355;3,27418092638254E-11;0;0
1,585;4,18367562815547E-11;0;0
1,6345;5,45696821063757E-11;0;0
1,684;6,25277607468888E-11;0;0
1,7335;5,47970557818189E-11;0;0
1,783;3,61524143954739E-11;0;0
1,8325;3,38786776410416E-11;0;0
1,882;2,31921148952097E-11;0;0
1,9315;2,97859514830634E-11;0;0
1,981;2,00088834390044E-11;0;0
2,0305;1,20508047984913E-11;0;0
2,08;8,64019966684282E-12;0;0
2,1295;8,18545231595635E-12;0;0
2,179;2,72848410531878E-12;0;0
2,2285;4,09272615797818E-12;0;0
2,278;3,63797880709171E-11;0;0
2,3275;4,82032191939652E-11;0;0
2,377;5,30917532159947E-11;0;0
2,4265;5,79802872380242E-11;0;0
2,476;6,11635186942294E-11;0;0
2,5255;1,24941834656056E-10;0;0
2,575;1,12436282506678E-10;0;0
2,6245;1,36878952616826E-10;0;0
2,674;1,22895471577067E-10;0;0
2,7235;6,57109922030941E-11;0;0
2,773;6,50288711767644E-11;0;0
2,8225;8,70841176947579E-11;0;0
2,872;5,35465005668812E-11;0;0
2,9215;9,17452780413441E-11;0;0
2,971;2,94448909698986E-11;0;0
3,0205;1,77351466845721E-11;0;0
3,07;1,31876731757075E-11;0;0
3,1195;1,75077730091289E-11;0;0
3,169;1,30683019960998E-10;0;0
3,2185;1,26874510897323E-10;0;0
3,268;1,54443569044815E-10;0;0
3,3175;1,87696969078388E-10;0;0
3,367;1,77067249751417E-10;0;0
3,4165;2,54374299402116E-10;0;0
3,466;3,57317730959039E-10;0;0
3,5155;2,71995759248966E-10;0;0
3,565;3,38161498802947E-10;0;0
3,6145;1,83547399501549E-10;0;0
3,664;1,2448708730517E-10;0;0
3,7135;1,86673787538894E-10;0;0
3,763;2,66339839072316E-10;0;0
3,8125;1,83320025826106E-10;0;0
3,862;3,39923644787632E-11;0;0
3,9115;4,34852154285181E-12;0;0
3,961;2,87911916529993E-11;0;0
4,0105;9,82538495009067E-11;0;0
4,06;5,95036908634938E-10;0;0
4,1095;5,24380538990954E-10;0;0
4,159;6,43098019281751E-10;0;0
4,2085;6,41534825263079E-10;0;0
4,258;6,33889385426301E-10;0;0
4,3075;8,95227003638865E-10;0;0
4,357;7,79692754804273E-10;0;0
4,4065;5,54507550987182E-11;0;0
4,456;3,14201997753116E-11;0;0
4,5055;5,03206365465303E-11;0;0
4,555;5,62181412533391E-11;0;0
4,6045;4,29594138040557E-11;0;0
4,654;1,16060050459055E-10;0;0
4,7035;6,88942236592993E-11;0;0
4,753;2,98570057566394E-11;0;0
4,8025;1,00172314887459E-10;0;0
4,852;2,00415684048494E-10;0;0
4,9015;1,36553524043848E-09;0;0
4,951;1,76662240392034E-09;0;0
5,0005;1,56791202243767E-09;0;0
5,05;1,5100738437468E-09;0;0
5,0995;1,71895919720555E-09;0;0
5,149;1,64402536029229E-09;0;0
5,1985;1,89005078254922E-09;0;0
5,248;2,00937222416542E-09;0;0
5,2975;1,98645722093715E-09;0;0
5,347;1,93331572972966E-10;0;0
5,3965;1,40708777962573E-10;0;0
5,446;2,78824074939621E-10;0;0
5,4955;2,68272515313583E-10;0;0
5,545;1,95754523701908E-10;0;0
5,5945;2,78731704383972E-10;0;0
5,644;3,54646090272581E-10;0;0
5,6935;1,65570668286819E-10;0;0
5,743;2,07982964184339E-10;0;0
5,7925;3,87273502155949E-09;0;0
5,842;3,01189828633142E-09;0;0
5,8915;3,39525385584238E-09;0;0
5,941;3,43988304507548E-09;0;0
5,9905;3,78915032683835E-09;0;0
6,04;3,55651152972314E-09;0;0
6,0895;4,55492354944909E-09;0;0
6,139;4,59208493452934E-09;0;0
6,1885;5,07269248828379E-09;0;0
6,238;4,87670348547908E-10;0;0
6,2875;1,10762385929775E-08;0;0
6,337;1,03163699805009E-09;0;0
6,3865;1,14513625248946E-08;0;0
6,436;4,38870273455905E-10;0;0
6,4855;1,26765407060248E-08;0;0
6,535;1,1468159755168E-11;0;0
6,5845;1,42025378124799E-08;0;0
6,634;6,44195807808501E-10;0;0
6,6835;8,98836205465159E-09;0;0
6,733;8,61607141189324E-09;0;0
6,7825;7,40550021305353E-09;0;0
6,832;1,00793577928471E-08;0;0
6,8815;9,21710352486116E-09;0;0
6,931;1,05104689396285E-08;0;0
6,9805;1,15297531522174E-08;0;0
7,03;1,19717995517021E-08;0;0
7,0795;1,10094848793096E-08;0;0
7,129;2,26310188367052E-08;0;0
7,1785;2,13520934266853E-09;0;0
7,228;2,72613762675178E-08;0;0
7,2775;9,32673493991842E-10;0;0
7,327;2,86906995938807E-08;0;0
7,3765;3,10449799201251E-09;0;0
7,426;3,10708783146652E-08;0;0
7,4755;4,18139300961684E-10;0;0
7,525;3,40775301310714E-08;0;0
7,5745;2,05436414546512E-08;0;0
7,624;1,99900638264694E-08;0;0
7,6735;1,99312104598448E-08;0;0
7,723;1,76333623258529E-08;0;0
7,7725;1,94819245180611E-08;0;0
7,822;2,5821986326946E-08;0;0
7,8715;2,71149769304202E-08;0;0
7,921;2,3871479903903E-08;0;0
7,9705;2,73007780826617E-08;0;0
8,02;1,42422207360937E-09;0;0
8,0695;5,71528069315264E-08;0;0
8,119;1,00134789349227E-09;0;0
8,1685;6,88099031087575E-08;0;0
8,218;2,48043985351387E-09;0;0
8,2675;7,82400575438658E-08;0;0
8,317;9,62638857515685E-11;0;0
8,3665;9,2468695367387E-08;0;0
8,416;1,31533561820163E-08;0;0
8,4655;9,44550819781398E-08;0;0
8,515;2,42350672863267E-09;0;0
8,5645;1,04832342584515E-07;0;0
8,614;2,83234635745089E-09;0;0
8,6635;1,01502527272146E-07;0;0
8,713;1,24748731344937E-07;0;0
8,7625;8,04851207902857E-09;0;0
8,812;1,32920324302788E-07;0;0
8,8615;9,83265069365302E-09;0;0
8,911;1,45256834782614E-07;0;0
8,9605;2,35730279740665E-09;0;0
9,01;1,53285488302402E-07;0;0
9,0595;9,03725094758556E-09;0;0
9,109;1,86889880238184E-07;0;0
