x;absoluteError;relativeError;computation time (milliseconds)
0,1495;2,22044604925031E-16;0;0
0,199;0;0;0
0,2485;0;0;0
0,298;0;0;0
0,3475;2,22044604925031E-16;0;0
0,397;2,22044604925031E-16;0;0
0,4465;0;0;0
0,496;2,22044604925031E-16;0;0
0,5455;2,22044604925031E-16;0;0
0,595;0;0;0
0,6445;2,22044604925031E-16;0;0
0,694;2,22044604925031E-16;0;0
0,7435;2,22044604925031E-16;0;0
0,793;2,22044604925031E-16;0;0
0,8425;0;0;0
0,892;0;0;0
0,9415;4,44089209850063E-16;0;0
0,991;0;0;0
1,0405;4,44089209850063E-16;0;0
1,09;0;0;0
1,1395;0;0;0
1,189;0;0;0
1,2385;0;0;0
1,288;4,44089209850063E-16;0;0
1,3375;8,88178419700125E-16;0;0
1,387;0;0;0
1,4365;0;0;0
1,486;8,88178419700125E-16;0;0
1,5355;1,77635683940025E-15;0;0
1,585;1,77635683940025E-15;0;0
1,6345;0;0;0
1,684;0;0;0
1,7335;1,77635683940025E-15;0;0
1,783;1,77635683940025E-15;0;0
1,8325;0;0;0
1,882;0;0;0
1,9315;0;0;0
1,981;1,77635683940025E-15;0;0
2,0305;3,5527136788005E-15;0;0
2,08;3,5527136788005E-15;0;0
2,1295;0;0;0
2,179;3,5527136788005E-15;0;0
2,2285;3,5527136788005E-15;0;0
2,278;0;0;0
2,3275;3,5527136788005E-15;0;0
2,377;7,105427357601E-15;0;0
2,4265;7,105427357601E-15;0;0
2,476;0;0;0
2,5255;7,105427357601E-15;0;0
2,575;7,105427357601E-15;0;0
2,6245;1,4210854715202E-14;0;0
2,674;1,4210854715202E-14;0;0
2,7235;0;0;0
2,773;0;0;0
2,8225;1,4210854715202E-14;0;0
2,872;0;0;0
2,9215;2,8421709430404E-14;0;0
2,971;0;0;0
3,0205;0;0;0
3,07;1,4210854715202E-14;0;0
3,1195;0;0;0
3,169;2,8421709430404E-14;0;0
3,2185;2,8421709430404E-14;0;0
3,268;2,8421709430404E-14;0;0
3,3175;0;0;0
3,367;0;0;0
3,4165;2,8421709430404E-14;0;0
3,466;5,6843418860808E-14;0;0
3,5155;0;0;0
3,565;5,6843418860808E-14;0;0
3,6145;0;0;0
3,664;5,6843418860808E-14;0;0
3,7135;0;0;0
3,763;1,13686837721616E-13;0;0
3,8125;1,13686837721616E-13;0;0
3,862;1,13686837721616E-13;0;0
3,9115;0;0;0
