x;absoluteError;relativeError;time
-0,99;31429,3534109183;492887,440810852;0
-0,98;11562,5458375408;177710,966351741;0
-0,97;4210,23048642265;63411,9014948051;0
-0,96;1517,05032002754;22388,4625969794;0
-0,95;540,804411716243;7819,49436903273;0
-0,94;190,690021338713;2701,06407727855;0
-0,93;66,4907791642903;922,551582675936;0
-0,92;22,9211022248823;311,487349217794;0
-0,91;7,80983133345817;103,938183772893;0
-0,9;2,6294671614873;34,2674789952186;0
-0,89;0,87457666689937;11,1595094213924;0
-0,88;0,287284520926669;3,58875345500152;0
-0,87;0,0931723023256863;1,13933975991502;0
-0,86;0,0298258921208841;0,356981096817128;0
-0,85;0,00942105034502105;0,110353532097969;0
-0,84;0,00293539809970395;0,0336463765348045;0
-0,83;0,000901891074581343;0,0101148267385577;0
-0,82;0,000273157404765662;0,00299708134058663;0
-0,81;8,15249707889903E-05;0,000874993750878414;0
-0,8;2,39678115623448E-05;0,000251604498656871;0
-0,79;6,93843370694336E-06;7,12317422946408E-05;0
-0,78;1,97705531206072E-06;1,9847180937543E-05;0
-0,77;5,5427189225854E-07;5,44021321462637E-06;0
-0,76;1,52823076832176E-07;1,46635664123487E-06;0
-0,75;4,14214334637508E-08;3,88487741197132E-07;0
-0,74;1,10314271883905E-08;1,01118052337887E-07;0
-0,73;2,88535968728798E-09;2,58454663138952E-08;0
-0,72;7,40824346312507E-10;6,48379140095372E-09;0
-0,71;1,86617221675789E-10;1,59564457868775E-09;0
-0,7;4,60945309699312E-11;3,84986132113962E-10;0
-0,69;1,11615716669178E-11;9,10483690334801E-11;0
-0,68;2,64627209034529E-12;2,1080049352804E-11;0
-0,67;6,14203132798252E-13;4,77724937037155E-12;0
-0,66;1,42663658664333E-13;1,08329243326821E-12;0
-0,65;3,24740234702858E-14;2,40697664924405E-13;0
-0,64;7,2997163869104E-15;5,28057699256124E-14;0
-0,63;2,63677968348475E-15;1,86133378973774E-14;0
-0,62;7,7715611723761E-16;5,35264360834731E-15;0
-0,61;2,77555756156289E-17;1,86489224340836E-16;0
-0,6;1,85962356624714E-15;1,21872290037572E-14;0
-0,59;6,10622663543836E-16;3,90266628513824E-15;0
-0,58;8,32667268468867E-17;5,18919320846578E-16;0
-0,57;1,11022302462516E-16;6,74541756895408E-16;0
-0,56;5,55111512312578E-17;3,28759739431916E-16;0
-0,55;2,4980018054066E-16;1,44184820333182E-15;0
-0,54;8,32667268468867E-17;4,68332586045506E-16;0
-0,53;8,04911692853238E-16;4,41076540541596E-15;0
-0,52;2,77555756156289E-17;1,48157823787187E-16;0
-0,51;3,88578058618805E-16;2,02016137540451E-15;0
-0,5;2,77555756156289E-17;1,40512601554121E-16;0
-0,49;5,55111512312578E-17;2,73605805234389E-16;0
-0,48;1,94289029309402E-16;9,3217003893642E-16;0
-0,47;8,32667268468867E-17;3,88813049256864E-16;0
-0,46;8,32667268468867E-17;3,7834057220465E-16;0
-0,45;1,94289029309402E-16;8,58855868368646E-16;0
-0,44;1,66533453693773E-16;7,16063368599862E-16;0
-0,43;0;0;0
-0,42;8,32667268468867E-17;3,38551600087555E-16;0
-0,41;3,88578058618805E-16;1,53587094542385E-15;0
-0,4;3,33066907387547E-16;1,27950983142E-15;0
-0,39;5,55111512312578E-16;2,0722370541737E-15;0
-0,38;0;0;0
-0,37;5,55111512312578E-16;1,9555210839517E-15;0
-0,36;0;0;0
-0,35;1,11022302462516E-16;3,68761271518636E-16;0
-0,34;2,77555756156289E-16;8,948895402483E-16;0
-0,33;0;0;0
-0,32;2,22044604925031E-16;6,74118041388283E-16;0
-0,31;1,66533453693773E-16;4,90440889566735E-16;0
-0,3;5,55111512312578E-17;1,58545399031595E-16;0
-0,29;1,11022302462516E-16;3,07446158531732E-16;0
-0,28;1,11022302462516E-16;2,98023223876953E-16;0
-0,27;5,55111512312578E-17;1,44409285085523E-16;0
-0,26;1,66533453693773E-16;4,19743200197331E-16;0
-0,25;5,55111512312578E-17;1,35525271560688E-16;0
-0,24;1,11022302462516E-16;2,62480455148761E-16;0
-0,23;1,66533453693773E-16;3,81172828300969E-16;0
-0,22;2,22044604925031E-16;4,91903087151968E-16;0
-0,21;5,55111512312578E-17;1,18993082609542E-16;0
-0,2;3,33066907387547E-16;6,90647539158817E-16;0
-0,19;1,66533453693773E-16;3,33956064468843E-16;0
-0,18;2,22044604925031E-16;4,30495141756637E-16;0
-0,17;2,22044604925031E-16;4,16086545218519E-16;0
-0,16;1,11022302462516E-16;2,01021350676456E-16;0
-0,15;4,44089209850063E-16;7,76714803585321E-16;0
-0,14;0;0;0
-0,13;4,44089209850063E-16;7,24075737146279E-16;0
-0,12;2,22044604925031E-16;3,49391484633088E-16;0
-0,11;2,22044604925031E-16;3,3707934443683E-16;0
-0,1;2,22044604925031E-16;3,25095506070738E-16;0
-0,09;3,33066907387547E-16;4,70151121367834E-16;0
-0,08;3,33066907387547E-16;4,531338504421E-16;0
-0,07;2,22044604925031E-16;2,91055182177757E-16;0
-0,0599999999999999;3,33066907387547E-16;4,20489296715232E-16;0
-0,0499999999999999;2,22044604925031E-16;2,69896605065156E-16;0
-0,04;2,22044604925031E-16;2,59760781773366E-16;0
-0,03;0;0;0
-0,02;2,22044604925031E-16;2,40348221325348E-16;0
-0,01;0;0;0
0;0;0;0
0,01;0;0;0
0,02;2,22044604925031E-16;2,04806873682628E-16;0
0,03;2,22044604925031E-16;1,96574492239421E-16;0
0,04;2,22044604925031E-16;1,88592821359634E-16;0
0,05;2,22044604925031E-16;1,80856718490219E-16;0
0,0600000000000001;2,22044604925031E-16;1,73361094368829E-16;0
0,0700000000000001;2,22044604925031E-16;1,66100913023826E-16;0
0,0800000000000001;4,44089209850063E-16;3,18142383548547E-16;0
0,0900000000000001;0;0;0
0,1;4,44089209850063E-16;2,91366930582626E-16;0
0,11;2,22044604925031E-16;1,39315761149561E-16;0
0,12;2,22044604925031E-16;1,33159119286574E-16;0
0,13;2,22044604925031E-16;1,27208823474945E-16;0
0,14;0;0;0
0,15;6,66133814775094E-16;3,47726014648941E-16;0
0,16;4,44089209850063E-16;2,21099298869376E-16;0
